id,normalized_employment,normalized_hotels,normalized_airports,social_added,social_subindex
93,0.0331270396,0,0,0.0331270396,0.0304079071
94,0.0331270396,0,0,0.0331270396,0.0304079071
95,0.0331270396,0,0,0.0331270396,0.0304079071
96,0.0331270396,0,0,0.0331270396,0.0304079071
97,0.0331270396,0,0,0.0331270396,0.0304079071
98,0.0331270396,0,0,0.0331270396,0.0304079071
99,0,0,0,0,0
100,0,0,0,0,0
101,0,0,0,0,0
102,0.0628906546,0.1290322581,0,0.1919229127,0.1761695029
103,0.0628906546,0.0967741935,0,0.1596648481,0.1465592437
104,0.0628906546,0,0,0.0628906546,0.0577284661
105,0.0628906546,0,0,0.0628906546,0.0577284661
106,0.0628906546,0,0,0.0628906546,0.0577284661
107,0.0628906546,0,0,0.0628906546,0.0577284661
108,0.0628906546,0.0322580645,0,0.0951487191,0.0873387253
109,0.0628906546,0.0322580645,0,0.0951487191,0.0873387253
110,0.0628906546,0.0322580645,0,0.0951487191,0.0873387253
111,0.0628906546,0.0322580645,0,0.0951487191,0.0873387253
112,0.0628906546,0,0,0.0628906546,0.0577284661
113,0.0628906546,0,0,0.0628906546,0.0577284661
114,0.0628906546,0,0,0.0628906546,0.0577284661
115,0.0628906546,0,0,0.0628906546,0.0577284661
116,0.0628906546,0,0,0.0628906546,0.0577284661
117,0.0628906546,0,0,0.0628906546,0.0577284661
118,0.0628906546,0,0,0.0628906546,0.0577284661
119,0.1088195643,0,0,0.1088195643,0.0998874406
120,0.0233248998,0,0,0.0233248998,0.0214103462
121,0.0233248998,0,0,0.0233248998,0.0214103462
122,0,0,0,0,0
123,0,0,0,0,0
124,0,0,0,0,0
125,0,0,0,0,0
126,0,0,0,0,0
127,0,0,0,0,0
128,0.0826624215,0,0,0.0826624215,0.0758773275
129,0.0826624215,0,0,0.0826624215,0.0758773275
130,0.0826624215,0,0,0.0826624215,0.0758773275
131,0.0826624215,0,0,0.0826624215,0.0758773275
132,0.0279271221,0,0,0.0279271221,0.025634809
133,0,0,0,0,0
134,0,0,0,0,0
135,0,0,0,0,0
136,0,0,0,0,0
137,0,0,0,0,0
138,0,0,0,0,0
139,0,0,0,0,0
140,0,0,0,0,0
141,0.0513644277,0,0,0.0513644277,0.0471483346
142,0.0513644277,0.1612903226,0,0.2126547503,0.1951996306
143,0.0513644277,0.2258064516,0,0.2771708793,0.2544201489
144,0.0513644277,0.4193548387,0,0.4707192664,0.4320817041
145,0.0513644277,0.2580645161,0,0.3094289438,0.2840304081
146,0.0513644277,0,0,0.0513644277,0.0471483346
147,0.0513644277,0,0,0.0513644277,0.0471483346
148,0.0513644277,0,0,0.0513644277,0.0471483346
149,0,0,0,0,0
150,0,0,0,0,0
151,0.0075729517,0,0,0.0075729517,0.0069513489
152,0.0275717862,0,0,0.0275717862,0.0253086398
153,0.0275717862,0.3870967742,0,0.4146685604,0.3806317502
154,0.0275717862,0.4838709677,0,0.5114427539,0.4694625278
155,0.0087176695,0,0,0.0087176695,0.0080021061
156,0.0839932376,0,0,0.0839932376,0.0770989076
157,0,0,0,0,0
158,0,0,0,0,0
159,0,0,0,0,0
160,0,0,0,0,0
161,0,0,0,0,0
162,0,0.0322580645,0,0.0322580645,0.0296102592
163,0.0098706063,0,0,0.0098706063,0.0090604075
164,0.1340182976,0.2580645161,0,0.3920828137,0.359899886
165,0.1340182976,0.2580645161,0,0.3920828137,0.359899886
166,0.1340182976,0.3870967742,0,0.5211150718,0.4783409228
167,0,0,0,0,0
168,0.0916461437,0,0,0.0916461437,0.0841236482
169,0.0916461437,0,0,0.0916461437,0.0841236482
170,0.0916461437,0,0,0.0916461437,0.0841236482
171,0.0553390321,0,0,0.0553390321,0.0507966956
172,0.0704568457,0.1290322581,0,0.1994891038,0.1831146462
173,0.0704568457,0.0967741935,0,0.1672310392,0.1535043869
174,0.0704568457,0.1612903226,0,0.2317471683,0.2127249054
175,0.1242051624,0,0,0.1242051624,0.1140101586
176,0,0,0,0,0
177,0,0,0,0,0
178,0,0,0,0,0
179,0,0,0,0,0
180,0.0894218892,1,0,1.0894218892,1
181,0.0894218892,0.8709677419,0,0.9603896311,0.8815589632
182,0.0168782481,0,0,0.0168782481,0.0154928483
183,0.0168782481,0,0,0.0168782481,0.0154928483
184,0,0,0,0,0
185,0,0,0,0,0
186,0,0,0,0,0
187,0,0,0,0,0
188,0,0,0,0,0
189,0.0071426932,0,0,0.0071426932,0.0065564069
190,0.0459638684,0,0,0.0459638684,0.0421910638
191,0.0459638684,0,0,0.0459638684,0.0421910638
192,0.0459638684,0,0,0.0459638684,0.0421910638
193,0.0459638684,0,0,0.0459638684,0.0421910638
194,0,0,0,0,0
445,0,0,0,0,0
446,0,0,0,0,0
447,0,0,0,0,0
448,0,0,0,0,0
449,0,0,0,0,0
450,0,0,0,0,0
451,0,0,0,0,0
452,0,0,0,0,0
453,0,0,0,0,0
454,0,0,0,0,0
455,0,0,0,0,0
456,0,0,0,0,0
457,0,0,0,0,0
458,0.0628906546,0.0322580645,0,0.0951487191,0.0873387253
459,0.0628906546,0.0322580645,0,0.0951487191,0.0873387253
460,0.0628906546,0.0322580645,0,0.0951487191,0.0873387253
461,0.0628906546,0,0,0.0628906546,0.0577284661
462,0.0628906546,0.0322580645,0,0.0951487191,0.0873387253
463,0.0628906546,0,0,0.0628906546,0.0577284661
464,0.0233248998,0,0,0.0233248998,0.0214103462
465,0.0233248998,0,0,0.0233248998,0.0214103462
466,0,0.0322580645,0,0.0322580645,0.0296102592
467,0.0826624215,0,0,0.0826624215,0.0758773275
468,0.0341342966,0,0,0.0341342966,0.0313324865
469,0,0,0,0,0
470,0.0513644277,0,0,0.0513644277,0.0471483346
471,0.0513644277,0,0,0.0513644277,0.0471483346
472,0.0513644277,0,0,0.0513644277,0.0471483346
473,0,0,0,0,0
474,0.0275717862,0.0322580645,0,0.0598298507,0.054918899
475,0.0275717862,0,0,0.0275717862,0.0253086398
476,0.0275717862,0,0,0.0275717862,0.0253086398
477,0.0087176695,0,0,0.0087176695,0.0080021061
478,0.0631505312,0,0,0.0631505312,0.0579670115
479,0,0,0,0,0
480,0,0,0,0,0
481,0,0,0,0,0
482,0.1340182976,0.6129032258,0,0.7469215234,0.6856127372
483,0.1340182976,0.4838709677,0,0.6178892653,0.5671717004
484,0.1340182976,0,0,0.1340182976,0.1230178124
485,0.1340182976,0,0,0.1340182976,0.1230178124
486,0.0916461437,0.0322580645,0,0.1239042082,0.1137339073
487,0.0704568457,0.1290322581,0,0.1994891038,0.1831146462
488,0.1242051624,0,0,0.1242051624,0.1140101586
489,0,0,0,0,0
490,0.999999999,0,0,0.999999999,0.9179180342
491,0,0,0,0,0
492,0,0,0,0,0
493,0,0,0,0,0
494,0,0,0,0,0
495,0,0,0,0,0
496,0,0,0,0,0
497,0,0,0,0,0
498,0.0894218892,0,0,0.0894218892,0.0820819648
499,0.0894218892,0.3870967742,0,0.4765186634,0.4374050752
500,0.0894218892,0,0,0.0894218892,0.0820819648
501,0.0894218892,0,0,0.0894218892,0.0820819648
502,0.0168782481,0,0,0.0168782481,0.0154928483
503,0.0168782481,0.1290322581,0,0.1459105062,0.1339338852
504,0,0,0,0,0
505,0,0,0,0,0
506,0,0.0322580645,0,0.0322580645,0.0296102592
507,0,0,0,0,0
508,0.0928888937,0,0,0.0928888937,0.0852643908
509,0,0,0,0,0
510,0,0,0,0,0
537,0.0331270396,0,0,0.0331270396,0.0304079071
538,0,0,0,0,0
539,0.0628906546,0,0,0.0628906546,0.0577284661
540,0.0628906546,0,0,0.0628906546,0.0577284661
541,0.0233248998,0,0,0.0233248998,0.0214103462
542,0.0513644277,0.064516129,0,0.1158805567,0.1063688529
543,0.0087176695,0,0,0.0087176695,0.0080021061
544,0.999999999,0,0,0.999999999,0.9179180342
545,0,0,0,0,0
546,0.0459638684,0,0,0.0459638684,0.0421910638
547,0.0139796064,0,0,0.0139796064,0.0128321328
548,0,0,0,0,0
