id,normalized_employment,normalized_hotels,normalized_airports,social_added,social_subindex
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0.0907856173,0,0,0.0907856173,0.0833337555
5,0,0,0,0,0
6,0.2439265458,0,0,0.2439265458,0.2239045756
7,0.073819029,0.0967741935,0,0.1705932225,0.1565905956
8,0.1318433856,0.0322580645,0,0.1641014501,0.1506316806
9,0,0,0,0,0
10,0,0,0,0,0
11,0,0,0,0,0
12,0.0485732457,0,0,0.0485732457,0.0445862583
13,0.0485732457,0,0,0.0485732457,0.0445862583
14,0,0,0,0,0
15,0.0871129075,0,0,0.0871129075,0.0799625089
16,0.0871129075,0,0,0.0871129075,0.0799625089
17,0.0871129075,0,0,0.0871129075,0.0799625089
18,0.0454156896,0,0,0.0454156896,0.0416878806
19,0.0871129075,0,0,0.0871129075,0.0799625089
20,0,0,0,0,0
21,0.0871129075,0,0,0.0871129075,0.0799625089
22,0.0871129075,0,0,0.0871129075,0.0799625089
23,0.1913614485,0,0,0.1913614485,0.1756541248
24,0.1913614485,0.0967741935,0,0.288135642,0.2644849024
25,0.0871129075,0,0,0.0871129075,0.0799625089
26,0.0871129075,0,0,0.0871129075,0.0799625089
27,0,0,0,0,0
28,0.146803781,0,0,0.146803781,0.1347538382
29,0.146803781,0,0,0.146803781,0.1347538382
30,0,0,0,0,0
31,0.146803781,0,0,0.146803781,0.1347538382
32,0.146803781,0,0,0.146803781,0.1347538382
33,0.146803781,0,0,0.146803781,0.1347538382
34,0.146803781,0,0,0.146803781,0.1347538382
35,0.146803781,0,0,0.146803781,0.1347538382
36,0.146803781,0,0,0.146803781,0.1347538382
37,0.146803781,0,0,0.146803781,0.1347538382
38,0.146803781,0,0,0.146803781,0.1347538382
39,0.1974993064,0,0,0.1974993064,0.1812881753
40,0.1974993064,0,0,0.1974993064,0.1812881753
41,0.1974993064,0,0,0.1974993064,0.1812881753
42,0.1974993064,0,0,0.1974993064,0.1812881753
43,0.1458190486,0,0,0.1458190486,0.1338499346
44,0.1458190486,0,0,0.1458190486,0.1338499346
45,0.1458190486,0,0,0.1458190486,0.1338499346
46,0.1678190742,0,0,0.1678190742,0.1540441549
47,0,0,0,0,0
48,0.1678190742,0,0,0.1678190742,0.1540441549
49,0.1678190742,0,0,0.1678190742,0.1540441549
50,0,0,0,0,0
51,0.1678190742,0,0,0.1678190742,0.1540441549
52,0.1678190742,0,0,0.1678190742,0.1540441549
53,0.0523290917,0,0,0.0523290917,0.048033817
54,0.0523290917,0,0,0.0523290917,0.048033817
55,0.0523290917,0,0,0.0523290917,0.048033817
56,0.1579028384,0,0,0.1579028384,0.1449418632
57,0.1579028384,0,0,0.1579028384,0.1449418632
58,0.0523290917,0,0,0.0523290917,0.048033817
59,0.0896580027,0,0,0.0896580027,0.0822986977
60,0.1678190742,0,0,0.1678190742,0.1540441549
61,0.1678190742,0,0,0.1678190742,0.1540441549
62,0.1127528306,0,0,0.1127528306,0.1034978567
63,0.0323041365,0,0,0.0323041365,0.0296525495
64,0.1724155263,0,0,0.1724155263,0.1582633211
65,0.1724155263,0,0,0.1724155263,0.1582633211
66,0.1724155263,0,0,0.1724155263,0.1582633211
67,0.0319231383,0,0,0.0319231383,0.0293028244
68,0.0291819849,0,0,0.0291819849,0.0267866702
69,0.0910921897,0,0,0.0910921897,0.0836151638
70,0.0910921897,0,0,0.0910921897,0.0836151638
71,0.0910921897,0.3870967742,0,0.4781889639,0.4389382742
72,0.0910921897,0,0,0.0910921897,0.0836151638
73,0.0910921897,0,0,0.0910921897,0.0836151638
74,0.0910921897,0,0,0.0910921897,0.0836151638
75,0.0910921897,0,0,0.0910921897,0.0836151638
76,0.0748676926,0,0,0.0748676926,0.0687224053
77,0.0748676926,0,0,0.0748676926,0.0687224053
78,0.0748676926,0,0,0.0748676926,0.0687224053
79,0.0748676926,0,0,0.0748676926,0.0687224053
80,0.0748676926,0,0,0.0748676926,0.0687224053
81,0.0748676926,0,0,0.0748676926,0.0687224053
82,0.1340538667,0,0,0.1340538667,0.1230504619
83,0.053258921,0,0,0.053258921,0.0488873241
84,0.053258921,0,0,0.053258921,0.0488873241
85,0.053258921,0,0,0.053258921,0.0488873241
86,0.053258921,0,0,0.053258921,0.0488873241
87,0.053258921,0,0,0.053258921,0.0488873241
88,0.053258921,0,0,0.053258921,0.0488873241
89,0.053258921,0,0,0.053258921,0.0488873241
90,0.0204848106,0.0322580645,0,0.0527428751,0.0484136363
91,0.0681805905,0,0,0.0681805905,0.0625841937
92,0.0487810195,0,0,0.0487810195,0.0447769776
93,0.0331270396,0,0,0.0331270396,0.0304079071
94,0.0331270396,0,0,0.0331270396,0.0304079071
95,0.0331270396,0,0,0.0331270396,0.0304079071
96,0.0331270396,0,0,0.0331270396,0.0304079071
97,0.0331270396,0,0,0.0331270396,0.0304079071
98,0.0331270396,0,0,0.0331270396,0.0304079071
99,0,0,0,0,0
100,0,0,0,0,0
101,0,0,0,0,0
102,0.0628906546,0.1290322581,0,0.1919229127,0.1761695029
103,0.0628906546,0.0967741935,0,0.1596648481,0.1465592437
104,0.0628906546,0,0,0.0628906546,0.0577284661
105,0.0628906546,0,0,0.0628906546,0.0577284661
106,0.0628906546,0,0,0.0628906546,0.0577284661
107,0.0628906546,0,0,0.0628906546,0.0577284661
108,0.0628906546,0.0322580645,0,0.0951487191,0.0873387253
109,0.0628906546,0.0322580645,0,0.0951487191,0.0873387253
110,0.0628906546,0.0322580645,0,0.0951487191,0.0873387253
111,0.0628906546,0.0322580645,0,0.0951487191,0.0873387253
112,0.0628906546,0,0,0.0628906546,0.0577284661
113,0.0628906546,0,0,0.0628906546,0.0577284661
114,0.0628906546,0,0,0.0628906546,0.0577284661
115,0.0628906546,0,0,0.0628906546,0.0577284661
116,0.0628906546,0,0,0.0628906546,0.0577284661
117,0.0628906546,0,0,0.0628906546,0.0577284661
118,0.0628906546,0,0,0.0628906546,0.0577284661
119,0.1088195643,0,0,0.1088195643,0.0998874406
120,0.0233248998,0,0,0.0233248998,0.0214103462
121,0.0233248998,0,0,0.0233248998,0.0214103462
122,0,0,0,0,0
123,0,0,0,0,0
124,0,0,0,0,0
125,0,0,0,0,0
126,0,0,0,0,0
127,0,0,0,0,0
128,0.0826624215,0,0,0.0826624215,0.0758773275
129,0.0826624215,0,0,0.0826624215,0.0758773275
130,0.0826624215,0,0,0.0826624215,0.0758773275
131,0.0826624215,0,0,0.0826624215,0.0758773275
132,0.0279271221,0,0,0.0279271221,0.025634809
133,0,0,0,0,0
134,0,0,0,0,0
135,0,0,0,0,0
136,0,0,0,0,0
137,0,0,0,0,0
138,0,0,0,0,0
139,0,0,0,0,0
140,0,0,0,0,0
141,0.0513644277,0,0,0.0513644277,0.0471483346
142,0.0513644277,0.1612903226,0,0.2126547503,0.1951996306
143,0.0513644277,0.2258064516,0,0.2771708793,0.2544201489
144,0.0513644277,0.4193548387,0,0.4707192664,0.4320817041
145,0.0513644277,0.2580645161,0,0.3094289438,0.2840304081
146,0.0513644277,0,0,0.0513644277,0.0471483346
147,0.0513644277,0,0,0.0513644277,0.0471483346
148,0.0513644277,0,0,0.0513644277,0.0471483346
149,0,0,0,0,0
150,0,0,0,0,0
151,0.0075729517,0,0,0.0075729517,0.0069513489
152,0.0275717862,0,0,0.0275717862,0.0253086398
153,0.0275717862,0.3870967742,0,0.4146685604,0.3806317502
154,0.0275717862,0.4838709677,0,0.5114427539,0.4694625278
155,0.0087176695,0,0,0.0087176695,0.0080021061
156,0.0839932376,0,0,0.0839932376,0.0770989076
157,0,0,0,0,0
158,0,0,0,0,0
159,0,0,0,0,0
160,0,0,0,0,0
161,0,0,0,0,0
162,0,0.0322580645,0,0.0322580645,0.0296102592
163,0.0098706063,0,0,0.0098706063,0.0090604075
164,0.1340182976,0.2580645161,0,0.3920828137,0.359899886
165,0.1340182976,0.2580645161,0,0.3920828137,0.359899886
166,0.1340182976,0.3870967742,0,0.5211150718,0.4783409228
167,0,0,0,0,0
168,0.0916461437,0,0,0.0916461437,0.0841236482
169,0.0916461437,0,0,0.0916461437,0.0841236482
170,0.0916461437,0,0,0.0916461437,0.0841236482
171,0.0553390321,0,0,0.0553390321,0.0507966956
172,0.0704568457,0.1290322581,0,0.1994891038,0.1831146462
173,0.0704568457,0.0967741935,0,0.1672310392,0.1535043869
174,0.0704568457,0.1612903226,0,0.2317471683,0.2127249054
175,0.1242051624,0,0,0.1242051624,0.1140101586
176,0,0,0,0,0
177,0,0,0,0,0
178,0,0,0,0,0
179,0,0,0,0,0
180,0.0894218892,1,0,1.0894218892,1
181,0.0894218892,0.8709677419,0,0.9603896311,0.8815589632
182,0.0168782481,0,0,0.0168782481,0.0154928483
183,0.0168782481,0,0,0.0168782481,0.0154928483
184,0,0,0,0,0
185,0,0,0,0,0
186,0,0,0,0,0
187,0,0,0,0,0
188,0,0,0,0,0
189,0.0071426932,0,0,0.0071426932,0.0065564069
190,0.0459638684,0,0,0.0459638684,0.0421910638
191,0.0459638684,0,0,0.0459638684,0.0421910638
