id,normalized_employment,normalized_hotels,normalized_airports,social_added,social_subindex
93,0.0602099475,0,1,1.0602099475,0.4902640402
94,0.0602099475,0,1,1.0602099475,0.4902640402
95,0.0602099475,0,1,1.0602099475,0.4902640402
96,0.0602099475,0,1,1.0602099475,0.4902640402
97,0.0602099475,0,1,1.0602099475,0.4902640402
98,0.0602099475,0,0,0.0602099475,0.0278423837
99,0.0200699825,0,0,0.0200699825,0.0092807946
100,0,0,0,0,0
101,0,0,0,0,0
102,0.114306713,0.2727272727,0,0.3870339857,0.1789728968
103,0.114306713,0.2727272727,0,0.3870339857,0.1789728968
104,0.114306713,0.2727272727,0,0.3870339857,0.1789728968
105,0.114306713,0.2909090909,0,0.4052158039,0.1873805633
106,0.114306713,0.2727272727,0,0.3870339857,0.1789728968
107,0.114306713,0.1090909091,0,0.2233976221,0.1033038985
108,0.1560456862,0.0909090909,0,0.2469547771,0.1141972371
109,0.1560456862,0.0909090909,1,1.2469547771,0.5766188936
110,0.1560456862,0.0545454545,1,1.2105911407,0.5598035606
111,0.1560456862,0.0545454545,1,1.2105911407,0.5598035606
112,0.1239430821,0.0909090909,1,1.214852173,0.5617739543
113,0.1560456862,0.0727272727,1,1.2287729589,0.5682112271
114,0.1560456862,0.0727272727,1,1.2287729589,0.5682112271
115,0.1181618237,0.0727272727,1,1.1908890964,0.5506929087
116,0.1181618237,0.0727272727,1,1.1908890964,0.5506929087
117,0.1181618237,0.0727272727,1,1.1908890964,0.5506929087
118,0.1181618237,0.0545454545,1,1.1727072782,0.5422852422
119,0.1181618237,0.0545454545,1,1.1727072782,0.5422852422
120,0.1181618237,0.0363636364,1,1.1545254601,0.5338775758
121,0.0211970494,0,0,0.0211970494,0.0098019747
122,0.0211970494,0.0181818182,0,0.0393788676,0.0182096412
123,0,0,0,0,0
124,0.0072466225,0,0,0.0072466225,0.0033509952
125,0,0,0,0,0
126,0,0,0,0,0
127,0,0,0,0,0
128,0.0500809421,0,0,0.0500809421,0.0231585122
