id,normalized_employment,normalized_hotels,normalized_airports,social_added,social_subindex
9,0,0,0,0,0
10,0,0,0,0,0
11,0.0461919704,0.0416666667,0,0.0878586371,0.0379917954
12,0.0932235505,0,1,1.0932235505,0.4727312739
13,0.0466117752,0,1,1.0466117752,0.4525754293
14,0.0858629046,0,0,0.0858629046,0.0371288016
15,0.2672290868,0.1666666667,0,0.4338957535,0.1876250216
16,0.2672290868,0.1666666667,0,0.4338957535,0.1876250216
17,0.1765459957,0.1666666667,0,0.3432126624,0.148411877
18,0.1765459957,0.1666666667,0,0.3432126624,0.148411877
19,0.1765459957,0.1666666667,0,0.3432126624,0.148411877
20,0.1765459957,0.2083333333,0,0.384879329,0.1664293597
21,0.2672290868,0.125,0,0.3922290868,0.1696075389
22,0.2672290868,0,0,0.2672290868,0.1155550908
23,0.1539222566,0.2083333333,0,0.3622555899,0.1566464118
24,0.1539222566,0.2083333333,0,0.3622555899,0.1566464118
25,0.1781527245,0,0,0.1781527245,0.0770367272
26,0.1781527245,0,0,0.1781527245,0.0770367272
27,0.1781527245,0,0,0.1781527245,0.0770367272
28,0.2516414814,0,0,0.2516414814,0.1088147049
29,0.2516414814,0,0,0.2516414814,0.1088147049
30,0,0,0,0,0
31,0.2516414814,0,0,0.2516414814,0.1088147049
32,0.2516414814,0,0,0.2516414814,0.1088147049
33,0.2516414814,0,0,0.2516414814,0.1088147049
34,0.2516414814,0,0,0.2516414814,0.1088147049
35,0.2516414814,0,0,0.2516414814,0.1088147049
36,0.1677609876,0,0,0.1677609876,0.0725431366
37,0.1311720459,0,0,0.1311720459,0.0567213616
38,0.1010521363,0,0,0.1010521363,0.0436969228
39,0.1895239477,0,0,0.1895239477,0.0819538668
40,0.2056185242,0,1,1.2056185242,0.5213330617
41,0.2056185242,0,1,1.2056185242,0.5213330617
42,0.4068685901,0,0,0.4068685901,0.1759379468
43,0.2798612537,0,0,0.2798612537,0.1210174871
44,0.2798612537,0,0,0.2798612537,0.1210174871
45,0.2798612537,0,0,0.2798612537,0.1210174871
46,0.3220845078,0.0416666667,0,0.3637511745,0.1572931319
47,0.2166463373,0,0,0.2166463373,0.0936821192
48,0.3220845078,0.0416666667,0,0.3637511745,0.1572931319
49,0.3220845078,0.3333333333,1,1.6554178411,0.7158350956
50,0.3220845078,0.3333333333,1,1.6554178411,0.7158350956
51,0.3220845078,0.3333333333,1,1.6554178411,0.7158350956
52,0.3220845078,0.3333333333,0,0.6554178411,0.2834155108
53,0.160690039,0,0,0.160690039,0.06948552
54,0.160690039,0,0,0.160690039,0.06948552
55,0.1004319076,0,1,1.1004319076,0.4758483086
56,0.2418564402,0,0,0.2418564402,0.1045834615
57,0.2418564402,0.0833333333,0,0.3251897735,0.1406184269
58,0.1584156329,0,0,0.1584156329,0.0685020222
59,0.1239293429,0,0,0.1239293429,0.053589475
60,0.3125687065,1,1,2.3125687065,1
61,0.3125687065,1,1,2.3125687065,1
62,0.2163993582,0,1,1.2163993582,0.5259949055
63,0.1501578529,0,0,0.1501578529,0.0649311964
64,0.1949937345,0.125,0,0.3199937345,0.1383715578
65,0.2425042353,0.2916666667,0,0.534170902,0.2309859597
66,0.3309061868,0.25,0,0.5809061868,0.2511952121
67,0.0306340275,0,0,0.0306340275,0.0132467535
68,0.1154172984,0,0,0.1154172984,0.0499087003
69,0.1154172984,0,0,0.1154172984,0.0499087003
70,0.1154172984,0.875,1,1.9904172984,0.8606954219
71,0.1748274636,0.9166666667,1,2.0914941303,0.9044030235
72,0.1748274636,0.125,1,1.2998274636,0.5620708522
73,0.1592581393,0,0,0.1592581393,0.0688663385
74,0.1592581393,0,0,0.1592581393,0.0688663385
75,0.1592581393,0,0,0.1592581393,0.0688663385
76,0.1592581393,0,0,0.1592581393,0.0688663385
77,0.0941439582,0.0833333333,0,0.1774772915,0.0767446567
78,0.0672494564,0.0833333333,0,0.1505827897,0.0651149474
79,0.0672494564,0.125,0,0.1922494564,0.0831324301
80,0.0672494564,0.125,0,0.1922494564,0.0831324301
81,0.0672494564,0.125,0,0.1922494564,0.0831324301
82,0.1403114813,0.4583333333,1,1.5986448146,0.6912853271
83,0.179748778,0.2916666667,1,1.4714154447,0.6362688557
84,0.179748778,0.25,0,0.429748778,0.1858317882
85,0.179748778,0.0833333333,0,0.2630821113,0.1137618573
86,0.179748778,0.0833333333,0,0.2630821113,0.1137618573
87,0.0707658341,0.125,0,0.1957658341,0.0846529807
88,0.0707658341,0.125,0,0.1957658341,0.0846529807
89,0.0833031536,0.0416666667,0,0.1249698203,0.0540393978
90,0.0833031536,0.0416666667,0,0.1249698203,0.0540393978
91,0.1308546841,0,0,0.1308546841,0.0565841282
92,0.0936223175,0,0,0.0936223175,0.0404841237
329,0.0461919704,0.0416666667,0,0.0878586371,0.0379917954
330,0.0435817266,0,0,0.0435817266,0.0188455921
332,0.2672290868,0.1666666667,0,0.4338957535,0.1876250216
333,0.2672290868,0.1666666667,0,0.4338957535,0.1876250216
334,0.2672290868,0.1666666667,0,0.4338957535,0.1876250216
335,0.1539222566,0.2083333333,0,0.3622555899,0.1566464118
336,0.1539222566,0.2083333333,0,0.3622555899,0.1566464118
337,0.1539222566,0.2083333333,0,0.3622555899,0.1566464118
338,0.1781527245,0,0,0.1781527245,0.0770367272
339,1.000000003,0,0,1.000000003,0.4324195861
340,0.1781527245,0,0,0.1781527245,0.0770367272
341,0.1781527245,0,0,0.1781527245,0.0770367272
342,0.1781527245,0,0,0.1781527245,0.0770367272
343,0.1781527245,0,0,0.1781527245,0.0770367272
344,1.000000003,0,0,1.000000003,0.4324195861
345,0.1781527245,0,0,0.1781527245,0.0770367272
346,0.2516414814,0,0,0.2516414814,0.1088147049
347,0.501094322,0,0,0.501094322,0.2166829987
348,0,0,0,0,0
349,0.2516414814,0,0,0.2516414814,0.1088147049
350,0,0,0,0,0
351,0.2516414814,0,0,0.2516414814,0.1088147049
352,0.2516414814,0,0,0.2516414814,0.1088147049
353,0.2516414814,0,0,0.2516414814,0.1088147049
354,0.1075810719,0,0,0.1075810719,0.0465201624
355,0.1677609876,0,0,0.1677609876,0.0725431366
356,0.2001932234,0.1666666667,0,0.3668598901,0.1586374014
357,0.3002898351,0.1666666667,0,0.4669565018,0.2019211367
358,0.2001932234,0.1666666667,0,0.3668598901,0.1586374014
359,0.2001932234,0,0,0.2001932234,0.0865674706
360,0.3790478954,0,0,0.3790478954,0.1639077336
361,0.3790478954,0,1,1.3790478954,0.5963273184
362,0.3790478954,0,1,1.3790478954,0.5963273184
363,0.3790478954,0,1,1.3790478954,0.5963273184
364,0.3790478954,0,1,1.3790478954,0.5963273184
365,0.3790478954,0,1,1.3790478954,0.5963273184
366,0.2056185242,0,1,1.2056185242,0.5213330617
367,0.2056185242,0,1,1.2056185242,0.5213330617
368,0.3790478954,0,0,0.3790478954,0.1639077336
369,0.4068685901,0,0,0.4068685901,0.1759379468
370,0.4068685901,0,0,0.4068685901,0.1759379468
371,0.4068685901,0,0,0.4068685901,0.1759379468
372,0.4346892848,0,0,0.4346892848,0.1879681601
373,0.2798612537,0,0,0.2798612537,0.1210174871
374,0.2798612537,0,0,0.2798612537,0.1210174871
375,0.3220845078,0,0,0.3220845078,0.1392756491
376,0.2798612537,0.0416666667,0,0.3215279204,0.1390349699
377,0.3220845078,0.0416666667,0,0.3637511745,0.1572931319
378,0.3220845078,0.0833333333,0,0.4054178411,0.1753106145
379,0.3220845078,0.125,0,0.4470845078,0.1933280973
380,0.3220845078,0.2083333333,0,0.5304178411,0.2293630626
381,0.3220845078,0.2083333333,0,0.5304178411,0.2293630626
382,0.3220845078,0.2083333333,0,0.5304178411,0.2293630626
383,0.3220845078,0.1666666667,0,0.4887511745,0.21134558
384,0.3220845078,0.2083333333,0,0.5304178411,0.2293630626
385,0.3572752693,0.0416666667,0,0.398941936,0.1725103063
386,0.3220845078,0.25,0,0.5720845078,0.2473805454
387,0.3220845078,0.25,1,1.5720845078,0.6798001302
388,0.3220845078,0.25,1,1.5720845078,0.6798001302
389,0.3220845078,0.125,1,1.4470845078,0.6257476821
390,0.3220845078,0.1666666667,1,1.4887511745,0.6437651648
391,0.3220845078,0.3333333333,1,1.6554178411,0.7158350956
392,0.3220845078,0.5416666667,0,0.8637511745,0.3735029243
393,0.3220845078,0.625,0,0.9470845078,0.4095378897
394,0.3220845078,0.75,0,1.0720845078,0.4635903378
395,0.3125687065,0.9166666667,1,2.2292353732,0.9639650346
396,0.3125687065,0.9166666667,1,2.2292353732,0.9639650346
397,0.3220845078,0.7916666667,1,2.1137511745,0.9140274054
398,0.3125687065,0.9166666667,1,2.2292353732,0.9639650346
399,0.3125687065,0.9166666667,1,2.2292353732,0.9639650346
400,0.3125687065,0.9166666667,1,2.2292353732,0.9639650346
401,0.3125687065,0.9166666667,1,2.2292353732,0.9639650346
402,0.1630886017,0,1,1.1630886017,0.5029422903
403,0.2017424064,0,0,0.2017424064,0.0872373676
404,0.1630886017,0,1,1.1630886017,0.5029422903
405,0.160690039,0,0,0.160690039,0.06948552
406,0.2017424064,0,0,0.2017424064,0.0872373676
407,0.2017424064,0,0,0.2017424064,0.0872373676
408,0.3125687065,1,1,2.3125687065,1
409,0.1584156329,0,0,0.1584156329,0.0685020222
410,0.2418564402,0.4166666667,1,1.6585231069,0.7171778733
411,0.1239293429,0,0,0.1239293429,0.053589475
412,0.1391993196,0,1,1.1391993196,0.4926120968
413,0.1420499787,0,1,1.1420499787,0.4938447777
414,0.2163993582,0,1,1.2163993582,0.5259949055
415,0.2163993582,0,1,1.2163993582,0.5259949055
416,0.2163993582,0,1,1.2163993582,0.5259949055
417,0.2163993582,0,1,1.2163993582,0.5259949055
418,0.1420499787,0.0416666667,1,1.1837166454,0.5118622604
419,0.3125687065,1,1,2.3125687065,1
420,0.2345742391,0.8333333333,1,2.0679075724,0.894203734
421,0.2345742391,0.75,1,1.9845742391,0.8581687686
422,0.1892640307,0.0416666667,0,0.2309306974,0.0998589563
423,0.1892640307,0.0416666667,1,1.2309306974,0.5322785411
424,0.1949937345,0.0416666667,0,0.2366604012,0.1023365924
425,0.2425042353,0.25,0,0.4925042353,0.212968477
426,0.1949937345,0.0833333333,0,0.2783270678,0.1203540751
427,0.1293819736,0,0,0.1293819736,0.0559472993
428,0.1170218185,0.125,0,0.2420218185,0.1046549743
429,0.1618967075,0.0416666667,1,1.2035633742,0.5204443746
430,0.1618967075,0.0416666667,1,1.2035633742,0.5204443746
431,0.0268272021,0,0,0.0268272021,0.0116006076
432,0.1748274636,0.9166666667,1,2.0914941303,0.9044030235
433,0.1147573638,0.3333333333,0,0.4480906971,0.1937631932
434,0.1147573638,0.3333333333,0,0.4480906971,0.1937631932
435,0.1147573638,0.3333333333,0,0.4480906971,0.1937631932
436,0.1530098184,0.4583333333,0,0.6113431517,0.2643567519
437,0.1530098184,0.625,0,0.7780098184,0.3364266827
438,0.1403114813,0.6666666667,1,1.806978148,0.7813727406
439,0.1403114813,0.5,1,1.6403114813,0.7093028098
440,0.179748778,0.2083333333,1,1.3880821113,0.6002338903
441,0.10221647,0.0833333333,0,0.1855498033,0.0802353689
442,0.0707658341,0.0833333333,0,0.1540991674,0.066635498
443,0.1196162384,0,0,0.1196162384,0.0517244042
444,0.0468111588,0,1,1.0468111588,0.4526616467
519,0.0461919704,0,0,0.0461919704,0.0199743127
520,0.0928037457,0.0416666667,1,1.1344704124,0.4905672248
521,0.2817511881,0,0,0.2817511881,0.1218347318
522,0.0835951398,0,0,0.0835951398,0.0361481756
523,0.2516414814,0,0,0.2516414814,0.1088147049
524,0.1408755941,0,0,0.1408755941,0.0609173659
525,0.1311720459,0,0,0.1311720459,0.0567213616
526,0.3790478954,0,1,1.3790478954,0.5963273184
527,0.2798612537,0,0,0.2798612537,0.1210174871
528,0.3220845078,0.0416666667,0,0.3637511745,0.1572931319
529,0.3220845078,0.0833333333,0,0.4054178411,0.1753106145
530,0.3220845078,0.3333333333,1,1.6554178411,0.7158350956
531,0.3220845078,0.3333333333,1,1.6554178411,0.7158350956
532,0.3572752693,0.0416666667,0,0.398941936,0.1725103063
533,0.3125687065,0.7916666667,1,2.1042353732,0.9099125865
534,0.2418564402,0.0416666667,0,0.2835231069,0.1226009442
535,0.0268272021,0,0,0.0268272021,0.0116006076
536,0.0672494564,0.125,0,0.1922494564,0.0831324301
