id,region,join_count,numerical_direction,numerical_frequency,numerical_experience,numerical_quality,normalized_clusters,normalized_direction,normalized_frequency,normalized_experience,normalized_quality,weighted_surf,surf_subindex
0,Sul,1,1,1,1,1,0,0,0,1,0,0.5,0
1,Sul,1,1,1,1,1,0,0,0,1,0,0.5,0
2,Sul,1,1,1,1,1,0,0,0,1,0,0.5,0
3,Sul,1,1,1,1,1,0,0,0,1,0,0.5,0
4,Sul,1,1,1,1,1,0,0,0,1,0,0.5,0
5,Sul,1,1,1,1,1,0,0,0,1,0,0.5,0
6,Sul,2,1,1,1,1,0.2,0,0,1,0,0.7,0.0941176471
7,Sul,1,1,1,1,1,0,0,0,1,0,0.5,0
8,Sul,2,1,1,1,1,0.2,0,0,1,0,0.7,0.0941176471
9,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
10,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
11,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
12,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
13,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
14,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
15,Sudeste,2,1,1,1,1,0.2,0,0,1,0,0.7,0.0941176471
16,Sudeste,2,1,1,1,1,0.2,0,0,1,0,0.7,0.0941176471
17,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
18,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
19,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
20,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
21,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
22,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
23,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
24,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
25,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
26,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
27,Sudeste,2,1,1,1,1,0.2,0,0,1,0,0.7,0.0941176471
28,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
29,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
30,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
31,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
32,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
33,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
34,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
35,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
36,Sudeste,2,1,1,1,1,0.2,0,0,1,0,0.7,0.0941176471
37,Sudeste,2,1,1,1,1,0.2,0,0,1,0,0.7,0.0941176471
38,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
39,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
40,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
41,Sudeste,2,1,1,1,1,0.2,0,0,1,0,0.7,0.0941176471
42,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
43,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
44,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
45,Sudeste,2,1,1,1,1,0.2,0,0,1,0,0.7,0.0941176471
46,Sudeste,2,1,1,1,1,0.2,0,0,1,0,0.7,0.0941176471
47,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
48,Sudeste,2,1,1,1,1,0.2,0,0,1,0,0.7,0.0941176471
49,Sudeste,2,1,1,1,1,0.2,0,0,1,0,0.7,0.0941176471
50,Sudeste,2,1,1,1,1,0.2,0,0,1,0,0.7,0.0941176471
51,Sudeste,2,1,1,1,1,0.2,0,0,1,0,0.7,0.0941176471
52,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
53,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
54,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
55,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
56,Sudeste,2,1,1,1,1,0.2,0,0,1,0,0.7,0.0941176471
57,Sudeste,2,1,1,1,1,0.2,0,0,1,0,0.7,0.0941176471
58,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
59,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
60,Sudeste,2,1,1,1,1,0.2,0,0,1,0,0.7,0.0941176471
61,Sudeste,2,1,1,1,1,0.2,0,0,1,0,0.7,0.0941176471
62,Sudeste,3,1,1,1,1,0.4,0,0,1,0,0.9,0.1882352941
63,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
64,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
65,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
66,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
67,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
68,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
69,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
70,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
71,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
72,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
73,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
74,Sudeste,2,1,1,1,1,0.2,0,0,1,0,0.7,0.0941176471
75,Sudeste,2,1,1,1,1,0.2,0,0,1,0,0.7,0.0941176471
76,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
77,Sudeste,2,1,1,1,1,0.2,0,0,1,0,0.7,0.0941176471
78,Sudeste,2,1,1,1,1,0.2,0,0,1,0,0.7,0.0941176471
79,Sudeste,2,1,1,1,1,0.2,0,0,1,0,0.7,0.0941176471
80,Sudeste,3,1,1,1,1,0.4,0,0,1,0,0.9,0.1882352941
81,Sudeste,3,1,1,1,1,0.4,0,0,1,0,0.9,0.1882352941
82,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
83,Sudeste,2,1,1,1,1,0.2,0,0,1,0,0.7,0.0941176471
84,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
85,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
86,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
87,Sudeste,2,1,1,1,1,0.2,0,0,1,0,0.7,0.0941176471
88,Sudeste,2,1,1,1,1,0.2,0,0,1,0,0.7,0.0941176471
89,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
90,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
91,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
92,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
93,Nordeste,1,1,1,1,1,0,0,0,1,0,0.5,0
94,Nordeste,1,1,1,1,1,0,0,0,1,0,0.5,0
95,Nordeste,2,1,1,1,1,0.2,0,0,1,0,0.7,0.0941176471
96,Nordeste,3,1,1,1,1,0.4,0,0,1,0,0.9,0.1882352941
97,Nordeste,2,1,1,1,1,0.2,0,0,1,0,0.7,0.0941176471
98,Nordeste,1,1,1,1,1,0,0,0,1,0,0.5,0
99,Nordeste,1,1,1,1,1,0,0,0,1,0,0.5,0
100,Nordeste,1,1,1,1,1,0,0,0,1,0,0.5,0
101,Nordeste,1,1,1,1,1,0,0,0,1,0,0.5,0
102,Nordeste,2,1,1,1,1,0.2,0,0,1,0,0.7,0.0941176471
103,Nordeste,2,1,1,1,1,0.2,0,0,1,0,0.7,0.0941176471
