id,region,join_count,numerical_direction,numerical_frequency,numerical_experience,numerical_quality,normalized_clusters,normalized_direction,normalized_frequency,normalized_experience,normalized_quality,weighted_surf,surf_subindex
0,Sul,1,1,1,1,1,0,0,0,1,0,0.5,0
1,Sul,1,1,1,1,1,0,0,0,1,0,0.5,0
2,Sul,1,1,1,1,1,0,0,0,1,0,0.5,0
3,Sul,1,1,1,1,1,0,0,0,1,0,0.5,0
4,Sul,1,1,1,1,1,0,0,0,1,0,0.5,0
5,Sul,1,1,1,1,1,0,0,0,1,0,0.5,0
6,Sul,2,1,1,1,1,0.5,0,0,1,0,1,0.2352941176
7,Sul,1,1,1,1,1,0,0,0,1,0,0.5,0
8,Sul,2,1,1,1,1,0.5,0,0,1,0,1,0.2352941176
195,Sul,1,2,3,1,3,0,1,0.5,1,0.5,1.5,0.4705882353
196,Sul,1,2,2,1,3,0,1,0.25,1,0.5,1.5,0.4705882353
197,Sul,1,2,2,0,5,0,1,0.25,0,1,1.5,0.4705882353
198,Sul,1,2,2,1,3,0,1,0.25,1,0.5,1.5,0.4705882353
199,Sul,1,2,1,1,3,0,1,0,1,0.5,1.5,0.4705882353
200,Sul,1,2,3,0,3.5,0,1,0.5,0,0.625,1.125,0.2941176471
201,Sul,2,2,3,1,3,0.5,1,0.5,1,0.5,2,0.7058823529
202,Sul,2,2,3,1,3,0.5,1,0.5,1,0.5,2,0.7058823529
203,Sul,1,2,3,1,3.5,0,1,0.5,1,0.625,1.625,0.5294117647
204,Sul,1,2,3,1,3,0,1,0.5,1,0.5,1.5,0.4705882353
205,Sul,1,2,5,1,3.5,0,1,1,1,0.625,1.625,0.5294117647
206,Sul,2,2,3,1,3,0.5,1,0.5,1,0.5,2,0.7058823529
207,Sul,2,2,3,1,3,0.5,1,0.5,1,0.5,2,0.7058823529
208,Sul,1,2,3,1,3,0,1,0.5,1,0.5,1.5,0.4705882353
209,Sul,1,2,3,1,3,0,1,0.5,1,0.5,1.5,0.4705882353
210,Sul,1,2,4,0,3,0,1,0.75,0,0.5,1,0.2352941176
211,Sul,1,2,3,1,3,0,1,0.5,1,0.5,1.5,0.4705882353
212,Sul,1,2,2,1,3,0,1,0.25,1,0.5,1.5,0.4705882353
213,Sul,1,2,3,1,3.5,0,1,0.5,1,0.625,1.625,0.5294117647
214,Sul,1,1,2,0,5,0,0,0.25,0,1,1,0.2352941176
215,Sul,2,2,3,0,3.5,0.5,1,0.5,0,0.625,1.625,0.5294117647
216,Sul,2,2,3,0,3.5,0.5,1,0.5,0,0.625,1.625,0.5294117647
217,Sul,2,2,3,1,3.5,0.5,1,0.5,1,0.625,2.125,0.7647058824
218,Sul,2,2,2,0,3.5,0.5,1,0.25,0,0.625,1.625,0.5294117647
219,Sul,1,2,2,0,3,0,1,0.25,0,0.5,1,0.2352941176
220,Sul,1,2,2,0,3.5,0,1,0.25,0,0.625,1.125,0.2941176471
221,Sul,1,2,3,1,3.5,0,1,0.5,1,0.625,1.625,0.5294117647
222,Sul,1,2,4,0,3.5,0,1,0.75,0,0.625,1.125,0.2941176471
223,Sul,1,2,3,1,3.5,0,1,0.5,1,0.625,1.625,0.5294117647
224,Sul,1,1,2,1,3,0,0,0.25,1,0.5,1,0.2352941176
225,Sul,1,2,3,0,3,0,1,0.5,0,0.5,1,0.2352941176
226,Sul,1,2,4,1,3.5,0,1,0.75,1,0.625,1.625,0.5294117647
227,Sul,2,1,1,0,5,0.5,0,0,0,1,1.5,0.4705882353
228,Sul,2,1,1,1,3,0.5,0,0,1,0.5,1.5,0.4705882353
229,Sul,1,2,4,1,3,0,1,0.75,1,0.5,1.5,0.4705882353
230,Sul,1,2,3,1,3,0,1,0.5,1,0.5,1.5,0.4705882353
231,Sul,1,2,2,1,3.5,0,1,0.25,1,0.625,1.625,0.5294117647
232,Sul,1,2,3,1,3.5,0,1,0.5,1,0.625,1.625,0.5294117647
233,Sul,1,1,3,0,3.5,0,0,0.5,0,0.625,0.625,0.0588235294
234,Sul,2,2,4,1,3.5,0.5,1,0.75,1,0.625,2.125,0.7647058824
235,Sul,2,2,3,1,3.5,0.5,1,0.5,1,0.625,2.125,0.7647058824
236,Sul,1,2,4,0,4,0,1,0.75,0,0.75,1.25,0.3529411765
237,Sul,1,2,4,0,4,0,1,0.75,0,0.75,1.25,0.3529411765
238,Sul,1,2,2,1,3,0,1,0.25,1,0.5,1.5,0.4705882353
239,Sul,2,2,4,0,4,0.5,1,0.75,0,0.75,1.75,0.5882352941
240,Sul,1,2,4,1,3.5,0,1,0.75,1,0.625,1.625,0.5294117647
241,Sul,1,2,2,1,3.5,0,1,0.25,1,0.625,1.625,0.5294117647
242,Sul,1,1,2,0,3.5,0,0,0.25,0,0.625,0.625,0.0588235294
243,Sul,1,2,2,0,2,0,1,0.25,0,0.25,0.75,0.1176470588
244,Sul,1,2,3,1,3.5,0,1,0.5,1,0.625,1.625,0.5294117647
245,Sul,1,2,4,1,3.5,0,1,0.75,1,0.625,1.625,0.5294117647
246,Sul,1,1,4,0,4,0,0,0.75,0,0.75,0.75,0.1176470588
247,Sul,1,2,2,1,3,0,1,0.25,1,0.5,1.5,0.4705882353
248,Sul,1,2,3,1,3.5,0,1,0.5,1,0.625,1.625,0.5294117647
249,Sul,1,2,1,1,3.5,0,1,0,1,0.625,1.625,0.5294117647
250,Sul,1,1,3,0,4,0,0,0.5,0,0.75,0.75,0.1176470588
251,Sul,1,1,1,0,3.5,0,0,0,0,0.625,0.625,0.0588235294
252,Sul,1,1,3,0,5,0,0,0.5,0,1,1,0.2352941176
253,Sul,1,1,3,0,3.5,0,0,0.5,0,0.625,0.625,0.0588235294
254,Sul,1,2,3,1,3,0,1,0.5,1,0.5,1.5,0.4705882353
255,Sul,1,2,4,1,3.5,0,1,0.75,1,0.625,1.625,0.5294117647
256,Sul,1,2,4,0,3.5,0,1,0.75,0,0.625,1.125,0.2941176471
257,Sul,1,2,2,1,3,0,1,0.25,1,0.5,1.5,0.4705882353
258,Sul,1,1,3,0,3.5,0,0,0.5,0,0.625,0.625,0.0588235294
259,Sul,1,2,4,0,3,0,1,0.75,0,0.5,1,0.2352941176
260,Sul,1,1,2,0,4,0,0,0.25,0,0.75,0.75,0.1176470588
261,Sul,1,2,3,0,5,0,1,0.5,0,1,1.5,0.4705882353
262,Sul,1,1,4,0,4,0,0,0.75,0,0.75,0.75,0.1176470588
263,Sul,1,2,3,1,3.5,0,1,0.5,1,0.625,1.625,0.5294117647
264,Sul,1,2,4,1,3.5,0,1,0.75,1,0.625,1.625,0.5294117647
265,Sul,1,2,3,0,3,0,1,0.5,0,0.5,1,0.2352941176
266,Sul,1,2,4,1,3.5,0,1,0.75,1,0.625,1.625,0.5294117647
267,Sul,1,2,4,1,3.5,0,1,0.75,1,0.625,1.625,0.5294117647
268,Sul,1,2,4,0,3.5,0,1,0.75,0,0.625,1.125,0.2941176471
269,Sul,1,1,1,1,3.5,0,0,0,1,0.625,1.125,0.2941176471
270,Sul,1,1,1,1,3.5,0,0,0,1,0.625,1.125,0.2941176471
271,Sul,1,2,2,1,3,0,1,0.25,1,0.5,1.5,0.4705882353
272,Sul,2,2,3,0,3.5,0.5,1,0.5,0,0.625,1.625,0.5294117647
273,Sul,2,2,4,1,3,0.5,1,0.75,1,0.5,2,0.7058823529
274,Sul,2,1,1,0,4,0.5,0,0,0,0.75,1.25,0.3529411765
275,Sul,1,1,1,0,4,0,0,0,0,0.75,0.75,0.1176470588
276,Sul,1,1,1,0,3.5,0,0,0,0,0.625,0.625,0.0588235294
277,Sul,1,2,2,0,3.5,0,1,0.25,0,0.625,1.125,0.2941176471
