id,region,join_count,numerical_direction,numerical_frequency,numerical_experience,numerical_quality,normalized_clusters,normalized_direction,normalized_frequency,normalized_experience,normalized_quality,weighted_surf,surf_subindex
93,Nordeste,6,1,1,1,1,0.454545,0,0,1,0,0.954545,0.2339178728
94,Nordeste,6,1,1,1,1,0.454545,0,0,1,0,0.954545,0.2339178728
95,Nordeste,6,1,1,1,1,0.454545,0,0,1,0,0.954545,0.2339178728
96,Nordeste,6,1,1,1,1,0.454545,0,0,1,0,0.954545,0.2339178728
97,Nordeste,6,1,1,1,1,0.454545,0,0,1,0,0.954545,0.2339178728
98,Nordeste,1,1,1,1,1,0,0,0,1,0,0.5,0
99,Nordeste,1,1,1,1,1,0,0,0,1,0,0.5,0
100,Nordeste,7,1,1,1,1,0.545455,0,0,1,0,1.045455,0.280701962
101,Nordeste,7,1,1,1,1,0.545455,0,0,1,0,1.045455,0.280701962
102,Nordeste,5,1,1,1,1,0.363636,0,0,1,0,0.8636360000000001,0.1871342983
103,Nordeste,5,1,1,1,1,0.363636,0,0,1,0,0.8636360000000001,0.1871342983
104,Nordeste,5,1,1,1,1,0.363636,0,0,1,0,0.8636360000000001,0.1871342983
105,Nordeste,5,1,1,1,1,0.363636,0,0,1,0,0.8636360000000001,0.1871342983
106,Nordeste,5,1,1,1,1,0.363636,0,0,1,0,0.8636360000000001,0.1871342983
107,Nordeste,7,1,1,1,1,0.545455,0,0,1,0,1.045455,0.280701962
108,Nordeste,7,1,1,1,1,0.545455,0,0,1,0,1.045455,0.280701962
109,Nordeste,8,1,1,1,1,0.636364,0,0,1,0,1.136364,0.3274855366
110,Nordeste,12,1,1,1,1,1,0,0,1,0,1.5,0.5146198349
111,Nordeste,12,1,1,1,1,1,0,0,1,0,1.5,0.5146198349
112,Nordeste,11,1,1,1,1,0.909091,0,0,1,0,1.409091,0.4678362603
113,Nordeste,11,1,1,1,1,0.909091,0,0,1,0,1.409091,0.4678362603
114,Nordeste,11,1,1,1,1,0.909091,0,0,1,0,1.409091,0.4678362603
