id,region,join_count,numerical_direction,numerical_frequency,numerical_experience,numerical_quality,normalized_clusters,normalized_direction,normalized_frequency,normalized_experience,normalized_quality,weighted_surf,surf_subindex
0,Sul,8,1,1,1,1,0.7,0,0,1,0,1.2,0.3116883117
1,Sul,5,1,1,1,1,0.4,0,0,1,0,0.9,0.1558441558
2,Sul,5,1,1,1,1,0.4,0,0,1,0,0.9,0.1558441558
3,Sul,7,1,1,1,1,0.6,0,0,1,0,1.1,0.2597402597
4,Sul,4,1,1,1,1,0.3,0,0,1,0,0.8,0.1038961039
5,Sul,5,1,1,1,1,0.4,0,0,1,0,0.9,0.1558441558
6,Sul,7,1,1,1,1,0.6,0,0,1,0,1.1,0.2597402597
7,Sul,7,1,1,1,1,0.6,0,0,1,0,1.1,0.2597402597
8,Sul,6,1,1,1,1,0.5,0,0,1,0,1,0.2077922078
195,Sul,1,2,3,1,3,0,1,0.5,1,0.5,1.5,0.4675324675
196,Sul,1,2,2,1,3,0,1,0.25,1,0.5,1.5,0.4675324675
197,Sul,2,2,2,0,5,0.1,1,0.25,0,1,1.6,0.5194805195
198,Sul,2,2,2,1,3,0.1,1,0.25,1,0.5,1.6,0.5194805195
199,Sul,1,2,1,1,3,0,1,0,1,0.5,1.5,0.4675324675
200,Sul,1,2,3,0,3.5,0,1,0.5,0,0.625,1.125,0.2727272727
201,Sul,4,2,3,1,3,0.3,1,0.5,1,0.5,1.8,0.6233766234
202,Sul,4,2,3,1,3,0.3,1,0.5,1,0.5,1.8,0.6233766234
203,Sul,5,2,3,1,3.5,0.4,1,0.5,1,0.625,2.025,0.7402597403
204,Sul,6,2,3,1,3,0.5,1,0.5,1,0.5,2,0.7272727273
205,Sul,2,2,5,1,3.5,0.1,1,1,1,0.625,1.725,0.5844155844
206,Sul,3,2,3,1,3,0.2,1,0.5,1,0.5,1.7,0.5714285714
207,Sul,3,2,3,1,3,0.2,1,0.5,1,0.5,1.7,0.5714285714
208,Sul,3,2,3,1,3,0.2,1,0.5,1,0.5,1.7,0.5714285714
209,Sul,3,2,3,1,3,0.2,1,0.5,1,0.5,1.7,0.5714285714
210,Sul,3,2,4,0,3,0.2,1,0.75,0,0.5,1.2,0.3116883117
211,Sul,7,2,3,1,3,0.6,1,0.5,1,0.5,2.1,0.7792207792
212,Sul,8,2,2,1,3,0.7,1,0.25,1,0.5,2.2,0.8311688312
213,Sul,8,2,3,1,3.5,0.7,1,0.5,1,0.625,2.325,0.8961038961
214,Sul,8,1,2,0,5,0.7,0,0.25,0,1,1.7,0.5714285714
215,Sul,8,2,3,0,3.5,0.7,1,0.5,0,0.625,1.825,0.6363636364
216,Sul,8,2,3,0,3.5,0.7,1,0.5,0,0.625,1.825,0.6363636364
217,Sul,8,2,3,1,3.5,0.7,1,0.5,1,0.625,2.325,0.8961038961
218,Sul,7,2,2,0,3.5,0.6,1,0.25,0,0.625,1.725,0.5844155844
219,Sul,1,2,2,0,3,0,1,0.25,0,0.5,1,0.2077922078
220,Sul,2,2,2,0,3.5,0.1,1,0.25,0,0.625,1.225,0.3246753247
221,Sul,2,2,3,1,3.5,0.1,1,0.5,1,0.625,1.725,0.5844155844
222,Sul,1,2,4,0,3.5,0,1,0.75,0,0.625,1.125,0.2727272727
223,Sul,1,2,3,1,3.5,0,1,0.5,1,0.625,1.625,0.5324675325
224,Sul,6,1,2,1,3,0.5,0,0.25,1,0.5,1.5,0.4675324675
225,Sul,6,2,3,0,3,0.5,1,0.5,0,0.5,1.5,0.4675324675
226,Sul,6,2,4,1,3.5,0.5,1,0.75,1,0.625,2.125,0.7922077922
227,Sul,7,1,1,0,5,0.6,0,0,0,1,1.6,0.5194805195
