id,normalized_built_area,normalized_human_mod,normalized_pop_change,normalized_ports,normalized_roads,added_pressure,pressure_index
0,0.0496285282,0.4091429136,0.0057875825,0,0.0705526014,0.5351116257,0.1446585639
1,0.0740376852,0.5880591488,0.0086348915,0.0476190476,0.111498482,0.8298492551,0.2283397586
2,0.0103932707,0.6666990683,0,0.0952380952,0.1147409967,0.8870714309,0.2445861403
3,0.0111418968,0.6247747238,0,0.0952380952,0.1476417517,0.8787964675,0.2422367327
4,0.002446181,0.4227727667,0.1706331533,0,0.0950594648,0.6909115658,0.188892906
5,0.0126775451,0.6115176563,0.1706331533,0,0.1419962284,0.9368245831,0.2587119349
6,0.0248591894,0.7835057951,0.1706331533,0,0.1698453119,1.1488434497,0.3189078186
7,0.0067117197,0.5468371225,0.0128074856,0.1428571429,0.1058794002,0.8150928709,0.2241501617
8,0.0144521375,0.5283532719,0.0104595907,0,0.153122837,0.7063878371,0.1932868915
9,0.0129094509,0.3201768265,0.0030570197,0,0.1047532099,0.440896507,0.1179092353
10,0.0229832606,0.475094285,0.0030570197,0,0.1380253653,0.6391599306,0.1741997069
11,0.0165832865,0.5793992194,0.0034872509,0,0.2425631929,0.8420329497,0.2317989237
12,0.0133919361,0.6165106042,0.0325635294,0,0.2837238469,0.9461899166,0.2613709177
13,0.0100421235,0.6120396278,0.0325635294,0,0.2224706707,0.8771159514,0.2417596046
14,0.0328351213,0.7872488506,0.1480276386,0,0.3596090647,1.3277206752,0.3696942077
15,0.0890873633,0.8978617628,0.0560813937,0.380952381,0.2739278186,1.6979107194,0.4747976694
16,0.0929689406,0.9017997701,0.0560813937,0.380952381,0.2907235394,1.7225260248,0.4817863873
17,0.1066246349,0.882217827,0.0560813937,0.380952381,0.3025490108,1.7284252474,0.4834612803
18,0.0638671675,0.8456923377,0.0560813937,0,0.3602764325,1.3259173314,0.3691822066
19,0.1191194249,0.8945460345,0.0560813937,0.380952381,0.3451288236,1.7958280577,0.5025981232
20,0.1328315719,0.8880736384,0.0560813937,0.380952381,0.427649233,1.885588218,0.5280826107
21,0.1095321201,0.781993075,0.0560813937,0.380952381,0.3552823144,1.6838412842,0.4708031094
22,0.0497247065,0.7459905059,0.0560813937,0.3333333333,0.2464852227,1.4316151621,0.399191679
23,0.159452823,0.8376458606,0.0225082263,0.4285714286,0.5210697471,1.9692480856,0.5518351179
24,0.1659216912,0.8272598579,0.0225082263,0.5238095238,0.5713039115,2.1108032107,0.5920251066
25,0.0115181345,0.513204545,0.0380635704,0,0.1541870238,0.7169732737,0.196292283
26,0.0045973684,0.4507057296,0.0380635704,0,0.0975820797,0.5909487481,0.1605117046
27,0.0091078692,0.4447841207,0.0380635704,0,0.1197584244,0.6117139847,0.1664073203
28,0.0028171028,0.2875821841,0.0473881291,0,0.0563959207,0.3941833367,0.1046465451
29,0.0034246709,0.3229241989,0.0473881291,0,0.062732217,0.4364692159,0.1166522496
30,0.0357750947,0.3612703655,0.0380635704,0,0.0869500228,0.5220590534,0.1409527092
31,0.0040135031,0.3526270776,0.0473881291,0,0.0607025387,0.4647312485,0.1246763375
32,0.0045583989,0.3529561136,0.0473881291,0,0.0663608552,0.4712634968,0.1265309576
33,0.0045583989,0.3484410475,0.0473881291,0,0.0659800292,0.4663676047,0.1251409278
34,0.0038558594,0.3311794679,0.0473881291,0,0.0629268623,0.4453503187,0.1191737508
35,0.0045375088,0.3308186279,0.0473881291,0,0.0676351874,0.4503794532,0.1206016105
36,0.0031447382,0.3131842829,0.0380635704,0,0.0568603559,0.4112529474,0.1094929076
37,0.0033510383,0.3004143947,0.0380635704,0,0.0585131291,0.4003421325,0.1063951355
38,0.0012800584,0.3215095002,0.0380635704,0,0.0610585468,0.4219116758,0.112519108
