id,normalized_built_area,normalized_human_mod,normalized_pop_change,normalized_ports,normalized_roads,added_pressure,pressure_index
0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,1
2,0,0.7409802998,0.0096639873,0,0.0237739868,0.7744182739,0.7800561664
3,0.0018058686,0.7964394506,0.0096639873,0,0.2590611702,1.0669704767,0.6969679244
4,0.0035001095,0,0.0747867221,0,0.0881799259,0.1664667575,0.9527214968
5,0,0,0,0,0,0,1
6,0.0150459996,0.7009543145,0.1706331533,0,0.170452582,1.0570860494,0.6997752172
7,0.1453401043,0.7378688944,0.0220931288,0,0.3726632346,1.2779653621,0.6370429129
8,0.0134200095,0.8331530596,0.0113373488,0,0.2874071173,1.1453175352,0.6747164448
9,0,0.4036254325,0.0050179227,0,0.0749682605,0.4836116157,0.8626486535
10,0.0024908317,0,0.0050179227,0,0.0470076955,0.0545164499,0.9845166916
11,0,0.9150832073,0,0,0,0.9150832073,0.7401056827
12,0.014782856,0.7488209851,0.0325635294,0,0.3371182227,1.1332855932,0.6781336569
13,0.0018052382,0.7173502658,0.0283833684,0,0.0058741386,0.753413011,0.7860219064
14,0,0,0,0,0,0,1
15,0.0030383154,0.4678745773,0.0560813937,0,0.0822020579,0.6091963443,0.8269811239
16,6.227413e-4,0.4880116404,0.0560813937,0,0.100112856,0.6448286314,0.8168611383
17,0,0.4309781809,0.0560813937,0,0.0327454134,0.519804988,0.8523693131
18,0,0.4706255316,0.1480276386,0,0.0585729575,0.6772261277,0.807659871
19,0,0.631051867,0.0560813937,0,0.2341882455,0.9213215062,0.7383339329
20,0,0,0,0,0,0,1
21,0.0444493455,0.8757684654,0.0560813937,0,0.3090496865,1.2853488911,0.6349459044
22,0.0542361585,0.8934599934,0.0560813937,0,0.3517014438,1.3554789894,0.6150281375
23,0.2359974783,1,0.0030635056,0,0.4847369362,1.7237979201,0.5104212599
24,0.0750993836,0.9124481782,0.0030635056,0,0.4780644085,1.4686754759,0.5828790134
25,0,0.681748462,0.0560813937,0,0.210943542,0.9487733977,0.7305372751
26,0,0.4290844731,0.0560813937,0,0.0058648289,0.4910306957,0.8605415481
27,0.0011416995,0.8682371462,0.0380635704,0,0.2332334373,1.1406758534,0.6760347367
28,0.0358416754,0.5464545483,0.0343839046,0,0.2965157035,0.9131958318,0.7406417193
29,0.0010157036,0,0.0343839046,0,0.1139784617,0.1493780699,0.9575748837
30,0,0,0.0380635704,0,0.0147593834,0.0528229538,0.9849976642
31,0.0213736054,0.5112073555,0.0343839046,0,0.2048901741,0.7718550396,0.7807841549
32,0.0068888794,0.5441423411,0.0343839046,0,0.1995499475,0.7849650726,0.7770607524
33,0.0168786177,0.5341752736,0.0343839046,0,0.177818787,0.7632565829,0.783226217
34,0.0035857461,0.6480532978,0.0343839046,0,0.0862545569,0.7722775054,0.7806641697
35,0,0.6005081869,0.0343839046,0,0.0781245286,0.7130166201,0.7974949532
36,0.0224932158,0.5549436155,0.0343839046,0,0.1278199034,0.7396406393,0.7899334208
