id,normalized_heritage,normalized_priority,normalized_wsr,normalized_protected,normalized_bandeira,normalized_ramsar,response_added,response_index
0,0,0,0,0.6140885611,0,0,0.6140885611,0.2245075691
1,0,0,0,0.4254391246,0,0,0.4254391246,0.1555383208
2,0,0,0,0.4585828123,0,0,0.4585828123,0.1676554799
3,0,0,0,0.4012873405,0,0,0.4012873405,0.1467085548
4,0,0.4183585495,1.0000000029,0.6495478796,0,0,2.067906432,0.7560157858
5,0,0.3071834868,0,0.1307378244,0,0,0.4379213112,0.160101743
6,0,0.1210591256,0,0.0403449941,0,0,0.1614041197,0.0590085028
7,0,0.0894548304,0,0.0417104259,0.6666666667,0,0.797831923,0.291683182
8,0,0.1494999482,0,0.2548280877,0,0.2225114632,0.6268394991,0.2291692454
9,0.0604974432,0.0458637854,0,0.7313468289,0,0.1438737769,0.9815818344,0.3588611895
10,0,0,0,0.6940032341,0,0.1986544892,0.8926577233,0.3263509991
11,0.1673915249,0.1830064957,0,0.5966044562,0,0.2285917044,1.1755941812,0.4297910896
12,0,0,0,0.3923988667,0,0,0.3923988667,0.1434589752
13,0,0,0,0.4294066759,0,0,0.4294066759,0.1569888369
14,0,0.058791095,0,0.3876541332,0,0,0.4464452282,0.1632180426
15,0,1.7856e-5,0,0.3378456423,0.3333333333,0,0.6711968316,0.2453860543
16,0,1.7856e-5,0,0.3389375664,0.3333333333,0,0.6722887557,0.2457852561
17,0,0.0389417116,0,0.2987473366,0.3333333333,0,0.6710223815,0.2453222763
18,0,0.0588500853,0,0.2809892081,0,0,0.3398392934,0.1242434699
19,0,1.239379e-4,0,0.3063932279,0.3333333333,0,0.6398504991,0.233925999
20,0,0.0588679413,0,0.2442356602,0.3333333333,0,0.6364369348,0.2326780177
21,0,0,0,0.3598557901,0.3333333333,0,0.6931891234,0.2534263213
22,0,0,0,0.4802577697,0.3333333333,0,0.813591103,0.2974446559
23,0,0.0402118529,0,0.1626899692,0.3333333333,0,0.5362351554,0.1960447707
24,0,0.054684791,0,0.1223688626,0.3333333333,0,0.5103869869,0.1865948154
25,0,0.1080580171,0,0.4714903364,0,0,0.5795483535,0.2118798496
26,0,0.2448110693,0,0.614327348,0,0,0.8591384173,0.314096516
27,0,0.353779373,0,0.6151694635,0,0,0.9689488365,0.3542426314
28,0,0.8388288494,0,0.7100929206,0,0,1.54892177,0.5662777053
29,0,0.6682925672,0,0.6926293943,0,0,1.3609219615,0.4975459577
30,0,0.315000562,0,0.6438054072,0,0,0.9588059692,0.3505344522
31,0,0.5567175292,0,0.6726652126,0,0,1.2293827418,0.4494559063
32,0,0.4936104996,0,0.6358310104,0,0,1.12944151,0.4129179142
33,0,0.4453780134,0,0.6173988762,0,0,1.0627768896,0.3885456774
34,0,0.4157809041,0,0.6076431573,0,0,1.0234240614,0.374158489
35,0,0.4532900061,0,0.6083125596,0,0,1.0616025657,0.3881163507
36,0,0.4263020339,0,0.6064546808,0,0,1.0327567147,0.3775704583
37,0,0.4349610737,0,0.586718195,0,0,1.0216792687,0.3735206019
38,0,0.3027646646,0,0.5989161005,0,0,0.9016807651,0.329649776
39,0,0.6524430082,0,0.5645837905,0,0,1.2170267987,0.4449386381
40,0,0.6073288216,0,0.54915598,0,0,1.1564848016,0.4228048003
41,0,0.5491957859,0,0.6370612742,0,0,1.1862570601,0.4336893825
42,0,0.6597348093,0,0.886527795,0,0,1.5462626043,0.5653055282
43,0,0.65855011510000006,0,0.5274901177,0,0,1.1860402328,0.4336101115
44,0,0.907158028,0,0.7683002378,0,0,1.6754582658,0.612538787
45,0,0.8005388719,0,0.6455988299,0,0,1.4461377018,0.5287003871
46,0,0.3538804302,0,0.3262390991,0.3333333333,0,1.0134528626,0.3705130708
47,0,0.3450071358,0,0.3712255202,0.3333333333,0,1.0495659893,0.3837158412
48,0,0.3821336542,0,0.349642606,0.3333333333,0,1.0651095935,0.3893985017
49,0,0.2300102236,0,0.2116829494,0.6666666667,0,1.1083598397,0.4052105657
50,0,0.0532942677,0,0.0778324055,0.3333333333,0,0.4644600065,0.1698041514
51,0,0.0655958917,0,0.0860723201,0.3333333333,0,0.4850015451,0.1773140305
52,0,0.2372197254,0,0.1330020248,0,0,0.3702217502,0.1353511373
53,0,0.113750693,0,0.0895864578,0,0,0.2033371508,0.0743389998
54,0,0.276963458,0,0.2364048074,0.3333333333,0,0.8467015987,0.3095496801
55,0,0.080209033,0,0.0554054763,0,0,0.1356145093,0.049579956
