id,normalized_heritage,normalized_priority,normalized_wsr,normalized_protected,normalized_bandeira,normalized_ramsar,response_added,response_index
0,0,0,0,0.6339660659,0,0,0.6339660659,0.227553705
1,0,0,0,0.3662690651,0,0,0.3662690651,0.1314674196
2,0,0,0,0.3901974282,0,0,0.3901974282,0.1400561879
3,0,0,0,0.3055020237,0,0,0.3055020237,0.1096558966
4,0,0.2150656007,0.804241705,0.6675553124,0,0,1.6868626181,0.6054769477
5,0,0.1960403752,0,0.0833994472,0,0,0.2794398224,0.1003012154
6,0,0.1008423151,0,0.0520857077,0,0,0.1529280228,0.054891484
7,0,0,0,0,0.3333333333,0,0.3333333333,0.1196455758
8,0,0.2073762233,0,0.2611933152,0,0.0418158176,0.5103853561,0.1831960494
9,0,0,0,0.8461502604,0,0.1432811391,0.9894313995,0.3551432685
10,0,0,0,0.7464949639,0,0.1484125532,0.8949075171,0.3212151755
11,0.0573848135,0.0989536412,0,0.5239633739,0,0.1021768964,0.782478725,0.2808603528
12,0,0,0,0.357034486,0,0,0.357034486,0.12815279
13,0,0,0,0.4234019412,0,0,0.4234019412,0.1519745071
14,0,0.0318187705,0,0.4213056139,0,0,0.4531243844,0.1626429836
15,0,0,0,0.4242521265,0.3333333333,0,0.7575854598,0.2719252457
16,0,0,0,0.418806272,0.3333333333,0,0.7521396053,0.2699705285
17,0,0,0,0.2218823877,0.3333333333,0,0.555215721,0.1992873139
18,0,0.1565672567,0,0.3835747739,0,0,0.5401420306,0.1938768128
19,0,0,0,0.2895800027,0.3333333333,0,0.622913336,0.2235864743
20,0,0.1066219925,0,0.2086487721,0,0,0.3152707646,0.1131622565
21,0,0,0,0.3101434639,0.3333333333,0,0.6434767972,0.2309674557
22,0,0,0,0.3991049601,0,0,0.3991049601,0.1432534283
23,0,0,0,0.0026713468,0,0,0.0026713468,9.588445e-4
24,0,6.8596e-5,0,0.0032371982,0,0,0.0033057942,0.001186571
25,0,0.0068703161,0,0.4206241684,0,0,0.4274944845,0.1534434712
26,0,0.0292837309,0,0.5555378807,0,0,0.5848216116,0.2099139554
27,0,0.0231296084,0,0.4414431537,0,0,0.4645727621,0.1667522269
28,0,0.5772831327,0,0.6052735605,0,0,1.1825566932,0.4244630294
29,0,0.4061810333,0,0.5841756418,0,0,0.9903566751,0.3554753839
30,0,0.0306490864,0,0.5541657528,0,0,0.5848148392,0.2099115245
31,0,0.2555321478,0,0.5032663528,0,0,0.7587985006,0.2723606506
32,0,0.1881006993,0,0.5005125465,0,0,0.6886132458,0.2471685849
33,0,0.2251721407,0,0.5240961384,0,0,0.7492682791,0.268939904
34,0,0.2539517209,0,0.5219088975,0,0,0.7758606184,0.2784848713
35,0,0.2849959117,0,0.5341429583,0,0,0.81913887,0.2940190253
36,0,0.1597754522,0,0.44482308,0,0,0.6045985322,0.2170126185
37,0,0.0808853694,0,0.367125731,0,0,0.4480111004,0.1608076382
38,0,0.0322770173,0,0.37886911,0,0,0.4111461273,0.1475754454
39,0,0.2416348289,0,0.2979270139,0,0,0.5395618428,0.1936685621
40,0,0.2043906889,0,0.3087114762,0,0,0.5131021651,0.184171212
41,0,0.2675285038,0,0.4954755103,0,0,0.7630040141,0.2738701638
42,0,0.5478248186,0,0.7403993154,0,0,1.288224134,0.4623909548
43,0,0.9445320267,0,0.8979961629,0,0,1.8425281896,0.6613510385
