id,normalized_employment,normalized_hotels,normalized_airports,social_added,social_subindex
0,0.0412441374,0.0181818182,0,0.0594259556,0.0274798488
1,0,0.1090909091,1,1.1090909091,0.5128676554
2,0,0,0,0,0
3,0,0,0,0,0
4,0.1698490512,0,0,0.1698490512,0.0785418796
5,0.443347932,0.3454545455,0,0.7888024775,0.3647593483
6,0.443347932,0.0363636364,0,0.4797115684,0.2218290181
7,0.0670847728,0.0727272727,1,1.1398120455,0.5270737742
8,0.174128294,0.0545454545,0,0.2286737485,0.1057436936
9,0,0,0,0,0
10,0,0,0,0,0
11,0.0437445139,0.0181818182,0,0.0619263321,0.0286360771
12,0.0882841512,0,1,1.0882841512,0.50324616
13,0.0441420756,0,1,1.0441420756,0.4828339082
14,0.0813135051,0,0,0.0813135051,0.0376011257
15,0.2530700984,0.0727272727,0,0.3257973711,0.15065576
16,0.2530700984,0.0727272727,0,0.3257973711,0.15065576
17,0.1671918017,0.0727272727,0,0.2399190744,0.1109437758
18,0.1671918017,0.0727272727,0,0.2399190744,0.1109437758
19,0.1671918017,0.0727272727,0,0.2399190744,0.1109437758
20,0.1671918017,0.0909090909,0,0.2581008926,0.1193514423
21,0.2530700984,0.0545454545,0,0.3076155529,0.1422480935
22,0.2530700984,0,0,0.2530700984,0.1170250941
23,0.1457667691,0.0909090909,0,0.23667586,0.1094440432
24,0.1457667691,0.0909090909,0,0.23667586,0.1094440432
25,0.1687133989,0,0,0.1687133989,0.0780167294
26,0.1687133989,0,0,0.1687133989,0.0780167294
27,0.1687133989,0,0,0.1687133989,0.0780167294
28,0.2383083938,0,0,0.2383083938,0.1101989622
29,0.2383083938,0,0,0.2383083938,0.1101989622
30,0,0,0,0,0
31,0.2383083938,0,0,0.2383083938,0.1101989622
32,0.2383083938,0,0,0.2383083938,0.1101989622
33,0.2383083938,0,0,0.2383083938,0.1101989622
34,0.2383083938,0,0,0.2383083938,0.1101989622
35,0.2383083938,0,0,0.2383083938,0.1101989622
36,0.1588722625,0,0,0.1588722625,0.0734659748
37,0.1242219661,0,0,0.1242219661,0.0574429273
38,0.0956979435,0,0,0.0956979435,0.0442528016
39,0.179482124,0,0,0.179482124,0.0829964211
40,0.1947239381,0,1,1.1947239381,0.5524662225
41,0.1947239381,0,1,1.1947239381,0.5524662225
42,0.3853108782,0,0,0.3853108782,0.1781760946
43,0.2650329567,0,0,0.2650329567,0.1225569789
44,0.2650329567,0,0,0.2650329567,0.1225569789
45,0.2650329567,0,0,0.2650329567,0.1225569789
46,0.3050190346,0.0181818182,0,0.3232008528,0.1494550737
47,0.2051674485,0,0,0.2051674485,0.0948738714
48,0.3050190346,0.0181818182,0,0.3232008528,0.1494550737
49,0.3050190346,0.1454545455,1,1.4504735801,0.6707303956
50,0.3050190346,0.1454545455,1,1.4504735801,0.6707303956
51,0.3050190346,0.1454545455,1,1.4504735801,0.6707303956
52,0.3050190346,0.1454545455,0,0.4504735801,0.2083087391
53,0.1521759643,0,0,0.1521759643,0.0703694615
54,0.1521759643,0,0,0.1521759643,0.0703694615
55,0.0951105774,0,1,1.0951105774,0.5064028473
56,0.2290418077,0,0,0.2290418077,0.1059138921
57,0.2290418077,0.0363636364,0,0.2654054441,0.1227292251
58,0.1500220664,0,0,0.1500220664,0.0693734525
59,0.1173630137,0,0,0.1173630137,0.0542711992
60,0.2960074229,0.4363636364,1,1.7323710593,0.8010858949
61,0.2960074229,0.4363636364,1,1.7323710593,0.8010858949
62,0.2049335554,0,1,1.2049335554,0.5571873707
63,0.1422018204,0,0,0.1422018204,0.0657572013
64,0.184662097,0.0545454545,0,0.2392075515,0.1106147522
65,0.2296552798,0.1272727273,0,0.3569280071,0.1650512403
66,0.3133733017,0.1090909091,0,0.4224642108,0.1953566002
67,0.0290109002,0,0,0.0290109002,0.0134152685
68,0.1093019753,0,0,0.1093019753,0.0505436005
69,0.1093019753,0,0,0.1093019753,0.0505436005
70,0.1093019753,0.3818181818,1,1.4911201571,0.6895262531
71,0.1655643251,0.4,1,1.5655643251,0.7239508486
72,0.1655643251,0.0545454545,1,1.2201097796,0.5642051854
73,0.1508199331,0,0,0.1508199331,0.0697424033
74,0.1508199331,0,0,0.1508199331,0.0697424033
75,0.1508199331,0,0,0.1508199331,0.0697424033
76,0.1508199331,0,0,0.1508199331,0.0697424033
77,0.0891557915,0.0363636364,0,0.1255194279,0.0580429018
78,0.0636862804,0.0363636364,0,0.1000499168,0.0462652483
79,0.0636862804,0.0545454545,0,0.1182317349,0.0546729147
80,0.0636862804,0.0545454545,0,0.1182317349,0.0546729147
81,0.0636862804,0.0545454545,0,0.1182317349,0.0546729147
82,0.1328771534,0.2,1,1.3328771534,0.6163512612
83,0.1702248864,0.1272727273,1,1.2974976137,0.5999909959
84,0.1702248864,0.1090909091,0,0.2793157955,0.1291616728
85,0.1702248864,0.0363636364,0,0.2065885228,0.0955310069
86,0.1702248864,0.0363636364,0,0.2065885228,0.0955310069
87,0.0670163447,0.0545454545,0,0.1215617992,0.0562128086
88,0.0670163447,0.0545454545,0,0.1215617992,0.0562128086
89,0.0788893812,0.0181818182,0,0.0970711994,0.0448878248
90,0.0788893812,0.0181818182,0,0.0970711994,0.0448878248
91,0.1239214195,0,0,0.1239214195,0.0573039481
92,0.0886617897,0,0,0.0886617897,0.0409991317
93,0.0602099475,0,1,1.0602099475,0.4902640402
94,0.0602099475,0,1,1.0602099475,0.4902640402
95,0.0602099475,0,1,1.0602099475,0.4902640402
96,0.0602099475,0,1,1.0602099475,0.4902640402
97,0.0602099475,0,1,1.0602099475,0.4902640402
98,0.0602099475,0,0,0.0602099475,0.0278423837
99,0.0200699825,0,0,0.0200699825,0.0092807946
100,0,0,0,0,0
101,0,0,0,0,0
102,0.114306713,0.2727272727,0,0.3870339857,0.1789728968
103,0.114306713,0.2727272727,0,0.3870339857,0.1789728968
104,0.114306713,0.2727272727,0,0.3870339857,0.1789728968
105,0.114306713,0.2909090909,0,0.4052158039,0.1873805633
106,0.114306713,0.2727272727,0,0.3870339857,0.1789728968
107,0.114306713,0.1090909091,0,0.2233976221,0.1033038985
108,0.1560456862,0.0909090909,0,0.2469547771,0.1141972371
109,0.1560456862,0.0909090909,1,1.2469547771,0.5766188936
110,0.1560456862,0.0545454545,1,1.2105911407,0.5598035606
111,0.1560456862,0.0545454545,1,1.2105911407,0.5598035606
112,0.1239430821,0.0909090909,1,1.214852173,0.5617739543
113,0.1560456862,0.0727272727,1,1.2287729589,0.5682112271
114,0.1560456862,0.0727272727,1,1.2287729589,0.5682112271
115,0.1181618237,0.0727272727,1,1.1908890964,0.5506929087
116,0.1181618237,0.0727272727,1,1.1908890964,0.5506929087
117,0.1181618237,0.0727272727,1,1.1908890964,0.5506929087
118,0.1181618237,0.0545454545,1,1.1727072782,0.5422852422
119,0.1181618237,0.0545454545,1,1.1727072782,0.5422852422
120,0.1181618237,0.0363636364,1,1.1545254601,0.5338775758
121,0.0211970494,0,0,0.0211970494,0.0098019747
122,0.0211970494,0.0181818182,0,0.0393788676,0.0182096412
123,0,0,0,0,0
124,0.0072466225,0,0,0.0072466225,0.0033509952
125,0,0,0,0,0
126,0,0,0,0,0
127,0,0,0,0,0
128,0.0500809421,0,0,0.0500809421,0.0231585122
129,0.0500809421,0.0363636364,1,1.0864445785,0.5023955017
130,0.0751214131,0.0545454545,1,1.1296668676,0.5223824242
131,0.06700056,0.0909090909,1,1.1579096509,0.5354424989
132,0.0101517707,0,0,0.0101517707,0.0046943986
133,0,0,0,0,0
134,0,0,0,0,0
135,0,0,0,0,0
136,0,0,0,0,0
137,0,0,0,0,0
138,0,0,0,0,0
139,0,0,0,0,0
140,0.0206802281,0,0,0.0206802281,0.0095629853
141,0.0388494849,0.4363636364,0,0.4752131213,0.2197488388
142,0.0517993132,0.4363636364,0,0.4881629496,0.2257371198
143,0.0517993132,0.4363636364,0,0.4881629496,0.2257371198
144,0.0517993132,0.4363636364,0,0.4881629496,0.2257371198
145,0.0466786276,0.4363636364,0,0.483042264,0.2233692039
146,0.0933572552,0.1818181818,0,0.275175437,0.1272470814
147,0.0466786276,0,0,0.0466786276,0.0215852083
148,0.0311190851,0,0,0.0311190851,0.0143901389
149,0.018671451,0,0,0.018671451,0.0086340833
150,0,0.0181818182,0,0.0181818182,0.0084076665
151,0.0319386043,0,0,0.0319386043,0.0147691023
152,0.0319386043,0.0181818182,0,0.0501204225,0.0231767688
153,0.0319386043,0.2909090909,0,0.3228476952,0.149291766
154,0.0501130139,0.2909090909,0,0.3410221048,0.1576960066
155,0.0329788934,0.0363636364,0,0.0693425298,0.0320654875
156,0.0441249295,0.2363636364,1,1.2804885659,0.5921256438
157,0,0,0,0,0
158,0,0.0181818182,0,0.0181818182,0.0084076665
159,0.0089701448,0.0181818182,0,0.027151963,0.0125556557
160,0.0059800965,0.0181818182,0,0.0241619147,0.0111729926
161,0.0059800965,0.0181818182,0,0.0241619147,0.0111729926
162,0.065381207,0.0181818182,0,0.0835630252,0.0386413525
163,0.065381207,0.4909090909,0,0.5562902979,0.2572406811
164,0.0523049656,0.5272727273,0,0.5795776929,0.2680092768
165,0.0523049656,0.5272727273,0,0.5795776929,0.2680092768
166,0.0435874714,0.5272727273,0,0.5708601987,0.2639781187
167,0.075408309,0.5272727273,0,0.6026810363,0.2786927632
168,0.0890508159,0.4363636364,0,0.5254144523,0.2429630214
169,0.1335762238,0.4545454545,0,0.5881216783,0.2719602007
170,0.1335762238,0.4363636364,0,0.5699398602,0.2635525343
171,0.0988027669,0.6363636364,0,0.7351664033,0.339956866
172,0.1135971526,0.5636363636,0,0.6772335162,0.3131674444
173,0.1135971526,0.5090909091,0,0.6226880617,0.287944445
174,0.1179357751,0.3636363636,0,0.4815721387,0.2226893861
175,0.094556548,0.0545454545,0,0.1491020025,0.068947995
176,0,0.1636363636,0,0.1636363636,0.0756689983
177,0,0,0,0,0
178,0,0,0,0,0
179,0,0,1,1,0.4624216565
180,0.1625284757,1,1,2.1625284757,1
181,0.0966027414,1,1,2.0966027414,0.9695145127
182,0.0966027414,0.5636363636,0,0.660239105,0.3053088606
183,0.0153385036,0.0727272727,0,0.0880657763,0.0407235222
184,0,0,0,0,0
185,0.0039563216,0.0181818182,0,0.0221381398,0.0102371553
186,0.0039563216,0.0181818182,0,0.0221381398,0.0102371553
187,0.0039563216,0.0181818182,0,0.0221381398,0.0102371553
188,0.0039563216,0.0181818182,0,0.0221381398,0.0102371553
189,0.0129821798,0.0181818182,0,0.031163998,0.0144109076
190,0.0835414855,0.0181818182,0,0.1017233037,0.0470390586
191,0.0544058977,0.0181818182,0,0.0725877159,0.0335661318
192,0.0272029488,0.0181818182,0,0.045384767,0.0209868991
193,0.0272029488,0.0181818182,0,0.045384767,0.0209868991
194,0.0272029488,0,0,0.0272029488,0.0125792326
195,0.0153406719,0,0,0.0153406719,0.0070938589
196,0.0827586425,0,0,0.0827586425,0.0382693886
197,0.0413793212,0,0,0.0413793212,0.0191346943
198,0.0413793212,0,0,0.0413793212,0.0191346943
199,0.0413793212,0,0,0.0413793212,0.0191346943
200,0,0,0,0,0
201,0.1042785088,0.0181818182,0,0.122460327,0.0566283073
202,0.1042785088,0.0181818182,0,0.122460327,0.0566283073
203,0.1042785088,0.0181818182,0,0.122460327,0.0566283073
204,0.0910852929,0.0181818182,0,0.1092671111,0.0505274785
205,0.104109021,0,0,0.104109021,0.0481422659
206,0.2384950475,0.0363636364,1,1.2748586839,0.5895222644
207,0.2384950475,0.0363636364,1,1.2748586839,0.5895222644
208,0.2837732151,0.0363636364,1,1.3201368515,0.6104598697
209,0.2094284087,0,0,0.2094284087,0.0968442317
210,0.1552903129,0,0,0.1552903129,0.0718096037
211,0.0666671911,0.1090909091,1,1.1757581002,0.5436960084
212,0.098186702,0.1090909091,0,0.2072776111,0.0958496563
213,0.098186702,0.1090909091,0,0.2072776111,0.0958496563
214,0.147280053,0.1090909091,0,0.2563709621,0.118551485
215,0.147280053,0.1090909091,0,0.2563709621,0.118551485
216,0.147280053,0.1090909091,0,0.2563709621,0.118551485
217,0.098186702,0.1090909091,0,0.2072776111,0.0958496563
218,0.098186702,0.1090909091,0,0.2072776111,0.0958496563
219,0.04581097,0,0,0.04581097,0.0211839846
220,0.0303074023,0,0,0.0303074023,0.0140147992
221,0.058140667,0,0,0.058140667,0.0268855035
222,0.0829940344,0,0,0.0829940344,0.0383782389
223,0.1002917753,0.0181818182,0,0.1184735935,0.0547847554
224,0.1002917753,0.0181818182,0,0.1184735935,0.0547847554
225,0.0412441374,0.0181818182,0,0.0594259556,0.0274798488
226,0.0412441374,0.0181818182,0,0.0594259556,0.0274798488
227,0.0412441374,0.0181818182,0,0.0594259556,0.0274798488
228,0.0412441374,0.0181818182,0,0.0594259556,0.0274798488
229,0,0.1090909091,0,0.1090909091,0.0504459989
230,0,0.1090909091,0,0.1090909091,0.0504459989
231,0,0.1090909091,0,0.1090909091,0.0504459989
232,0,0.1090909091,0,0.1090909091,0.0504459989
233,0,0.1090909091,1,1.1090909091,0.5128676554
234,0,0,1,1,0.4624216565
235,0,0,1,1,0.4624216565
236,0,0,0,0,0
237,0,0,0,0,0
238,0,0,0,0,0
239,0,0,0,0,0
240,0.0236803857,0,0,0.0236803857,0.0109503232
241,0.0236803857,0,0,0.0236803857,0.0109503232
242,0.0236803857,0,0,0.0236803857,0.0109503232
243,0.0236803857,0,0,0.0236803857,0.0109503232
244,0.0236803857,0,0,0.0236803857,0.0109503232
245,0.0236803857,0,0,0.0236803857,0.0109503232
246,0.0236803857,0,0,0.0236803857,0.0109503232
247,0.0355205786,0,0,0.0355205786,0.0164254848
248,0.0786827575,0,0,0.0786827575,0.0363846111
249,0.0786827575,0,0,0.0786827575,0.0363846111
250,0.1698490512,0,0,0.1698490512,0.0785418796
251,0.1698490512,0,0,0.1698490512,0.0785418796
252,0.2264654015,0,0,0.2264654015,0.1047225061
253,0.3041775237,0,0,0.3041775237,0.1406582744
254,0.3041775237,0,0,0.3041775237,0.1406582744
255,0.443347932,0,0,0.443347932,0.2050136851
256,0.3041775237,0,0,0.3041775237,0.1406582744
257,0.3041775237,0,0,0.3041775237,0.1406582744
258,0.3041775237,0,1,1.3041775237,0.6030799309
259,0.443347932,0,1,1.443347932,0.6674353416
260,0.443347932,0,1,1.443347932,0.6674353416
261,0.443347932,0,1,1.443347932,0.6674353416
262,0.443347932,0.1454545455,0,0.5888024775,0.272275017
263,0.443347932,0.0545454545,0,0.4978933865,0.2302366846
264,0.443347932,0.0545454545,0,0.4978933865,0.2302366846
265,0.443347932,0.0545454545,0,0.4978933865,0.2302366846
266,0.443347932,0.3454545455,0,0.7888024775,0.3647593483
267,0.443347932,0.3636363636,0,0.8069842956,0.3731670148
268,0.443347932,0.3636363636,0,0.8069842956,0.3731670148
269,0.4075847594,0.0363636364,0,0.4439483958,0.2052913526
270,0.2962261841,0.0181818182,0,0.3144080023,0.1453890692
271,0.443347932,0.3818181818,0,0.8251661138,0.3815746812
272,0.443347932,0.3818181818,0,0.8251661138,0.3815746812
273,0.443347932,0.3818181818,0,0.8251661138,0.3815746812
274,0.443347932,0.0363636364,0,0.4797115684,0.2218290181
275,0.443347932,0.0363636364,0,0.4797115684,0.2218290181
276,0.2567195962,0,0,0.2567195962,0.1187127009
277,0.3177897837,0,0,0.3177897837,0.1469528782
278,0.3341068486,0.0181818182,0,0.3522886668,0.1629059089
279,0.3341068486,0.0181818182,0,0.3522886668,0.1629059089
280,0.3341068486,0.0181818182,0,0.3522886668,0.1629059089
281,0.2227378991,0.0181818182,0,0.2409197173,0.1114064948
282,0.318975301,0,0,0.318975301,0.1475010871
283,0.318975301,0,0,0.318975301,0.1475010871
284,0.318975301,0,0,0.318975301,0.1475010871
285,0.2962028269,0.0181818182,0,0.3143846451,0.1453782684
286,0.270933479,0.0909090909,0,0.3618425699,0.1673238406
287,0.270933479,0.2181818182,0,0.4891152972,0.226177506
288,0.2269689377,0.2909090909,0,0.5178780286,0.2394780159
289,0.2269689377,0.2909090909,0,0.5178780286,0.2394780159
290,0.2837111721,0.2909090909,0,0.574620263,0.2657168539
291,0.2837111721,0.2909090909,1,1.574620263,0.7281385104
292,0.2837111721,0.2909090909,1,1.574620263,0.7281385104
293,0.2269689377,0.2727272727,1,1.4996962104,0.6934920059
294,0.2269689377,0.2181818182,1,1.4451507559,0.6682690065
295,0.2465467394,0.1636363636,1,1.410183103,0.6520992065
296,0.0805110629,0.0909090909,1,1.1714201538,0.541690048
297,0.0805110629,0.0181818182,1,1.0986928811,0.5080593821
298,0.0805110629,0.0181818182,1,1.0986928811,0.5080593821
299,0.0631028148,0.0181818182,0,0.081284633,0.0375877746
300,0.0631028148,0.0181818182,0,0.081284633,0.0375877746
301,0.0631028148,0.0181818182,0,0.081284633,0.0375877746
302,0.0483727537,0.0181818182,0,0.0665545719,0.0307762754
303,0.0593463981,0.0363636364,0,0.0957100345,0.0442583927
304,0.0593463981,0.0363636364,0,0.0957100345,0.0442583927
305,0.0593463981,0.0363636364,0,0.0957100345,0.0442583927
306,0.0593463981,0.0181818182,0,0.0775282163,0.0358507262
307,0.0593463981,0.0181818182,0,0.0775282163,0.0358507262
308,0.0593463981,0.0181818182,0,0.0775282163,0.0358507262
309,0.0791285308,0.0181818182,0,0.097310349,0.0449984128
310,0.0945930932,0.0363636364,0,0.1309567296,0.0605572278
311,0.0945930932,0.0181818182,0,0.1127749114,0.0521495613
312,0.0917187754,0,0,0.0917187754,0.0424127481
313,0.0917187754,0,0,0.0917187754,0.0424127481
314,0.1341695457,0.0727272727,1,1.2068968184,0.55809522600000006
315,0.1341695457,0.0727272727,1,1.2068968184,0.55809522600000006
316,0.0670847728,0.0727272727,1,1.1398120455,0.5270737742
317,0.0670847728,0.0727272727,1,1.1398120455,0.5270737742
318,0.0670847728,0.0727272727,1,1.1398120455,0.5270737742
319,0.0670847728,0.0727272727,1,1.1398120455,0.5270737742
320,0,0.0181818182,0,0.0181818182,0.0084076665
321,0.0362083513,0.0181818182,0,0.0543901695,0.0251511923
322,0.054312527,0.0181818182,0,0.0724943452,0.0335229552
323,0.174128294,0.0545454545,1,1.2286737485,0.5681653501
324,0.174128294,0.0545454545,1,1.2286737485,0.5681653501
325,0.174128294,0.0545454545,1,1.2286737485,0.5681653501
326,0.2360231362,0.0545454545,0,0.2905685907,0.134365209
327,0.1564142356,0,0,0.1564142356,0.0723293299
328,0.1564142356,0,0,0.1564142356,0.0723293299
329,0.0437445139,0.0181818182,0,0.0619263321,0.0286360771
330,0.0412725725,0,0,0.0412725725,0.0190853313
332,0.2530700984,0.0727272727,0,0.3257973711,0.15065576
333,0.2530700984,0.0727272727,0,0.3257973711,0.15065576
334,0.2530700984,0.0727272727,0,0.3257973711,0.15065576
335,0.1457667691,0.0909090909,0,0.23667586,0.1094440432
336,0.1457667691,0.0909090909,0,0.23667586,0.1094440432
337,0.1457667691,0.0909090909,0,0.23667586,0.1094440432
338,0.1687133989,0,0,0.1687133989,0.0780167294
339,0.9470155444,0,0,0.9470155444,0.4379204968
340,0.1687133989,0,0,0.1687133989,0.0780167294
341,0.1687133989,0,0,0.1687133989,0.0780167294
342,0.1687133989,0,0,0.1687133989,0.0780167294
343,0.1687133989,0,0,0.1687133989,0.0780167294
344,0.9470155444,0,0,0.9470155444,0.4379204968
345,0.1687133989,0,0,0.1687133989,0.0780167294
346,0.2383083938,0,0,0.2383083938,0.1101989622
347,0.4745441107,0,0,0.4745441107,0.2194394738
348,0,0,0,0,0
349,0.2383083938,0,0,0.2383083938,0.1101989622
350,0,0,0,0,0
351,0.2383083938,0,0,0.2383083938,0.1101989622
352,0.2383083938,0,0,0.2383083938,0.1101989622
353,0.2383083938,0,0,0.2383083938,0.1101989622
354,0.101880947,0,0,0.101880947,0.0471119563
355,0.1588722625,0,0,0.1588722625,0.0734659748
356,0.1895860939,0.0727272727,0,0.2623133666,0.1212993815
357,0.2843791408,0.0727272727,0,0.3571064135,0.1651337393
358,0.1895860939,0.0727272727,0,0.2623133666,0.1212993815
359,0.1895860939,0,0,0.1895860939,0.0876687156
360,0.3589642479,0,0,0.3589642479,0.1659928421
361,0.3589642479,0,1,1.3589642479,0.6284144987
362,0.3589642479,0,1,1.3589642479,0.6284144987
363,0.3589642479,0,1,1.3589642479,0.6284144987
364,0.3589642479,0,1,1.3589642479,0.6284144987
365,0.3589642479,0,1,1.3589642479,0.6284144987
366,0.1947239381,0,1,1.1947239381,0.5524662225
367,0.1947239381,0,1,1.1947239381,0.5524662225
368,0.3589642479,0,0,0.3589642479,0.1659928421
369,0.3853108782,0,0,0.3853108782,0.1781760946
370,0.3853108782,0,0,0.3853108782,0.1781760946
371,0.3853108782,0,0,0.3853108782,0.1781760946
372,0.4116575085,0,0,0.4116575085,0.190359347
373,0.2650329567,0,0,0.2650329567,0.1225569789
374,0.2650329567,0,0,0.2650329567,0.1225569789
375,0.3050190346,0,0,0.3050190346,0.1410474072
376,0.2650329567,0.0181818182,0,0.2832147749,0.1309646454
377,0.3050190346,0.0181818182,0,0.3232008528,0.1494550737
378,0.3050190346,0.0363636364,0,0.341382671,0.1578627402
379,0.3050190346,0.0545454545,0,0.3595644891,0.1662704067
380,0.3050190346,0.0909090909,0,0.3959281255,0.1830857397
381,0.3050190346,0.0909090909,0,0.3959281255,0.1830857397
382,0.3050190346,0.0909090909,0,0.3959281255,0.1830857397
383,0.3050190346,0.0727272727,0,0.3777463073,0.1746780732
384,0.3050190346,0.0909090909,0,0.3959281255,0.1830857397
385,0.3383452326,0.0181818182,0,0.3565270508,0.1648658294
386,0.3050190346,0.1090909091,0,0.4141099437,0.1914934061
387,0.3050190346,0.1090909091,1,1.4141099437,0.6539150627
388,0.3050190346,0.1090909091,1,1.4141099437,0.6539150627
389,0.3050190346,0.0545454545,1,1.3595644891,0.6286920632
390,0.3050190346,0.0727272727,1,1.3777463073,0.6370997297
391,0.3050190346,0.1454545455,1,1.4504735801,0.6707303956
392,0.3050190346,0.2363636364,0,0.541382671,0.2503470715
393,0.3050190346,0.2727272727,0,0.5777463073,0.2671624045
394,0.3050190346,0.3272727273,0,0.6322917619,0.2923854039
395,0.2960074229,0.4,1,1.6960074229,0.784270562
396,0.2960074229,0.4,1,1.6960074229,0.784270562
397,0.3050190346,0.3454545455,1,1.6504735801,0.7632147269
398,0.2960074229,0.4,1,1.6960074229,0.784270562
399,0.2960074229,0.4,1,1.6960074229,0.784270562
400,0.2960074229,0.4,1,1.6960074229,0.784270562
401,0.2960074229,0.4,1,1.6960074229,0.784270562
402,0.1544474405,0,1,1.1544474405,0.5338414978
403,0.1910531942,0,0,0.1910531942,0.0883471345
404,0.1544474405,0,1,1.1544474405,0.5338414978
405,0.1521759643,0,0,0.1521759643,0.0703694615
406,0.1910531942,0,0,0.1910531942,0.0883471345
407,0.1910531942,0,0,0.1910531942,0.0883471345
408,0.2960074229,0.4363636364,1,1.7323710593,0.8010858949
409,0.1500220664,0,0,0.1500220664,0.0693734525
410,0.2290418077,0.1818181818,1,1.4108599895,0.6524122135
411,0.1173630137,0,0,0.1173630137,0.0542711992
412,0.131823919,0,1,1.131823919,0.5233798915
413,0.1345235375,0,1,1.1345235375,0.5246282536
414,0.2049335554,0,1,1.2049335554,0.5571873707
415,0.2049335554,0,1,1.2049335554,0.5571873707
416,0.2049335554,0,1,1.2049335554,0.5571873707
417,0.2049335554,0,1,1.2049335554,0.5571873707
418,0.1345235375,0.0181818182,1,1.1527053557,0.5330359201
419,0.2960074229,0.4363636364,1,1.7323710593,0.8010858949
420,0.2221454501,0.3636363636,1,1.5857818137,0.7332998532
421,0.2221454501,0.3272727273,1,1.5494181774,0.7164845202
422,0.1792359785,0.0181818182,0,0.1974177967,0.0912902646
423,0.1792359785,0.0181818182,1,1.1974177967,0.5537119211
424,0.184662097,0.0181818182,0,0.2028439152,0.0937994193
425,0.2296552798,0.1090909091,0,0.3387461889,0.1566435738
426,0.184662097,0.0363636364,0,0.2210257334,0.1022070858
427,0.1225267398,0,0,0.1225267398,0.056659018
428,0.1108214808,0.0545454545,0,0.1653669353,0.0764692522
429,0.1533186981,0.0181818182,1,1.1715005163,0.5417272094
430,0.1533186981,0.0181818182,1,1.1715005163,0.5417272094
431,0.0254057774,0,0,0.0254057774,0.0117481817
432,0.1655643251,0.4,1,1.5655643251,0.7239508486
433,0.108677007,0.1454545455,0,0.2541315525,0.1175159335
434,0.108677007,0.1454545455,0,0.2541315525,0.1175159335
435,0.108677007,0.1454545455,0,0.2541315525,0.1175159335
436,0.144902676,0.2,0,0.344902676,0.1594904668
437,0.144902676,0.2727272727,0,0.4176299487,0.1931211327
438,0.1328771534,0.2909090909,1,1.4237862443,0.6583895936
439,0.1328771534,0.2181818182,1,1.3510589716,0.6247589277
440,0.1702248864,0.0909090909,1,1.2611339773,0.5831756629
441,0.0968005857,0.0363636364,0,0.1331642221,0.0615780202
442,0.0670163447,0.0363636364,0,0.1033799811,0.0478051421
443,0.11327843680000001,0,0,0.11327843680000001,0.0523824024
444,0.0443308949,0,1,1.0443308949,0.4829212224
445,0.0602099475,0,1,1.0602099475,0.4902640402
446,0,0,0,0,0
447,0,0,0,0,0
448,0,0,0,0,0
449,0,0,0,0,0
450,0,0,0,0,0
451,0,0,0,0,0
452,0,0,0,0,0
453,0,0,0,0,0
454,0,0,1,1,0.4624216565
455,0,0,1,1,0.4624216565
456,0,0,0,0,0
457,0,0.0181818182,0,0.0181818182,0.0084076665
458,0.0381022377,0.2727272727,0,0.3108295104,0.1437342971
459,0.0381022377,0.2727272727,0,0.3108295104,0.1437342971
460,0.0381022377,0.2727272727,0,0.3108295104,0.1437342971
461,0.114306713,0.2545454545,0,0.3688521675,0.1705652303
462,0.1239430821,0.0909090909,1,1.214852173,0.5617739543
463,0.1181618237,0.0727272727,1,1.1908890964,0.5506929087
464,0.0423940988,0,0,0.0423940988,0.0196039494
465,0.0319302092,0,0,0.0319302092,0.0147652202
466,0.0211970494,0.0545454545,0,0.0757425039,0.0350249741
467,0.06700056,0.0909090909,1,1.1579096509,0.5354424989
468,0.0517993132,0,0,0.0517993132,0.0239531242
469,0.0517993132,0.4363636364,0,0.4881629496,0.2257371198
470,0.0466786276,0.4363636364,0,0.483042264,0.2233692039
471,0.0933572552,0,0,0.0933572552,0.0431704166
472,0.0466786276,0,0,0.0466786276,0.0215852083
473,0,0,0,0,0
474,0.0319386043,0.2909090909,0,0.3228476952,0.149291766
475,0.0319386043,0.2909090909,0,0.3228476952,0.149291766
476,0.0501130139,0.2909090909,0,0.3410221048,0.1576960066
477,0.0341546834,0.0363636364,0,0.0705183198,0.0326091983
478,0.0382596836,0,0,0.0382596836,0.0176921063
479,0.0352999436,0.2181818182,1,1.2534817618,0.5796371127
480,0,0.0727272727,0,0.0727272727,0.0336306659
