id,region,join_count,numerical_direction,numerical_frequency,numerical_experience,numerical_quality,normalized_clusters,normalized_direction,normalized_frequency,normalized_experience,normalized_quality,weighted_surf,surf_subindex
0,Sul,8,1,1,1,1,0.411765,1,0,1,0,1.411765,0.1985817416
1,Sul,5,1,1,1,1,0.235294,1,0,1,0,1.2352940000000001,0.1134751431
2,Sul,5,1,1,1,1,0.235294,1,0,1,0,1.2352940000000001,0.1134751431
3,Sul,7,1,1,1,1,0.352941,1,0,1,0,1.352941,0.1702127147
4,Sul,4,1,1,1,1,0.176471,1,0,1,0,1.176471,0.0851065985
5,Sul,5,1,1,1,1,0.235294,1,0,1,0,1.2352940000000001,0.1134751431
6,Sul,7,1,1,1,1,0.352941,1,0,1,0,1.352941,0.1702127147
7,Sul,7,1,1,1,1,0.352941,1,0,1,0,1.352941,0.1702127147
8,Sul,6,1,1,1,1,0.294118,1,0,1,0,1.294118,0.14184417
9,Sudeste,2,1,1,1,1,0.058824,1,0,1,0,1.058824,0.0283690269
10,Sudeste,2,1,1,1,1,0.058824,1,0,1,0,1.058824,0.0283690269
11,Sudeste,2,1,1,1,1,0.058824,1,0,1,0,1.058824,0.0283690269
12,Sudeste,2,1,1,1,1,0.058824,1,0,1,0,1.058824,0.0283690269
13,Sudeste,1,1,1,1,1,0,1,0,1,0,1,0
14,Sudeste,4,1,1,1,1,0.176471,1,0,1,0,1.176471,0.0851065985
15,Sudeste,13,1,1,1,1,0.705882,1,0,1,0,1.705882,0.3404254293
16,Sudeste,13,1,1,1,1,0.705882,1,0,1,0,1.705882,0.3404254293
17,Sudeste,15,1,1,1,1,0.823529,1,0,1,0,1.823529,0.3971630009
18,Sudeste,9,1,1,1,1,0.470588,1,0,1,0,1.470588,0.2269502862
19,Sudeste,14,1,1,1,1,0.764706,1,0,1,0,1.7647059999999999,0.3687944562
20,Sudeste,14,1,1,1,1,0.764706,1,0,1,0,1.7647059999999999,0.3687944562
21,Sudeste,12,1,1,1,1,0.647059,1,0,1,0,1.647059,0.3120568847
22,Sudeste,9,1,1,1,1,0.470588,1,0,1,0,1.470588,0.2269502862
23,Sudeste,15,1,1,1,1,0.823529,1,0,1,0,1.823529,0.3971630009
24,Sudeste,15,1,1,1,1,0.823529,1,0,1,0,1.823529,0.3971630009
