id,normalized_terr_rich,normalized_mar_rich,normalized_marine_eco,normalized_terr_pa,normalized_ocean_pa,normalized_tree_cover,added_biodiversity,biodiversity_subindex
0,0.7622063607,0.5888511236,0,0,0.1073593926,0.0288878995,1.4873047764,0.2281751201
1,0.7609616344,0.5333085523,0,0,0.3705141312,0.0936721668,1.7584564847,0.3205217951
2,0.735206924,0.4897151182,0,0,0.1299297447,0.1014251013,1.4562768882,0.2176078907
3,0.7811737682,0.4848404898,0,0,0.0984763349,0.1263691895,1.4908597824,0.2293858555
4,0.7874266419,0.5834143733,0.0245490375,0.8754837652,0.0617488054,0.3097934784,2.6424161017,0.6215736748
5,0.0836764079,0.6412659184,0.0209063912,0,0.5635729585,0.4775148858,1.7869365618,0.3302213114
6,0.0919370903,0.6415520522,0.0124766093,0,0.688646173,0.2297518536,1.6643637784,0.2884764555
7,0.4253333648,0.6180388091,0.2223834605,0,0.6214214444,0.3727698777,2.2599469565,0.4913153995
8,0.993482444,0.7565391939,0.6770166341,0,0.5500927833,0.602275434,3.5794064893,0.9406863492
195,0.3839058565,0.0676258017,0,0,0.4048356281,0.0034364131,0.8598036994,0.0144658339
196,0.4700322634,0.1340339514,0,0,0.4202584826,-0,1.0243246974,0.0704970765
197,0.4848919508,0.1758457319,0,0,0.6895355092,0.00388074,1.3541539319,0.1828276729
198,0.4826047788,0.1504211672,0,0,0.3866536642,0.0255779092,1.0452575194,0.0776262092
199,0.4869691115,0.0791900243,0,0,0.0826696034,0.1684998459,0.8173285851,0
200,0.5733764908,-0,0,0,0.4644572461,0.1611226694,1.1989564063,0.1299717439
201,0.6754719678,0.1519771456,0,0,0.456473467,0.1322996757,1.4162222561,0.2039664052
202,0.6765835591,0.1494362596,0,0,0.4593273792,0.1231918988,1.4085390967,0.2013497363
203,0.683738679,0.1262201243,0,0,0.4800653199,0.065196259,1.3552203822,0.183190876
204,0.6874916161,0.1227619057,0,0,0.4671595017,0.0731345715,1.350547595,0.1815994556
205,0.7076145903,0.2711521443,0,0,0.4526141189,0.022939487800000002,1.4543203413,0.2169415456
206,0.7096754617,0.3438217285,0,0,0.5160571173,0.0138871694,1.5834414769,0.2609165868
207,0.7093858048,0.3440789747,0,0,0.5204570468,0.0133638646,1.5872856909,0.2622258184
208,0.7160751461,0.352468344,0,0,0.5046864445,0.0167295941,1.5899595287,0.2631364526
209,0.7358108958,0.3658433267,0,0,0.514309212,0.0359452953,1.6519087298,0.2842346149
210,0.7470003267,0.3985719912,0,0,0.6854627431,0.056031019,1.88706608,0.36432262
211,0.7757512818,0.4677247902,0,0,0.2590194063,0.2283844705,1.7308799488,0.3111299996
212,0.7717498286,0.4696965796,0,0,0.4872672739,0.100215808,1.8289294901,0.3445229263
213,0.7717276784,0.4710904084,0,0,0.475346453,0.1181478883,1.8363124281,0.3470373481
214,0.7672075302,0.4806623208,0,0,0.6178734307,0.1076211223,1.973364404,0.3937134113
215,0.7709228568,0.4711140525,0,0,0.476968427,0.1356039876,1.8546093239,0.3532687582
216,0.7709585615,0.4712933924,0,0,0.4755300356,0.1387937113,1.8565757008,0.3539384511
217,0.769517498,0.4739665352,0,0,0.4849115659,0.1654108349,1.893806434,0.3666181957
218,0.7699244736,0.4733922584,0,0,0.4681697515,0.1751794247,1.8866659082,0.3641863327
219,0.7613630065,0.5033590663,0,0.495935879,0.463521338,0.18623054519999999,2.410409835,0.5425588405
220,0.7728969866,0.5120979654,0,0.9999999997,0.3705810816,0.1285878368,2.7841638701,0.6698489934
