id,normalized_terr_rich,normalized_mar_rich,normalized_marine_eco,normalized_terr_pa,normalized_ocean_pa,normalized_tree_cover,added_biodiversity,biodiversity_subindex
0,0.827856025,0.7014885036,0,0,0,0,1.5293445286,0.2377886186
1,0.8215962441,0.6804385804,0,0,0.2913724728,0,1.7934072973,0.3474502244
2,0.8356807512,0.613750676,0,0,0,0,1.4494314272,0.2046018158
3,0.8356807512,0.585017269,0,0,0.9785170727,0,2.3992150929,0.5990338004
4,0.8450704225,0.6757560134,0,0.1479164785,0,0.0412686172,1.7100115316,0.3128171194
5,0.3098591549,0.7550367545,0,0,0.9912089772,0,2.0561048866,0.4565448901
6,0.3145539906,0.7305651591,0,0,0.5091525901,0.171833808,1.7261055478,0.3195007412
7,0.4882629108,0.7276334282,0,0,0.3877985359,0.0292874058,1.6329822807,0.2808279398
8,1,0.9707106138,0,0,0.4709499945,6.668233e-4,2.4423274316,0.6169377568
195,0.5352112676,0.3139840501,0,0,0.3399041886,0,1.1890995063,0.0964895794
196,0.6009389671,0.3810016153,0,0,0.4836502684,0,1.4655908508,0.2113126004
197,0,0.4131551673,0,0,0.902956285,0,1.3161114523,0.1492358792
198,0.6150234742,0.4131551673,0,0,0.2763034951,0,1.3044821366,0.1444063856
199,0.6150234742,0.3417312172,0,0,0,0,0.9567546914,0
200,0.6854460094,0.2377783511,0,0,0.4748222687,0,1.3980466292,0.1832624218
201,0.7558685446,0,0,0,0.460082236,0,1.2159507806,0.1076405413
202,0.7558685446,0,0,0,0.4869408525,0,1.2428093971,0.1187945522
203,0.7699530516,0.3407206688,0,0,0.6778324523,0,1.7885061727,0.3454148553
204,0.7699530516,0.3407206688,0,0,0.5447064002,0,1.6553801206,0.2901294521
205,0.7887323944,0.4261856819,0,0,0.3825091713,0,1.5974272476,0.2660624276
206,0.779342723,0.5235172993,0,0,0.4914911993,0,1.7943512216,0.347842223
207,0.779342723,0.5235172993,0,0,0.5797185036,0,1.8825785259,0.384481799
208,0.7887323944,0.5235172993,0,0,0.4484778948,0,1.7607275885,0.3338787945
209,0.8075117371,0.5219982979,0,0,0.4189440803,0.0306186515,1.7790727668,0.3414972926
210,0.813771518,0.5337419573,0,0,0.4353988147,0,1.78291229,0.3430917934
211,0.8356807512,0.60686956,0,0,0,0.2480540551,1.6906043663,0.3047575928
212,0.8356807512,0.60686956,0,0,0.4722242251,0.0233107879,1.9380853242,0.4075330025
213,0.8356807512,0.60686956,0,0,0.4104741009,0.0199806753,1.8730050874,0.3805060827
214,0.8356807512,0.60686956,0,0,0.3901686025,0,1.8327189137,0.3637757935
215,0.8356807512,0.60686956,0,0,0.49311576,0,1.9356660712,0.4065283203
216,0.8356807512,0.60686956,0,0,0.4705674019,0,1.9131177131,0.3971642999
217,0.8356807512,0.5867562624,0,0,0.6178622211,0,2.0402992347,0.449981022
218,0.8356807512,0.5867562624,0,0,0.5355260915,0.0100023489,1.967965454,0.419941806
219,0.8075117371,0.6065414575,0,0,0.4218429746,0,1.8358961692,0.3650952636
220,0.8356807512,0.6285968181,0,0,0,0.0719304312,1.5362080005,0.2406389233
221,0.8262910798,0.6649015156,0,0,0.965333606,0,2.4565262014,0.622834309
222,0.8309859155,0.6478942847,0,0,0.943660854,0,2.4225410542,0.6087207487
223,0.8215962441,0.6940595112,0,0,0,0.0779246338,1.5935803891,0.2644648806
224,0.8215962441,0.7014885036,0,0,0,0,1.5230847477,0.2351890184
225,0.8215962441,0.7014885036,0,0,0,0,1.5230847477,0.2351890184
226,0.8215962441,0.7014885036,0,0,0,0,1.5230847477,0.2351890184
227,0.8262910798,0.7014885036,0,0,0,0,1.5277795834,0.2371387186
228,0.827856025,0.7014885036,0,0,0,0,1.5293445286,0.2377886186
229,0.8215962441,0.6924416864,0,0,0,0.0133244504,1.5273623809,0.2369654602
230,0.8215962441,0.6804385804,0,0,0.0447514003,0.3589861337,1.9057723585,0.394113876
231,0.8215962441,0.6804385804,0,0,0.6468187957,0.0739506995,2.2228043197,0.5257728528
232,0.8215962441,0.6804385804,0,0,0.9738759165,0.0772586113,2.5531693523,0.6629688693
233,0.8215962441,0.6655490569,0,0,0,0.0113257828,1.4984710838,0.2249673051
234,0.8262910798,0.6655490569,0,0,0.3415829367,0,1.8334230734,0.3640682212
235,0.8262910798,0.6655490569,0,0,0.1753568234,0,1.6671969601,0.2950368216
236,0.8356807512,0.5858655737,0,0,0.115458354,0.0492265526,1.5862312315,0.2614128774
237,0.8356807512,0.6695208805,0,0,0.2937883163,0.0819946158,1.8809845638,0.3838198486
238,0.8450704225,0.6169499252,0,0,0.3544613011,0,1.8164816488,0.3570326826
239,0.8450704225,0.6488825814,0,0,0,0.0280149974,1.5219680013,0.2347252491
240,0.8450704225,0.6368350033,0,0,0,0.4182621372,1.900167563,0.3917862821
