nm_regiao,id,sum_10km,hab_10km,normalized_carbon,normalized_cp,climate_added,climate_index
Sul,0,0,0.0543792820385,0,0.1301492988,0.1301492988,0.0889890449
Sul,1,0,0.188613552669,0,0.4514204805,0.4514204805,0.3086568869
Sul,2,0,0.140627450147,0,0.3365723736,0.3365723736,0.2301299687
Sul,3,0,0.177135263249,0,0.4239487805,0.4239487805,0.2898732257
Sul,4,25301.6056786,0.301821618934,0.0385091003,0.7223683468,0.7608774471,0.5202468083
Sul,5,17994.1841259,0.169540787809,0.0273871884,0.4057724528,0.4331596412,0.2961711136
Sul,6,13332.5432644,0.122431117731,0.0202921606,0.2930219659,0.3133141265,0.2142272385
Sul,7,179450.89278,0.290008803065,0.2731246593,0.6940960041,0.9672206634,0.6613331292
Sul,8,452319.531183,0.146996382441,0.688431336,0.3518155331,1.0402468691,0.7112644954
Sul,195,0,0.0327169514542,0,0.0783035033,0.0783035033,0.0535396966
Sul,196,0,0.0249251612458,0,0.0596549299,0.0596549299,0.0407888116
Sul,197,0,0.031247251032,0,0.0747859784,0.0747859784,0.0511346035
Sul,198,0,0.0445070762235,0,0.1065215381,0.1065215381,0.0728336612
Sul,199,0,0.0978719719808,0,0.2342430435,0.2342430435,0.1601627124
Sul,200,0,0,0,0,0,0
Sul,201,0,0,0,0,0,0
Sul,202,0,0,0,0,0,0
Sul,203,0,0,0,0,0,0
Sul,204,0,0,0,0,0,0
Sul,205,0,0,0,0,0,0
Sul,206,0,0,0,0,0,0
Sul,207,0,0,0,0,0,0
Sul,208,0,0.0149613126422,0,0.0358078348,0.0358078348,0.024483459
Sul,209,0,0.0441835134975,0,0.1057471354,0.1057471354,0.0723041666
Sul,210,0,0.0441835134975,0,0.1057471354,0.1057471354,0.0723041666
Sul,211,0,0.0748744263206,0,0.1792015951,0.1792015951,0.1225283497
Sul,212,0,0.266512705472,0,0.6378613406,0.6378613406,0.4361350541
Sul,213,0,0.26773893859,0,0.6407961601,0.6407961601,0.4381417248
Sul,214,0,0.236845984137,0,0.5668581416,0.5668581416,0.3875869104
Sul,215,0,0.251346758676,0,0.6015637422,0.6015637422,0.4113167213
Sul,216,0,0.239610723251,0,0.5734751628,0.5734751628,0.3921112713
Sul,217,0,0.177463849786,0,0.424735207,0.424735207,0.2904109415
Sul,218,0,0.177976751086,0,0.4259627654,0.4259627654,0.2912502795
Sul,219,0,0.00309777174515,0,0.0074140887,0.0074140887,0.0050693525
Sul,220,0,0.0948075840529,0,0.2269088543,0.2269088543,0.1551479909
Sul,221,0,0.211416907958,0,0.505997161,0.505997161,0.3459734666
Sul,222,0,0,0,0,0,0
Sul,223,0,0,0,0,0,0
Sul,224,0,0,0,0,0,0
Sul,225,0,0,0,0,0,0
Sul,226,0,0.0134739738546,0,0.0322480949,0.0322480949,0.0220495015
Sul,227,0,0.0368175241772,0,0.0881176576,0.0881176576,0.060250084
Sul,228,0,0.0374426652509,0,0.0896138464,0.0896138464,0.0612730969
Sul,229,0,0.0935809786689,0,0.2239731438,0.2239731438,0.153140711
Sul,230,0,0.0946597897718,0,0.2265551291,0.2265551291,0.1549061327
Sul,231,0,0.137661907085,0,0.329474756,0.329474756,0.2252770021
Sul,232,0,0.192669960586,0,0.4611289324,0.4611289324,0.3152950008
Sul,233,0,0.156171166342,0,0.3737741109,0.3737741109,0.2555665028
Sul,234,0,0.0113701983071,0,0.0272129988,0.0272129988,0.0186067754
Sul,235,0,0.0130291316143,0,0.0311834265,0.0311834265,0.0213215389
Sul,236,0,0.140843398094,0,0.3370892152,0.3370892152,0.230483357
Sul,237,0,0.144571721464,0,0.3460124421,0.3460124421,0.2365845765
Sul,238,0,0.239968826699,0,0.5743322339,0.5743322339,0.3926972901
Sul,239,0,0.268021074304,0,0.641471413,0.641471413,0.4386034262
Sul,240,0,0.29232135232,0,0.6996307712,0.6996307712,0.4783696469
Sul,241,0,0.319981773147,0,0.765832167,0.765832167,0.5236345775
Sul,242,0,0.373703056777,0,0.8944066376,0.8944066376,0.6115468401
Sul,243,0,0.377553220716,0,0.903621473,0.903621473,0.6178474457
Sul,244,0,0.292136242436,0,0.6991877363,0.6991877363,0.4780667236
Sul,245,0,0.287873239612,0,0.688984828,0.688984828,0.4710905272
Sul,246,0,0.230999079991,0,0.5528643844,0.5528643844,0.3780187368
Sul,247,0,0.227846359973,0,0.5453187846,0.5453187846,0.3728594641
Sul,248,0,0.171864881586,0,0.4113348501,0.4113348501,0.2812485029
Sul,249,0,0.225777458354,0,0.5403671544,0.5403671544,0.3694738074
Sul,250,2176.59802437,0.296594974597,0.0033127871,0.7098590957,0.7131718828,0.4876283259
Sul,251,31244.7337208,0.302522661283,0.0475545545,0.7240461949,0.7716007494,0.5275788219
Sul,252,32242.7647648,0.302661732424,0.0490735599,0.7243790424,0.7734526023,0.5288450186
Sul,253,6016.09392738,0.279168230186,0.0091565084,0.6681505905,0.6773070989,0.4631059282
Sul,254,333.875936508,0.281416339177,5.081599e-4,0.6735311288,0.6740392887,0.4608715765
Sul,255,120.461288452,0.19608752988,1.833423e-4,0.4693084124,0.4694917547,0.321013046
Sul,256,4816.94838333,0.16365096806,0.0073314062,0.3916759829,0.3990073891,0.2728196524
Sul,257,61979.9353714,0.164931176027,0.0943336,0.3947399838,0.4890735838,0.3344020406
Sul,258,232614.461908,0.170046202244,0.3540397302,0.4069820924,0.7610218226,0.5203455244
Sul,259,287626.808069,0.170801784063,0.4377686438,0.4087904731,0.8465591169,0.5788312957
Sul,260,288316.240461,0.169978618454,0.4388179615,0.4068203399,0.8456383014,0.5782016919
Sul,261,288316.240461,0.171813173416,0.4388179615,0.4112110938,0.8500290553,0.5812038517
Sul,262,196582.49107,0.165411912074,0.2991989902,0.3958905591,0.6950895493,0.4752646052
Sul,263,44766.6933155,0.175630690548,0.0681350071,0.4203477936,0.4884828007,0.3339980951
Sul,264,22261.022398,0.177277190497,0.0338813258,0.4242884638,0.4581697896,0.3132716991
Sul,265,44715.0096626,0.177308281558,0.0680563445,0.4243628759,0.4924192204,0.3366896058
Sul,266,38954.2398796,0.169459005776,0.05928844,0.4055767188,0.4648651588,0.3178496301
Sul,267,5681.21506119,0.145169065057,0.008646822,0.3474421014,0.3560889234,0.243474329
Sul,268,0,0.139597160253,0,0.3341065171,0.3341065171,0.2284439496
Sul,269,249381.0714,0.240968191362,0.3795585473,0.5767240751,0.9562826224,0.6538542889
Sul,270,247028.282564,0.32935792734,0.3759775974,0.7882726967,1.1642502941,0.7960513245
Sul,271,3052.02251244,0.132048605461,0.0046451851,0.316040094,0.3206852791,0.2192672336
Sul,272,6657.12937164,0.111900181788,0.0101321658,0.2678176256,0.2779497914,0.1900470206
Sul,273,4742.51325035,0.110542670773,0.0072181158,0.2645686105,0.2717867263,0.1858330503
Sul,274,7286.48430634,0.120190057373,0.0110900454,0.2876582975,0.2987483429,0.2042679442
Sul,275,181.3938694,0.120659145896,2.760819e-4,0.2887809961,0.289057078,0.1976415818
Sul,276,0,0.313772996916,0,0.7509723189,0.7509723189,0.5134742178
Sul,277,0,0.309050983801,0,0.7396708329,0.7396708329,0.5057468735
Sul,278,0,0.323013795352,0,0.7730888933,0.7730888933,0.5285963341
Sul,279,0,0.315770858215,0,0.7557539239,0.7557539239,0.5167436205
Sul,280,0,0.318356662636,0,0.7619426896,0.7619426896,0.5209751634
Sul,281,3618.34296227,0.33005025268,0.0055071261,0.7899296818,0.7954368079,0.5438766283
Sul,282,11860.7739506,0.304065391356,0.0180521244,0.7277385061,0.7457906305,0.5099312598
