id,normalized_heritage,normalized_priority,normalized_wsr,normalized_protected,normalized_bandeira,normalized_ramsar,response_added,response_index
0,0,0,0,0.9337123676,0,0,0.9337123676,0.3391190988
1,0,0,0,0.6468737532,0,0,0.6468737532,0.2349409217
2,0,0,0,0.697268229,0,0,0.697268229,0.2532439129
3,0,0,0,0.6101513308,0,0,0.6101513308,0.2216035437
4,0,0.7361665841,1.0000000029,0.987627725,0,0,2.723794312,0.9892668283
5,0,0.5405368635,0,0.1987848843,0,0,0.7393217478,0.2685175152
6,0,0.2130222583,0,0.0613439532,0,0,0.2743662115,0.0996482703
7,0,0.1574096119,0,0.0634200716,0.6666666667,0,0.8874963502,0.3223337003
8,0,0.2630682852,0,0.3874622525,0,0.5441387924,1.1946693301,0.433897205
195,0,0.0665988768,0,0,0,0,0.0665988768,0.0241883388
196,0,0.0572133382,0,0,0,0,0.0572133382,0.0207795638
197,0,0.0818541765,0,0.0010800259,0,0,0.0829342024,0.0301212375
198,0,0.0903655751,0,0.0221135162,0,0,0.1124790913,0.0408517756
199,0,0.0322088836,0,0,0,0,0.0322088836,0.011698086
200,0,0,0,0,0,0,0,0
201,0,0,0,0,0,0,0,0
202,0,0,0,0,0,0,0,0
203,0,0,0,0,0,0,0,0
204,0,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0,0
206,0,0,0,0,0,0,0,0
207,0,0,0,0,0,0,0,0
208,0,0,0,0,0,0,0,0
209,0,0.0015690773,0,0,0,0,0.0015690773,5.698801e-4
210,0,0.0538170404,0,0,0,0,0.0538170404,0.0195460474
211,0,0.5306289499,0,0.0506130716,0,0,0.5812420215,0.2111038446
212,0,0.3162139994,0,0.0510759516,0,0,0.367289951,0.1333976517
213,0,0.2985618191,0,0.0510759516,0,0,0.3496377707,0.1269864787
214,0,0.2146828915,0,0.0510759516,0,0,0.2657588431,0.0965221223
215,0,0.2749643434,0,0.0510759516,0,0,0.326040295,0.1184160078
216,0,0.269377829,0,0.0510759516,0,0,0.3204537806,0.1163870171
217,0,0.2197872613,0,0.0510759516,0,0,0.2708632129,0.0983760008
218,0,0.2138193406,0,0.0509520056,0,0,0.2647713462,0.096163469
219,0,0,0,0,0,0,0,0
220,0,0.0016180511,0,6.255226e-4,0,0,0.0022435737,8.148534e-4
221,0,0,0,0,0,0,0,0
222,0,0,0,0.2534181753,0,0,0.2534181753,0.092040061
223,0,0,0,0.6716423358,0,0,0.6716423358,0.2439367321
224,0,0,0,0.9685280551,0,0,0.9685280551,0.3517639614
225,0,0,0,0.9755413024,0,0,0.9755413024,0.3543111335
226,0,0,0,0.9504541935,0,0,0.9504541935,0.3451996362
227,0,0,0,0.9177050568,0,0,0.9177050568,0.3333053332
228,0,0,0,0.9609007833,0,0,0.9609007833,0.348993779
229,0,0,0,0.7734989247,0,0,0.7734989247,0.2809304743
230,0,0,0,0.7524799265,0,0,0.7524799265,0.2732964919
231,0,0,0,0.7002580052,0,0,0.7002580052,0.2543297828
232,0,0,0,0.6792528636,0,0,0.6792528636,0.2467008331
233,0,0,0,0.6306306327,0,0,0.6306306327,0.2290415114
234,0,0,0,0.7237309699,0,0,0.7237309699,0.262855032
235,0,0,0,0.7224185409,0,0,0.7224185409,0.2623783652
236,0,0,0,0.6365743429,0,0,0.6365743429,0.2312002336
237,0,0,0,0.7055501594,0,0,0.7055501594,0.2562518636
238,0,0,0,0.5516010761,0,0,0.5516010761,0.2003384193
239,0,0,0,0.646868357,0,0,0.646868357,0.2349389618
240,0,0,0,0.6598608581,0,0,0.6598608581,0.2396577654
241,0,0,0,0.6723098711,0,0,0.6723098711,0.2441791771
242,0,0,0,0.6603696496,0,0,0.6603696496,0.2398425556
243,0,0,0,0.6319116074,0,0,0.6319116074,0.2295067542
244,0,0.0096807238,0,0.6190522565,0,0,0.6287329803,0.2283522946
245,0,0.0268708816,0,0.6461456849,0,0,0.6730165665,0.244435845
246,0,0.0642807975,0,0.7465532693,0,0,0.8108340668,0.2944903887
247,0,0.0909963873,0,0.6520713827,0,0,0.74306777,0.2698780495
248,0,0.4097116314,0.5858334332,0.6219716781,0,0,1.6175167427,0.5874730154
249,0,0.5359523432,0.997146346,0.6738020847,0,0,2.2069007739,0.8015339923
250,0,0.7283119705,1.0000000029,1,0,0,2.7283119734,0.9909076176
251,0,0.8036007381,1.0000000029,0.9497457112,0,0,2.7533464522,1
252,0,0.6531600322,0.6829272385,0.8410002815,0,0,2.1770875522,0.7907059972
253,0,0.5185059642,0,0.6943808726,0,0,1.2128868368,0.4405137014
254,0,0.5205728732,0,0.6267678184,0,0,1.1473406916,0.4167077088
255,0,0.4454929781,0,0.5550060777,0,0,1.0004990558,0.3633756497
256,0,0.4757703214,0,0.4432417305,0,0,0.9190120519,0.3337800265
257,0,0.5023943327,0,0.3765058574,0,0,0.8789001901,0.3192116231
258,0,0.5245957985,0,0.3185970398,0,0,0.8431928383,0.3062429131
259,0,0.5507892015,0,0.3067459181,0,0,0.8575351196,0.3114519493
260,0,0.5312963963,0,0.2718294598,0,0,0.8031258561,0.2916908097
261,0,0.5076334663,0,0.2587762072,0,0,0.7664096735,0.278355698
262,0,0.5416193295,0,0.2257824239,0,0,0.7674017534,0.2787160158
263,0,0.5663037874,0,0.2440940508,0,0,0.8103978382,0.2943319529
264,0,0.5449672134,0,0.2381944906,0,0,0.783161704,0.2844399416
265,0,0.6280753467,0,0.2648948117,0,0,0.8929701584,0.3243217568
266,0,0.6785747498,0,0.2686329236,0,0,0.9472076734,0.3440205182
267,0,0.4674777971,0,0.1498662698,0,0,0.6173440669,0.2242159051
268,0,0.3673432649,0,0.1164498663,0,0,0.4837931312,0.1757109538
269,0,0.4521797629,0,0.2023292235,0,0,0.6545089864,0.2377139956
270,0,0.4299893183,0,0.2583508834,0.3333333333,0,1.021673535,0.3710661018
271,0,0.3580909297,0,0.098964715,0,0,0.4570556447,0.1660000485
272,0,0.2693638147,0,0.0709278579,0,0,0.3402916726,0.1235920283
273,0,0.2450290326,0,0.0645243336,0,0,0.3095533662,0.1124280477
274,0,0.1847832562,0,0.0489089428,0,0,0.233692199,0.0848756969
275,0,0.1547906354,0,0.0409240215,0,0,0.1957146569,0.0710824665
276,0,0.2483311733,0,0.1692930395,0.3333333333,0,0.7509575461,0.2727435719
277,0,0.1190424857,0,0.0600417767,0.3333333333,0,0.5124175957,0.1861071989
278,0,0.1955707713,0,0.0423618618,1,0,1.2379326331,0.4496101942
279,0,0.2227548905,0,0.0636203916,1,0,1.2863752821,0.4672042928
280,0,0.1693612236,0,0.0357132851,1,0,1.2050745087,0.4376763076
281,0,0.1396275683,0,0.0027943449,1,0,1.1424219132,0.414921236
282,0,0.0940953853,0,0.1165954179,0.6666666667,0,0.8773574699,0.3186513158
283,0,0.0795008685,0,0.1162483102,0.6666666667,0,0.8624158454,0.3132246015
284,0,0.0427308448,0,0.1117361249,0.6666666667,0,0.8211336364,0.2982311346
285,0,0.0180487603,0,0.0952756299,0.6666666667,0,0.7799910569,0.2832883803
286,0,0.0180487603,0,0.0597126277,0.6666666667,0,0.7444280547,0.2703720972
287,0,0.0180487603,0,0.0264548095,0.6666666667,0,0.7111702365,0.2582930441
288,0,0.0180487603,0,0.0130102007,0.6666666667,0,0.6977256277,0.2534100375
289,0,0.0180487603,0,0.0076333828,0.6666666667,0,0.6923488098,0.2514572074
290,0,0.018031485,0,0.0030246866,0,0,0.0210561716,0.0076474835
291,0,0.0090244405,0,0.0030246866,0,0,0.0120491271,0.0043761754
292,0,0.001061603,0,0.0021610327,0,0,0.0032226357,0.0011704432
293,0,0,0,0.0023924993,0,0,0.0023924993,8.689423e-4
294,0,0,0,0.0023924993,0,0,0.0023924993,8.689423e-4
295,0,0,0,0.0023924993,0,0,0.0023924993,8.689423e-4
296,0,0,0,0.0016848474,0,0,0.0016848474,6.119271e-4
297,0,0,0,6.035636e-4,0.6666666667,0,0.6672702303,0.2423488079
298,0,0,0,6.035636e-4,0.6666666667,0,0.6672702303,0.2423488079
299,0,0,0,0.0037027415,1,0,1.0037027415,0.3645392103
300,0,0,0,0.0034701819,1,0,1.0034701819,0.364454746
301,0,0,0,0.0033365481,1,0,1.0033365481,0.364406211
302,0,0,0,0.0033365481,0.6666666667,0,0.6700032148,0.2433414125
303,0,0,0,0.0036369937,0.6666666667,0,0.6703036604,0.2434505327
304,0,0,0,0.0048930314,0.6666666667,0,0.6715596981,0.2439067185
305,0,0,0,0.0079935963,0.6666666667,0,0.674660263,0.2450328263
306,0,0,0,0.008696207,0.3333333333,0,0.3420295403,0.1242232121
307,0,0.0072701982,0,0.0053596589,0,0,0.0126298571,0.0045870933
