id,normalized_heritage,normalized_priority,normalized_wsr,normalized_protected,normalized_bandeira,normalized_ramsar,response_added,response_index
0,0,0,0,0.9472230681,0,0,0.9472230681,0.3396716303
1,0,0,0,0.5472509119,0,0,0.5472509119,0.1962426969
2,0,0,0,0.5830028215,0,0,0.5830028215,0.2090632349
3,0,0,0,0.4564574979,0,0,0.4564574979,0.1636844242
4,0,0.5018457858,0.804241705,0.9974095227,0,0,2.3034970135,0.8260277988
5,0,0.4574512885,0,0.1246090043,0,0,0.5820602928,0.2087252467
6,0,0.2353109503,0,0.0778224364,0,0,0.3131333867,0.1122887855
7,0,0,0,0,0.3333333333,0,0.3333333333,0.1195324318
8,0,0.4839029739,0,0.3902548523,0,0.3717179584,1.2458757846,0.4467676866
195,0,0.124835877,0,0,0,0,0.124835877,0.0447658078
196,0,0.1064629924,0,0,0,0,0.1064629924,0.0381773411
197,0,0.1711403785,0,0.0037711154,0,0,0.1749114939,0.0627227886
198,0,0.1028757027,0,0,0,0,0.1028757027,0.0368909487
199,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0
201,0,0,0,0,0,0,0,0
202,0,0,0,0,0,0,0,0
203,0,0,0,0,0,0,0,0
204,0,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0,0
206,0,0,0,0,0,0,0,0
207,0,0,0,0,0,0,0,0
208,0,0,0,0,0,0,0,0
209,0,0,0,0,0,0,0,0
210,0,0.0626194306,0,0,0,0,0.0626194306,0.0224551584
211,0,0.7242299642,0,0.1338056212,0,0,0.8580355854,0.3076892402
212,0,0.5815435778,0,0.1742187737,0,0,0.7557623515,0.2710143351
213,0,0.5501677793,0,0.1545170982,0,0,0.7046848775,0.2526980911
214,0,0.1635272467,0,0.0449104875,0,0,0.2084377342,0.0747452077
215,0,0.4817525288,0,0.1331504819,0,0,0.6149030107,0.2205025565
216,0,0.4551949594,0,0.1231775342,0,0,0.5783724936,0.2074028119
217,0,0.2145006587,0,0.0393004115,0,0,0.2538010702,0.0910123773
218,0,0.2014720101,0,0.0334614274,0,0,0.2349334375,0.0842464953
219,0,0,0,0,0,0,0,0
220,0,0,0,0,0,0,0,0
221,0,0,0,0,0,0,0,0
222,0,0,0,0.2957497092,0,0,0.2957497092,0.1060550458
223,0,0,0,0.5376837491,0,0,0.5376837491,0.1928119382
224,0,0,0,0.9466203334,0,0,0.9466203334,0.3394554912
225,0,0,0,0.9467195341,0,0,0.9467195341,0.3394910643
