id,normalized_employment,normalized_hotels,normalized_airports,social_added,social_subindex
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0.2484512955,0,0,0.2484512955,0.1656341968
5,0,0,0,0,0
6,0.6675492011,0,0,0.6675492011,0.4450328002
7,0.2020191515,0.5,0,0.7020191515,0.4680127671
8,0.3608133196,0.1666666667,0,0.5274799863,0.3516533238
195,0.0461969147,0,0,0.0461969147,0.0307979431
196,0.124609729,0,0,0.124609729,0.0830731526
197,0,0,0,0,0
198,0.124609729,0,0,0.124609729,0.0830731526
199,0,0,0,0,0
200,0,0,0,0,0
201,0.189347917,0,0,0.189347917,0.1262319445
202,0.189347917,0,0,0.189347917,0.1262319445
203,0.189347917,0,0,0.189347917,0.1262319445
204,0.189347917,0,0,0.189347917,0.1262319445
205,0.1545760331,0,0,0.1545760331,0.1030506886
206,0.3358230359,0,0,0.3358230359,0.2238820237
207,0.3358230359,0,0,0.3358230359,0.2238820237
208,0.876897989,0.3333333333,0,1.2102313223,0.8068208806
209,0.876897989,0,0,0.876897989,0.5845986586
210,0.876897989,0,0,0.876897989,0.5845986586
211,0.2994981332,0,0,0.2994981332,0.1996654219
212,0.2994981332,0,0,0.2994981332,0.1996654219
213,0.2994981332,0.1666666667,0,0.4661647999,0.3107765329
214,0.2994981332,0,0,0.2994981332,0.1996654219
215,0.2994981332,0.6666666667,0,0.9661647999,0.6441098658
216,0.2994981332,1,0,1.2994981332,0.8663320878
217,0.1440211646,0,0,0.1440211646,0.0960141096
218,0.1440211646,0,0,0.1440211646,0.0960141096
219,0.0724456717,0,0,0.0724456717,0.0482971144
220,0,0,0,0,0
221,0,0,0,0,0
222,0,0,0,0,0
223,0.1242026362,0,0,0.1242026362,0.0828017574
224,0.1242026362,0.1666666667,0,0.2908693029,0.1939128684
225,0,0,0,0,0
226,0,0,0,0,0
227,0,0,0,0,0
228,0,0,0,0,0
229,0,0,0,0,0
230,0,0,0,0,0
231,0,0,0,0,0
232,0,0,0,0,0
233,0,0,0,0,0
234,0,0,0,0,0
235,0,0,0,0,0
236,0,0,0,0,0
237,0,0,0,0,0
238,0,0,0,0,0
239,0,0,0,0,0
240,0,0,0,0,0
241,0,0,0,0,0
242,0,0,0,0,0
243,0,0,0,0,0
244,0,0,0,0,0
245,0,0,0,0,0
246,0,0,0,0,0
247,0,0,0,0,0
248,0,0,0,0,0
249,0,0,0,0,0
250,0.2484512955,0,0,0.2484512955,0.1656341968
251,0.2484512955,0,0,0.2484512955,0.1656341968
252,0.6675492011,0,0,0.6675492011,0.4450328002
253,0.6675492011,0,0,0.6675492011,0.4450328002
254,0.6675492011,0,0,0.6675492011,0.4450328002
255,0.6675492011,0,0,0.6675492011,0.4450328002
256,0.6675492011,0,0,0.6675492011,0.4450328002
257,0.6675492011,0,0,0.6675492011,0.4450328002
258,0.6675492011,0,0,0.6675492011,0.4450328002
259,0.6675492011,0,0,0.6675492011,0.4450328002
260,0.6675492011,0,0,0.6675492011,0.4450328002
261,0.6675492011,0,0,0.6675492011,0.4450328002
262,0.6675492011,0,0,0.6675492011,0.4450328002
263,0.6675492011,0,0,0.6675492011,0.4450328002
264,0.6675492011,0,0,0.6675492011,0.4450328002
265,0.6675492011,0,0,0.6675492011,0.4450328002
266,0.6675492011,0,0,0.6675492011,0.4450328002
267,0.6675492011,0,0,0.6675492011,0.4450328002
268,0.6675492011,0,0,0.6675492011,0.4450328002
269,0.6675492011,0,0,0.6675492011,0.4450328002
270,0.6675492011,0,0,0.6675492011,0.4450328002
271,0.6675492011,0.1666666667,0,0.8342158678,0.5561439112
272,0.6675492011,0,0,0.6675492011,0.4450328002
273,0.6675492011,0,0,0.6675492011,0.4450328002
274,0.6675492011,0,0,0.6675492011,0.4450328002
275,0.6675492011,0,0,0.6675492011,0.4450328002
276,0.5598519475,0,0,0.5598519475,0.3732346312
277,0.5598519475,0,0,0.5598519475,0.3732346312
278,0.3088386408,0,0,0.3088386408,0.205892427
279,0.3088386408,0,0,0.3088386408,0.205892427
280,0.3088386408,0,0,0.3088386408,0.205892427
281,0.3088386408,0.1666666667,0,0.4755053075,0.317003538
282,0,0,0,0,0
283,0,0,0,0,0
284,0,0,0,0,0
285,0,0,0,0,0
286,1.0000000018,0,0,1.0000000018,0.6666666671
287,1.0000000018,0,0,1.0000000018,0.6666666671
288,1.0000000018,0.5,0,1.5000000018,1
289,1.0000000018,0,0,1.0000000018,0.6666666671
290,1.0000000018,0,0,1.0000000018,0.6666666671
291,0.3233510687,0,0,0.3233510687,0.2155673789
292,0.3233510687,0,0,0.3233510687,0.2155673789
293,0.3233510687,0,0,0.3233510687,0.2155673789
294,0.1615511203,0,0,0.1615511203,0.1077007467
295,0.1615511203,0,0,0.1615511203,0.1077007467
296,0.1615511203,0,0,0.1615511203,0.1077007467
297,0.1615511203,0,0,0.1615511203,0.1077007467
298,0.1615511203,0,0,0.1615511203,0.1077007467
299,0,0,0,0,0
300,0,0,0,0,0
301,0,0,0,0,0
302,0,0,0,0,0
303,0.2185046378,0,0,0.2185046378,0.1456697584
304,0.2185046378,0,0,0.2185046378,0.1456697584
305,0.2185046378,0,0,0.2185046378,0.1456697584
306,0.2185046378,0,0,0.2185046378,0.1456697584
307,0.2185046378,0.1666666667,0,0.3851713045,0.2567808694
308,0.2185046378,0.1666666667,0,0.3851713045,0.2567808694
309,0.2185046378,0,0,0.2185046378,0.1456697584
310,0,0,0,0,0
311,0,0,0,0,0
312,0.2122838652,0,0,0.2122838652,0.1415225766
313,0.2122838652,0,0,0.2122838652,0.1415225766
314,0.2020191515,0,0,0.2020191515,0.1346794342
315,0.2020191515,0,0,0.2020191515,0.1346794342
316,0.2020191515,0,0,0.2020191515,0.1346794342
317,0.2020191515,0,0,0.2020191515,0.1346794342
318,0.2020191515,0,0,0.2020191515,0.1346794342
319,0.2020191515,0,0,0.2020191515,0.1346794342
320,0,0,0,0,0
321,0,0,0,0,0
322,0.1635567976,0,0,0.1635567976,0.1090378649
323,0.1635567976,0,0,0.1635567976,0.1090378649
324,0.1635567976,0,0,0.1635567976,0.1090378649
325,0.1635567976,0,0,0.1635567976,0.1090378649
326,0.3608133196,0,0,0.3608133196,0.2405422128
327,0.164768634,0,0,0.164768634,0.1098457559
328,0.164768634,0,0,0.164768634,0.1098457559
512,0.2166072972,0,0,0.2166072972,0.1444048646
513,0.0675175621,0,0,0.0675175621,0.045011708
514,0.0675175621,0,0,0.0675175621,0.045011708
515,0.876897989,0,0,0.876897989,0.5845986586
516,0,0,0,0,0
517,0.3608133196,0,0,0.3608133196,0.2405422128
518,0.164768634,0,0,0.164768634,0.1098457559
