id,pressure_index,biodiversity_subindex,surf_subindex,social_subindex,climate_index,response_index,added_indices,sci
0,0.8482737597,0.2281751201,0.3116883117,0.058558539,0.0889890449,0.3391190988,1.8748038742,0.1461873552
1,0.736134266,0.3205217951,0.1558441558,0.535305291,0.3086568869,0.2349409217,2.2914033165,0.2622165384
2,0.7440035822,0.2176078907,0.1558441558,0,0.2301299687,0.2532439129,1.6008295103,0.069881392
3,0.7340275087,0.2293858555,0.2597402597,0,0.2898732257,0.2216035437,1.7346303933,0.1071469416
4,0.627717077,0.6215736748,0.1038961039,0.1595054406,0.5202468083,0.9892668283,3.0222059329,0.4657560109
5,0.5353073055,0.3302213114,0.1558441558,0.7930448721,0.2961711136,0.2685175152,2.3791062736,0.2866431253
6,0.4594055963,0.2884764555,0.2597402597,0.4560007999,0.2142272385,0.0996482703,1.7774986202,0.1190863848
7,0.7548708913,0.4913153995,0.2597402597,0.5586524351,0.6613331292,0.3223337003,3.0482458151,0.4730085081
8,0.7717983855,0.9406863492,0.2077922078,0.2230024481,0.7112644954,0.433897205,3.288441091,0.5399064893
195,0.9631556408,0.0144658339,0.4675324675,0.0144064428,0.0535396966,0.0241883388,1.5372884204,0.052184247
196,0.9493436469,0.0704970765,0.4675324675,0.077718737,0.0407888116,0.0207795638,1.6266603033,0.0770756547
197,0.8384717046,0.1828276729,0.5194805195,0.0388593685,0.0511346035,0.0301212375,1.6608951065,0.0866105601
198,0.7956409036,0.0776262092,0.5194805195,0.0388593685,0.0728336612,0.0408517756,1.5452924376,0.0544134856
199,0.8137662837,0,0.4675324675,0.0388593685,0.1601627124,0.011698086,1.4920189181,0.0395760127
200,0.9472233674,0.1299717439,0.2727272727,0,0,0,1.349922384,0
201,0.7530934354,0.2039664052,0.6233766234,0.1177541902,0,0,1.6981906542,0.0969979286
202,0.7407580665,0.2013497363,0.6233766234,0.1177541902,0,0,1.6832386164,0.0928335622
203,0.6796767449,0.183190876,0.7402597403,0.1177541902,0,0,1.7208815514,0.1033176833
204,0.6684685627,0.1815994556,0.7272727273,0.1053644259,0,0,1.6827051715,0.0926849898
205,0.742092131,0.2169415456,0.5844155844,0.0977689022,0,0,1.6412181632,0.0811302367
206,0.67985638,0.2609165868,0.5714285714,0.6799717786,0,0,2.1921733168,0.2345794975
207,0.6785584837,0.2622258184,0.5714285714,0.6799717786,0,0,2.1921846521,0.2345826546
208,0.6851191473,0.2631364526,0.5714285714,0.7224925582,0.024483459,0,2.2666601885,0.2553252068
209,0.7745797034,0.2842346149,0.5714285714,0.196674461,0.0723041666,5.698801e-4,1.8997913974,0.1531467546
210,0.8324357468,0.36432262,0.3116883117,0.1458333126,0.0723041666,0.0195460474,1.7461302051,0.1103498114
211,0.7173033604,0.3111299996,0.7792207792,0.5979125273,0.1225283497,0.2111038446,2.7391988608,0.3869343033
212,0.725468151,0.3445229263,0.8311688312,0.2111639769,0.4361350541,0.1333976517,2.6818565912,0.3709636225
213,0.7263511144,0.3470373481,0.8961038961,0.2111639769,0.4381417248,0.1269864787,2.745784539,0.3887685133
214,0.7311790335,0.3937134113,0.5714285714,0.2572675996,0.3875869104,0.0965221223,2.4376976485,0.3029617007
215,0.7252586839,0.3532687582,0.6363636364,0.2572675996,0.4113167213,0.1184160078,2.5018914072,0.3208406238
216,0.72743071,0.3539384511,0.6363636364,0.2572675996,0.3921112713,0.1163870171,2.4834986855,0.3157179753
217,0.7320767018,0.3666181957,0.8961038961,0.2111639769,0.2904109415,0.0983760008,2.5947497128,0.3467030524
218,0.7320820487,0.3641863327,0.5844155844,0.2111639769,0.2912502795,0.096163469,2.2792616912,0.258834914
219,0.7953698825,0.5425588405,0.2077922078,0.043021135,0.0050693525,0,1.5938114183,0.0679267483
220,0.7613723842,0.6698489934,0.3246753247,0.0284617166,0.1551479909,8.148534e-4,1.9403212632,0.1644349291
221,0.837067103,0.4453925206,0.5844155844,0.0545999677,0.3459734666,0,2.2674486423,0.2555448029
222,0.7519813227,0.4228725057,0.2727272727,0.0779397937,0,0.092040061,1.6175609558,0.0745413501
223,0.8117632543,0.1997696433,0.5324675325,0.1140102442,0,0.2439367321,1.9019474064,0.1537472353
224,0.8402121961,0.2029808901,0.4675324675,0.1140102442,0,0.3517639614,1.9764997593,0.1745111821
225,0.8408695077,0.2084054081,0.4675324675,0.058558539,0,0.3543111335,1.9296770558,0.161470358
226,0.840250816,0.2235177515,0.7922077922,0.058558539,0.0220495015,0.3451996362,2.2817840364,0.2595374249
227,0.8445510164,0.233115892,0.5194805195,0.058558539,0.060250084,0.3333053332,2.0492613841,0.1947763842
228,0.8435315924,0.2193955275,0.5194805195,0.058558539,0.0612730969,0.348993779,2.0512330543,0.1953255238
229,0.8179833991,0.2778663422,0.7792207792,0.1189567313,0.153140711,0.2809304743,2.4280984371,0.3002881765
230,0.8125621985,0.2831572225,0.7272727273,0.1189567313,0.1549061327,0.2732964919,2.3701515042,0.284149088
231,0.779878047,0.2995073112,0.7922077922,0.1189567313,0.2252770021,0.2543297828,2.4701566666,0.3120020233
232,0.7517553793,0.3206480278,0.7922077922,0.1189567313,0.3152950008,0.2467008331,2.5455637645,0.3330040293
233,0.7669882285,0.3260911121,0.1688311688,0.535305291,0.2555665028,0.2290415114,2.2818238146,0.2595485037
234,0.8109807812,0.2735397203,0.5844155844,0.4163485596,0.0186067754,0.262855032,2.3667464529,0.2832007302
235,0.8098124707,0.2698460674,0.5844155844,0.4163485596,0.0213215389,0.2623783652,2.3641225862,0.282469944
236,0.7434131619,0.2434256353,0.5454545455,0,0.230483357,0.2312002336,1.9939769333,0.1793788367
237,0.7368902581,0.2048635914,0.5454545455,0,0.2365845765,0.2562518636,1.9800448351,0.1754985388
238,0.7073874502,0.2344742421,0.8831168831,0,0.3926972901,0.2003384193,2.4180142848,0.2974795891
