id,pressure_index,biodiversity_subindex,surf_subindex,social_subindex,response_index,added_indices,sci
0,0.1517262403,0.2281751201,0.3116883117,0.058558539,0.3391190988,1.0892673099,0.2164853113
1,0.263865734,0.3205217951,0.1558441558,0.535305291,0.2349409217,1.5104778976,0.3603589386
2,0.2559964178,0.2176078907,0.1558441558,0,0.2532439129,0.8826923772,0.145925155
3,0.2659724913,0.2293858555,0.2597402597,0,0.2216035437,0.9767021502,0.1780362354
4,0.372282923,0.6215736748,0.1038961039,0.1595054406,0.9892668283,2.2465249706,0.6117718075
5,0.4646926945,0.3302213114,0.1558441558,0.7930448721,0.2685175152,2.012320549,0.531774199
6,0.5405944037,0.2884764555,0.2597402597,0.4560007999,0.0996482703,1.6444601891,0.4061235011
7,0.2451291087,0.4913153995,0.2597402597,0.5586524351,0.3223337003,1.8771709033,0.4856109013
8,0.2282016145,0.9406863492,0.2077922078,0.2230024481,0.433897205,2.0335798246,0.5390357665
195,0.0368443592,0.0144658339,0.4675324675,0.0144064428,0.0241883388,0.5574374422,0.0348272656
196,0.0506563531,0.0704970765,0.4675324675,0.077718737,0.0207795638,0.6871841979,0.0791450888
197,0.1615282954,0.1828276729,0.5194805195,0.0388593685,0.0301212375,0.9328170938,0.163046341
198,0.2043590964,0.0776262092,0.5194805195,0.0388593685,0.0408517756,0.8811769692,0.1454075345
199,0.1862337163,0,0.4675324675,0.0388593685,0.011698086,0.7043236383,0.0849994371
200,0.0527766326,0.1299717439,0.2727272727,0,0,0.4554756492,0
201,0.2469065646,0.2039664052,0.6233766234,0.1177541902,0,1.1920037834,0.2515771858
202,0.2592419335,0.2013497363,0.6233766234,0.1177541902,0,1.2017224834,0.2548968189
203,0.3203232551,0.183190876,0.7402597403,0.1177541902,0,1.3615280616,0.3094818861
204,0.3315314373,0.1815994556,0.7272727273,0.1053644259,0,1.3457680461,0.3040987104
205,0.257907869,0.2169415456,0.5844155844,0.0977689022,0,1.1570339012,0.2396324628
206,0.32014362,0.2609165868,0.5714285714,0.6799717786,0,1.8324605568,0.4703391111
207,0.3214415163,0.2622258184,0.5714285714,0.6799717786,0,1.8350676847,0.4712296323
208,0.3148808527,0.2631364526,0.5714285714,0.7224925582,0,1.8719384349,0.4838236381
