id,pressure_index,biodiversity_subindex,surf_subindex,social_subindex,response_index,added_indices,sci
0,1,0.2377886186,0,0,0.3425828517,1.5803714703,0.312733142
1,1,0.3474502244,0,0,0.2407163324,1.5881665568,0.3174462743
2,0.7276437307,0.2046018158,0,0,0.3447331035,1.27697865,0.1292931643
3,0.60621992709999994,0.5990338004,0,0,0,1.2052537275,0.0859262244
4,0.8230132159,0.3128171194,0,0.1656341968,0.4557232452,1.7571877773,0.4196413391
5,1,0.4565448901,0,0,0,1.4565448901,0.2378640496
6,0.3756946765,0.3195007412,0.2352941176,0.4450328002,0.144698335,1.5202206705,0.2763642478
7,0.4964804949,0.2808279398,0,0.4680127671,0,1.2453212018,0.1101521655
8,0.5741116257,0.6169377568,0.2352941176,0.3516533238,0,1.7779968239,0.4322230839
195,0.6251997947,0.0964895794,0.4705882353,0.0307979431,0.0036052131,1.2266807656,0.0988816246
196,0.8355566233,0.2113126004,0.4705882353,0.0830731526,0.1201385772,1.7206691888,0.3975611559
197,1,0.1492358792,0.4705882353,0,0.4043122782,2.0241363927,0.5810461081
198,0.5403811902,0.1444063856,0.4705882353,0.0830731526,0.1505285083,1.388977472,0.1970108558
199,0.730796747,0,0.4705882353,0,0,1.2013849823,0.0835870704
200,0.9116136343,0.1832624218,0.2941176471,0,0,1.3889937032,0.1970206696
201,0.417976493,0.1076405413,0.7058823529,0.1262319445,0,1.3577313317,0.1781185456
202,0.430654038,0.1187945522,0.7058823529,0.1262319445,0,1.3815628876,0.192527786
203,0.5644098258,0.3454148553,0.5294117647,0.1262319445,0,1.5654683903,0.3037223136
204,0.4673306874,0.2901294521,0.4705882353,0.1262319445,0,1.3542803193,0.1760319648
205,0.5335628248,0.2660624276,0.5294117647,0.1030506886,0,1.4320877057,0.2230765363
206,0.5401238329,0.347842223,0.7058823529,0.2238820237,0,1.8177304325,0.4562471603
207,0.579813412,0.384481799,0.7058823529,0.2238820237,0,1.8940595876,0.5023979509
208,0.5370074951,0.3338787945,0.4705882353,0.8068208806,0,2.1482954055,0.6561161988
209,0.4891732303,0.3414972926,0.4705882353,0.5845986586,0,1.8858574168,0.4974386838
210,0.5095171012,0.3430917934,0.2352941176,0.5845986586,0,1.6725016708,0.3684376967
211,0.7681778007,0.3047575928,0.4705882353,0.1996654219,0.240610107,1.9837991577,0.5566570619
212,0.5312364886,0.4075330025,0.4705882353,0.1996654219,0.1157494755,1.7247726238,0.4000422101
213,0.4426313114,0.3805060827,0.5294117647,0.3107765329,0.0426193434,1.7059450351,0.3886585114
214,0.9850218538,0.3637757935,0.2352941176,0.1996654219,0.200053773,1.9838109598,0.5566641978
215,0.2571422292,0.4065283203,0.5294117647,0.6441098658,0.1067755769,1.9439677569,0.5325738576
216,0.2004528785,0.3971642999,0.5294117647,0.8663320878,0.1132919276,2.1066529585,0.6309379842
217,0.5664167862,0.449981022,0.7647058824,0.0960141096,0.0155572929,1.8926750931,0.5015608459
218,0.5132927274,0.419941806,0.5294117647,0.0960141096,0.0155269461,1.5741873538,0.3089940483
219,0.4533446477,0.3650952636,0.2352941176,0.0482971144,0,1.1020311433,0.0235148973
220,0.7056743965,0.2406389233,0.2941176471,0,0,1.2404309669,0.1071953896
221,1,0.622834309,0.5294117647,0,0,2.1522460737,0.6585048858
