id,pressure_index,biodiversity_subindex,surf_subindex,social_subindex,response_index,added_indices,sci
0,0.1446585639,0.1338808574,0.2142858299,0.0274798488,0.2245075691,0.7448126691,0.0813310725
1,0.2283397586,0.2241364841,0.1666666667,0.5128676554,0.1555383208,1.2875488856,0.2837262306
2,0.2445861403,0.1347410867,0.1666666667,0,0.1676554799,0.7136493736,0.069709773
3,0.2422367327,0.1416217562,0.1984126856,0,0.1467085548,0.7289797293,0.0754267119
4,0.188892906,0.2285838395,0.1507937921,0.0785418796,0.7560157858,1.402828203,0.3267157621
5,0.2587119349,0.2348880958,0.1666666667,0.3647593483,0.160101743,1.1851277887,0.2455317385
6,0.3189078186,0.2135543856,0.1984126856,0.2218290181,0.0590085028,1.0117124107,0.180862325
7,0.2241501617,0.3259566167,0.1984126856,0.5270737742,0.291683182,1.5672764202,0.3880411756
8,0.1932868915,0.5686294353,0.182539811,0.1057436936,0.2291692454,1.2793690768,0.2806758469
9,0.1179092353,0.3860330007,0.1190477732,0,0.3588611895,0.9818511987,0.1697265936
10,0.1741997069,0.3411336467,0.1190477732,0,0.3263509991,0.9607321259,0.161850948
11,0.2317989237,0.4258577796,0.1190477732,0.0286360771,0.4297910896,1.2351316432,0.2641789888
12,0.2613709177,0.4884504991,0.1190477732,0.50324616,0.1434589752,1.5155743252,0.3687606239
13,0.2417596046,0.4679488137,0.1031746289,0.4828339082,0.1569888369,1.4527057923,0.3453159259
14,0.3696942077,0.4671169519,0.1507937921,0.0376011257,0.1632180426,1.18842412,0.2467609941
15,0.4747976694,0.4097535971,0.2936507423,0.15065576,0.2453860543,1.5742438231,0.3906394334
16,0.4817863873,0.4074777416,0.2936507423,0.15065576,0.2457852561,1.5793558873,0.3925458052
17,0.4834612803,0.4303322664,0.3253967611,0.1109437758,0.2453222763,1.5954563599,0.3985499332
18,0.3691822066,0.4833555221,0.2301587045,0.1109437758,0.1242434699,1.3178836789,0.2950385681
19,0.5025981232,0.4140354413,0.3095238866,0.1109437758,0.233925999,1.5710272259,0.389439912
20,0.5280826107,0.442480343,0.3095238866,0.1193514423,0.2326780177,1.6321163003,0.412221021
21,0.4708031094,0.4588110667,0.2777778677,0.1422480935,0.2534263213,1.6030664586,0.4013878627
22,0.399191679,0.4431391676,0.2301587045,0.1170250941,0.2974446559,1.4869593011,0.3580896162
23,0.5518351179,0.5082601815,0.3253967611,0.1094440432,0.1960447707,1.6909808744,0.4341725776
24,0.5920251066,0.5200675578,0.3253967611,0.1094440432,0.1865948154,1.7335282841,0.4500391983
25,0.196292283,0.6186277711,0.2142858299,0.0780167294,0.2118798496,1.319102463,0.2954930725
26,0.1605117046,0.5621701758,0.2142858299,0.0780167294,0.314096516,1.3290809557,0.2992142147
27,0.1664073203,0.6103385971,0.2142858299,0.0780167294,0.3542426314,1.4232911081,0.334346712
28,0.1046465451,0.5075210682,0.1984126856,0.1101989622,0.5662777053,1.4870569664,0.3581260372
29,0.1166522496,0.4618056523,0.2301587045,0.1101989622,0.4975459577,1.4163615263,0.3317625583
30,0.1409527092,0.5363817459,0.1507937921,0,0.3505344522,1.1786626994,0.2431208016
31,0.1246763375,0.4696261359,0.2777778677,0.1101989622,0.4494559063,1.4317352096,0.3374956547
32,0.1265309576,0.5110087714,0.2777778677,0.1101989622,0.4129179142,1.4384344731,0.339993919
33,0.1251409278,0.5088447982,0.2777778677,0.1101989622,0.3885456774,1.4105082333,0.3295797702
34,0.1191737508,0.5011926751,0.2777778677,0.1101989622,0.374158489,1.3825017448,0.3191356954
35,0.1206016105,0.5171667316,0.2777778677,0.1101989622,0.3881163507,1.4138615227,0.3308302663
36,0.1094929076,0.4978197214,0.2619047234,0.0734659748,0.3775704583,1.3202537855,0.2959224194
37,0.1063951355,0.5070632474,0.2460318488,0.0574429273,0.3735206019,1.2904537609,0.2848095058
38,0.112519108,0.5355853022,0.1666666667,0.0442528016,0.329649776,1.1886736545,0.2468540495
39,0.1050898899,0.6676415266,0.1666666667,0.0829964211,0.4449386381,1.4673331424,0.3507707026
40,0.1611711788,0.6967620239,0.2460318488,0.5524662225,0.4228048003,2.0792360743,0.5789592532
41,0.120595641,0.5713325198,0.2142858299,0.5524662225,0.4336893825,1.8923695957,0.5092737056
42,0.0231211189,0.5683914889,0.1190477732,0.1781760946,0.5653055282,1.4540420038,0.3458142209
43,0.0573452544,0.273506054,0.1507937921,0.1225569789,0.4336101115,1.0378121909,0.1905953573
44,0.0551157172,0.344541116,0.1666666667,0.1225569789,0.612538787,1.3014192658,0.2888987208
45,0.0561737969,0.3112940793,0.1507937921,0.1225569789,0.5287003871,1.1695190343,0.2397109803
46,0.4982210605,0.5815382375,0.2777778677,0.1494550737,0.3705130708,1.8775053102,0.5037305719
