id,pressure_index,biodiversity_subindex,surf_subindex,social_subindex,climate_index,response_index,added_indices,sci
0,0.1446585639,0.1338808574,0.2142858299,0.0274798488,0.0488149258,0.2245075691,0.7936275949,0.0644024252
1,0.2283397586,0.2241364841,0.1666666667,0.5128676554,0.1693136843,0.1555383208,1.4568625699,0.2940855964
2,0.2445861403,0.1347410867,0.1666666667,0,0.1262377563,0.1676554799,0.8398871299,0.0804224439
3,0.2422367327,0.1416217562,0.1984126856,0,0.15900991,0.1467085548,0.8879896393,0.0970806982
4,0.188892906,0.2285838395,0.1507937921,0.0785418796,0.285283651,0.7560157858,1.688111854,0.3741689318
5,0.2587119349,0.2348880958,0.1666666667,0.3647593483,0.1623951682,0.160101743,1.3475229569,0.2562204807
6,0.3189078186,0.2135543856,0.1984126856,0.2218290181,0.1174628603,0.0590085028,1.129175271,0.1806050641
7,0.2241501617,0.3259566167,0.1984126856,0.5270737742,0.3620816018,0.291683182,1.929358022,0.4577142619
8,0.1932868915,0.5686294353,0.182539811,0.1057436936,0.3884183291,0.2291692454,1.6677874059,0.3671304253
9,0.1179092353,0.3860330007,0.1190477732,0,0.1641120924,0.3588611895,1.1459632911,0.1864188795
10,0.1741997069,0.3411336467,0.1190477732,0,0.2774411438,0.3263509991,1.2381732697,0.2183518763
11,0.2317989237,0.4258577796,0.1190477732,0.0286360771,0.3709893311,0.4297910896,1.6061209743,0.3457748845
12,0.2613709177,0.4884504991,0.1190477732,0.50324616,0.3691959341,0.1434589752,1.8847702593,0.4422731903
13,0.2417596046,0.4679488137,0.1031746289,0.4828339082,0.3066652261,0.1569888369,1.7593710184,0.3988465068
14,0.3696942077,0.4671169519,0.1507937921,0.0376011257,0.5109705384,0.1632180426,1.6993946584,0.3780762503
15,0.4747976694,0.4097535971,0.2936507423,0.15065576,0.2938320513,0.2453860543,1.8680758744,0.4364918015
16,0.4817863873,0.4074777416,0.2936507423,0.15065576,0.2947385681,0.2457852561,1.8740944554,0.4385760805
17,0.4834612803,0.4303322664,0.3253967611,0.1109437758,0.2492279413,0.2453222763,1.8446843012,0.4283911269
18,0.3691822066,0.4833555221,0.2301587045,0.1109437758,0.4773257384,0.1242434699,1.7952094173,0.4112576091
19,0.5025981232,0.4140354413,0.3095238866,0.1109437758,0.2934298385,0.233925999,1.8644570644,0.4352385809
20,0.5280826107,0.442480343,0.3095238866,0.1193514423,0.3140790686,0.2326780177,1.9461953689,0.4635451595
21,0.4708031094,0.4588110667,0.2777778677,0.1422480935,0.5191158826,0.2534263213,2.1221823412,0.5244907481
22,0.399191679,0.4431391676,0.2301587045,0.1170250941,0.5219610536,0.2974446559,2.0089203547,0.4852672855
23,0.5518351179,0.5082601815,0.3253967611,0.1094440432,0.5345378831,0.1960447707,2.2255187575,0.5602769124
24,0.5920251066,0.5200675578,0.3253967611,0.1094440432,0.5646529607,0.1865948154,2.2981812448,0.5854404685
25,0.196292283,0.6186277711,0.2142858299,0.0780167294,0.7947938009,0.2118798496,2.1138962639,0.5216212183
26,0.1605117046,0.5621701758,0.2142858299,0.0780167294,0.6456720656,0.314096516,1.9747530213,0.4734348855
