id,pressure_index,biodiversity_subindex,surf_subindex,social_subindex,response_index,added_indices,sci
0,0.1446585639,0.1338808574,0.1985817416,0.0274798488,0.2245075691,0.7291085808,0.0904954084
1,0.2283397586,0.2241364841,0.1134751431,0.5128676554,0.1555383208,1.234357362,0.2724631561
2,0.2445861403,0.1347410867,0.1134751431,0,0.1676554799,0.66045785,0.0657705217
3,0.2422367327,0.1416217562,0.1702127147,0,0.1467085548,0.7007797584,0.0802926485
4,0.188892906,0.2285838395,0.0851065985,0.0785418796,0.7560157858,1.3371410094,0.3094811748
5,0.2587119349,0.2348880958,0.1134751431,0.3647593483,0.160101743,1.1319362651,0.2355757117
6,0.3189078186,0.2135543856,0.1702127147,0.2218290181,0.0590085028,0.9835124398,0.1821201662
7,0.2241501617,0.3259566167,0.1702127147,0.5270737742,0.291683182,1.5390764493,0.3822091824
8,0.1932868915,0.5686294353,0.14184417,0.1057436936,0.2291692454,1.2386734358,0.2740176106
9,0.1179092353,0.3860330007,0.0283690269,0,0.3588611895,0.8911724524,0.1488634813
10,0.1741997069,0.3411336467,0.0283690269,0,0.3263509991,0.8700533796,0.141257347
11,0.2317989237,0.4258577796,0.0283690269,0.0286360771,0.4297910896,1.1444528969,0.2400836361
12,0.2613709177,0.4884504991,0.0283690269,0.50324616,0.1434589752,1.4248955789,0.3410863997
13,0.2417596046,0.4679488137,0,0.4828339082,0.1569888369,1.3495311634,0.3139435476
14,0.3696942077,0.4671169519,0.0851065985,0.0376011257,0.1632180426,1.1227369264,0.2322625262
15,0.4747976694,0.4097535971,0.3404254293,0.15065576,0.2453860543,1.6210185101,0.4117210047
16,0.4817863873,0.4074777416,0.3404254293,0.15065576,0.2457852561,1.6261305743,0.4135621388
17,0.4834612803,0.4303322664,0.3971630009,0.1109437758,0.2453222763,1.6672225997,0.4283616269
18,0.3691822066,0.4833555221,0.2269502862,0.1109437758,0.1242434699,1.3146752606,0.3013900287
19,0.5025981232,0.4140354413,0.3687944562,0.1109437758,0.233925999,1.6302977955,0.4150629834
20,0.5280826107,0.442480343,0.3687944562,0.1193514423,0.2326780177,1.6913868699,0.4370645036
21,0.4708031094,0.4588110667,0.3120568847,0.1422480935,0.2534263213,1.6373454756,0.4176012388
22,0.399191679,0.4431391676,0.2269502862,0.1170250941,0.2974446559,1.4837508828,0.3622834169
23,0.5518351179,0.5082601815,0.3971630009,0.1094440432,0.1960447707,1.7627471142,0.4627652344
24,0.5920251066,0.5200675578,0.3971630009,0.1094440432,0.1865948154,1.8052945239,0.4780888861
25,0.196292283,0.6186277711,0.1985817416,0.0780167294,0.2118798496,1.3033983747,0.2973286047
26,0.1605117046,0.5621701758,0.1985817416,0.0780167294,0.314096516,1.3133768674,0.3009224062
27,0.1664073203,0.6103385971,0.1985817416,0.0780167294,0.3542426314,1.4075870198,0.3348526399
28,0.1046465451,0.5075210682,0.1702127147,0.1101989622,0.5662777053,1.4588569955,0.3533177651
29,0.1166522496,0.4618056523,0.2269502862,0.1101989622,0.4975459577,1.413153108,0.336857293
30,0.1409527092,0.5363817459,0.0851065985,0,0.3505344522,1.1129755058,0.2287469042
31,0.1246763375,0.4696261359,0.3120568847,0.1101989622,0.4494559063,1.4660142266,0.3558954759
32,0.1265309576,0.5110087714,0.3120568847,0.1101989622,0.4129179142,1.4727134901,0.3583082475
33,0.1251409278,0.5088447982,0.3120568847,0.1101989622,0.3885456774,1.4447872503,0.3482504796
34,0.1191737508,0.5011926751,0.3120568847,0.1101989622,0.374158489,1.4167807618,0.3381638098
35,0.1206016105,0.5171667316,0.3120568847,0.1101989622,0.3881163507,1.4481405397,0.3494581827
