id,pressure_index,biodiversity_subindex,surf_subindex,social_subindex,response_index,added_indices,sci
0,0.820461297,0.1587839828,0.1263156578,0,0.227553705,1.3331146426,0.2467059723
1,0.766185879,0.2976751068,0.0842104386,0.0761151961,0.1314674196,1.3556540401,0.2548258272
2,0.6856429199,0.2681639115,0.1263156578,0,0.1400561879,1.2201786771,0.2060206055
3,0.6767545079,0.2810074964,0.1684208771,0,0.1096558966,1.235838778,0.2116621825
4,0.7466035524,0.2211492713,0.0842104386,0.1640042322,0.6054769477,1.8214444422,0.4226275837
5,0.7333234562,0.2737802113,0.0842104386,0.1640042322,0.1003012154,1.3556195537,0.2548134035
6,0.6943075079,0.2796035587,0.1684208771,0.1640042322,0.054891484,1.3612276599,0.2568337329
7,0.726548975,0.3669414657,0.1263156578,0.1003757545,0.1196455758,1.4398274288,0.2851494286
8,0.7265087347,0.4933648101,0.0842104386,0.0782404145,0.1831960494,1.5655204473,0.3304305447
9,0.873182773,0.3473920868,0,0,0.3551432685,1.5757181283,0.334104276
10,0.74219252040000006,0.2580497349,0,0,0.3212151755,1.3214574308,0.2425064426
11,0.6394701319,0.3450402123,0,0.0450499976,0.2808603528,1.3104206946,0.2385304403
12,0.6290706953,0.4203859588,0.0421052193,0.7050091637,0.12815279,1.9247238271,0.4598341515
13,0.6685520196,0.3753093456,0,0.0326582654,0.1519745071,1.2284941377,0.2090162638
14,0.5774487604,0.3945768332,0,0.0305352797,0.1626429836,1.1652038569,0.1862158363
15,0.6520576877,0.3872450379,0.2526317788,0.0712563076,0.2719252457,1.6351160577,0.3555024775
16,0.6376066699,0.3827755694,0.2526317788,0.0712563076,0.2699705285,1.6142408542,0.3479821512
17,0.6752779221,0.4683377699,0.2105260964,0.0712563076,0.1992873139,1.6246854099,0.35174481950000003
18,0.684299493,0.4198345622,0.0842104386,0.0305352797,0.1938768128,1.4127565863,0.2753971132
19,0.5480644386,0.4060020854,0.2526317788,0.0712563076,0.2235864743,1.5015410847,0.3073818744
20,0.8248144995,0.4732157367,0.1263156578,0.0585704416,0.1131622565,1.5960785921,0.3414391665
21,0.4860501529,0.3752906653,0.1684208771,0.0585704416,0.2309674557,1.3192995926,0.2417290779
22,0.6417121081,0.3724322311,0.0842104386,0.0585704416,0.1432534283,1.3001786477,0.2348407261
23,0.28221608,0.3896101812,0.0842104386,0.1093139056,9.588445e-4,0.8663094499,0.0785386359
24,0.2851226483,0.3738763262,0.1684208771,0.1219997716,0.001186571,0.9506061942,0.1089066763
25,0.7857993913,0.5498416207,0.1684208771,0,0.1534434712,1.6575053603,0.3635682605
26,0.8000685967,0.5379988334,0.2105260964,0,0.2099139554,1.7585074819,0.3999544405
27,0.7462127413,0.5679635401,0.1263156578,0,0.1667522269,1.6072441661,0.3454615829
28,0.8479157581,0.5147077365,0.1684208771,0.098703654,0.4244630294,2.0542110551,0.5064821379
29,0.8178050458,0.4533858342,0.1684208771,0.098703654,0.3554753839,1.893790795,0.448690476
30,0.8243653262,0.4822098792,0.0421052193,0,0.2099115245,1.5585919492,0.3279345419
31,0.8113573124,0.479065813,0.1263156578,0.098703654,0.2723606506,1.7878030878,0.4105082306
32,0.8218272184,0.4679709637,0.2105260964,0.098703654,0.2471685849,1.8461965174,0.4315445594
33,0.8298203201,0.4706660231,0.2105260964,0.098703654,0.268939904,1.8786559976,0.4432381404
34,0.8285962053,0.4638114639,0.2105260964,0.098703654,0.2784848713,1.8801222909,0.443766375
35,0.8316128974,0.4819354415,0.2526317788,0.098703654,0.2940190253,1.958902797,0.4721471815
36,0.8170157152,0.4680490273,0.2526317788,0.098703654,0.2170126185,1.8534127938,0.4341442348
37,0.8182232536,0.4843076114,0.1684208771,0.098703654,0.1608076382,1.7304630343,0.3898513823
38,0.8221036569,0.4708902475,0.0421052193,0,0.1475754454,1.4826745691,0.3005851812
39,0.8372243165,0.6002177615,0.0842104386,0.1327888361,0.1936685621,1.8481099148,0.432233864
40,0.7060472061,0.5746922513,0.0842104386,0.8051397344,0.184171212,2.3542608424,0.6145755659
41,0.8802186327,0.4897254367,0.1263156578,0.1327888361,0.2738701638,1.9029187271,0.4519788285
42,0.9456659409,0.5278290722,0,0.1327888361,0.4623909548,2.068674804,0.5116927271
43,0.9247570528,0.2635180933,0.1263156578,0.0980415683,0.6613510385,2.0739834107,0.5136051614
44,0.973324355,0.3335108342,0.1263156578,0.0980415683,0.692552942,2.2237453573,0.5675571483
45,0.9427294702,0.3076678411,0.1263156578,0.0980415683,0.7178734547,2.1926279921,0.5563470665
46,0.5269391746,0.5927020421,0.2105260964,0.1128333053,0.2442117302,1.6872123486,0.3742702518
47,0.5118069154,0.6198869861,0.0842104386,0.1128333053,0.2555989924,1.5843366378,0.3372091082
48,0.493746028,0.6408186486,0.2526317788,0.1128333053,0.464713829,1.9647435897,0.4742513367
49,0.2220461719,0.490919663,0.2947369981,0.1382050373,0.1906530838,1.3365609541,0.2479475117
50,0.2348916489,0.5006832772,0.1263156578,0.8232418016,0.1578126834,1.8429450689,0.4303732198
51,0.223482289,0.5057197611,0.1684208771,0.8612993996,0.1585914926,1.9175138194,0.4572367344
52,0.3350321688,0.5656494208,0.2105260964,0.1255191713,0.1006646895,1.3373915468,0.2482467341
53,0.676769879,0.5282438165,0,0.0351835118,0.0179237134,1.2581209207,0.219689361
54,0.6351667719,0.4162263905,0.1684208771,0.0351835118,0.2107405712,1.4657381225,0.2944837985
55,0.7016853079,0.4999539191,0,0.0351835118,0.0145294211,1.2513521599,0.2172509038
56,0.6218881002,0.2996132554,0.2947369981,0.0351835118,0.3705364057,1.6219582712,0.3507623634
57,0.6513191093,0.3517319961,0.2105260964,0.1061661152,0.2527089219,1.5724522389,0.332927734
58,0.7805044967,0.490741288,0.0421052193,0.0351835118,0.1738829279,1.5224174437,0.314902617
59,0.7475708289,0.2643416244,0.0421052193,0.0602816387,0.2562502129,1.3705495242,0.2601919498
60,0.2711655513,0.494752795,0.1684208771,0.9307474056,0.0535021124,1.9185887414,0.4576239769
61,0.2834923801,0.5000868435,0.1684208771,0.9814908697,0.0480859463,1.9815769167,0.4803155703
62,0.6788564045,0.4116040401,0.2105260964,0.7481603652,0.0561748669,2.1053217731,0.5248948579
63,0.7791945941,0.3950283519,0,0.0217197152,0.2153817229,1.4113243841,0.27488116
64,0.7503747599,0.3487108576,0.0842104386,0.115923734,0.3905403306,1.6897601207,0.3751880909
65,0.7265834005,0.4368011649,0.0842104386,0.115923734,0.2302589185,1.5937776565,0.3406102507
66,0.71748756,0.4671633363,0,0.19203893,0.1122333615,1.4889231878,0.3028362563
67,0.6710124256,0.3996265835,0,0,0.0019959845,1.0726349936,0.1528677515
68,0.7519033232,0.6525897233,0.0421052193,0.0196205338,0.0258109811,1.4920297807,0.3039554115
69,0.7287856849,0.7586563538,0.0421052193,0.0196205338,0.00200891,1.5511767018,0.3252631869
70,0.6893608596,0.7045459638,0,0.1500469776,0.0266815671,1.5706353681,0.3322732033
71,0.5456448811,0.7388191832,0,1,0.0293260329,2.3137900972,0.5999959136
72,0.762828883,0.386309744,0.0421052193,0.0739317816,0.2800844737,1.5452601016,0.3231317219
73,0.7435974706,0.3277641058,0.0842104386,0.0612459156,0.3157834606,1.5326013912,0.3185714008
74,0.7196934159,0.3687239194,0.1263156578,0.0612459156,0.2617743014,1.5377532101,0.320427352
75,0.7213230877,0.3741819284,0.1263156578,0.0612459156,0.2560211476,1.5390877371,0.3209081175
76,0.716785535,0.4683062994,0.0842104386,0.0612459156,0.1600971753,1.4906453639,0.3034566731
77,0.5590940739,0.6447271558,0.2105260964,0.0503373604,0.0434747465,1.508159433,0.3097661452
78,0.5597933214,0.6472107836,0.2105260964,0.0503373604,0.0437320336,1.5115995954,0.3110054694
79,0.5592095086,0.6530629868,0.2105260964,0.0503373604,0.0492377702,1.5223737224,0.3148868663
80,0.5490717647,0.6581143525,0.2105260964,0.0503373604,0.0397977077,1.5078472817,0.3096536922
81,0.537760345,0.666174116,0.2526317788,0.0503373604,0.0377564504,1.5446600506,0.3229155526
82,0.4389976112,0.3538409145,0.0421052193,0.7842747777,0.0590216867,1.6782402094,0.3710380239
83,0.5657937246,0.3789541678,0.0842104386,0.0358086834,0.0182918426,1.083058857,0.1566229653
84,0.6254837836,0.4434538402,0.1263156578,0.0358086834,0.0182232611,1.2492852261,0.2165062875
85,0.5669449256,0.4014946747,0.0842104386,0.0358086834,0.0157252661,1.1041839884,0.1642333286
86,0.5684756035,0.3130898644,0.1263156578,0.0611804154,0.0195326402,1.0885941813,0.158617075
87,0.6686775612,0.3542332471,0.0842104386,0.0611804154,0.0748555506,1.2431572129,0.2142986607
88,0.6778647141,0.3572743781,0.0842104386,0.0358086834,0.0816124368,1.236770651,0.2119978913
89,0.7330382929,0.5312813062,0.0421052193,0.0264588468,0.0957096559,1.4285933211,0.2811023229
90,0.7386418589,0.5990511372,0.0421052193,0.0506529966,0.0881413887,1.5185926007,0.313524711
91,0.8914474107,0.5778210006,0,0.0458412813,0,1.5151096926,0.3122699876
92,0.8775620762,0.4932218812,0,0.0327979623,6.083098e-4,1.4041902295,0.2723110691
93,0.7872450652,0.6547277613,0.2105260964,0.6946238931,0.0473124893,2.3944353053,0.6290484821
94,0.7528456683,0.6743869769,0.2105260964,0.6946238931,0.0716025493,2.403985184,0.6324888416
95,0.6952371262,0.6881115023,0.2105260964,0.6946238931,0.0912810086,2.3797796266,0.6237687498
96,0.6883021762,0.6842013267,0.2105260964,0.6946238931,0.0959234343,2.3735769267,0.621534217
97,0.6748137727,0.6860748943,0.2105260964,0.6946238931,0.0957183516,2.3617570081,0.6172760719
98,0.7938307863,0.3144488249,0,0.0222729948,0.158029116,1.288581722,0.2306629146
99,0.8824383572,0.3104854452,0,0.0222729948,0.1490799083,1.3642767055,0.2579321566
100,0.8637397236,0.4883559361,0.2526317788,0,0.1577067039,1.7624341424,0.4013690264
101,0.8493499019,0.5567256415,0.2526317788,0,0.1853494642,1.8440567864,0.4307737178
102,0.2245598812,0.4086684309,0.1684208771,0.1564573822,0.0429993133,1.0011058847,0.1270992726
103,0.2172484905,0.410061182,0.1684208771,0.1564573822,0.0338542513,0.9860421831,0.1216725494
104,0.233223404,0.4108073303,0.1684208771,0.1564573822,0.0083198534,0.977228847,0.1184975306
105,0.2318556199,0.4057669582,0.1684208771,0.1437715161,0,0.9498149713,0.1086216369
106,0.2534225701,0.4283338435,0.1684208771,0.0676563202,0.0249199649,0.9427535758,0.1060777576
107,0.3553049641,0.5037846144,0.2526317788,0.0549704541,0.0337176136,1.200409425,0.1988987
108,0.3505782556,0.5174908141,0.2526317788,0.0549704541,0.0369248161,1.2125961187,0.2032889764
