id,normalized_terr_rich,normalized_mar_rich,normalized_marine_eco,normalized_terr_pa,normalized_ocean_pa,normalized_tree_cover,added_biodiversity,biodiversity_subindex
9,0.8150347596,0.5028387994,0.20474868,0.0286892956,0,0.386830367,1.9381419016,0.4422212649
10,0.6990073805,0.5638004779,0.3170959902,0.0280506646,0,0.300594542,1.9085490552,0.4310273909
11,0.8755731821,0.7236870931,0.0573178851,0,0,0.3882990237,2.044877184,0.4825952555
12,0.9142255665,0.8062162237,0.1287878292,0,0,0.4501693622,2.2993989816,0.5788713925
13,0.9179011222,0.8066558499,0.0115632544,0,0,0.4331275713,2.1692477978,0.5296400366
14,0.918225606,0.7088082506,0.5168504574,0,0.0655546095,0.2671740597,2.4766129832,0.6459048634
15,0.8971334565,0.7471016015,0.0350038024,0,0.3084087198,0.1045304795,2.0921780597,0.5004874189
16,0.8973735332,0.7467723734,0.0397944973,0,0.2788606969,0.1181355865,2.0809366873,0.4962352255
17,0.9012513547,0.7441368564,0.0338283986,0,0.3557149055,0.1220342416,2.1569657568,0.524994197
18,0.9127751275,0.7152476423,0.4145538014,0,0.2813918986,0.1901001968,2.5140686666,0.6600729564
19,0.9006381356,0.7452493423,0.0532463229,0,0.2655348939,0.1380377703,2.102706465,0.5044699234
20,0.9101050411,0.7271316897,0.1578386134,0,0.3091244966,0.1466702366,2.2508700774,0.5605147116
21,0.8997923086,0.7427629074,0.401694597,0,0.0097401908,0.3217074574,2.3756974612,0.6077322718
22,0.8934041021,0.7437691347,0.343232976,0,0,0.3126633693,2.2930695821,0.5764772159
23,0.9152498993,0.7259743856,0.4978538897,0,0.1497221467,0.3125783562,2.6013786775,0.6930990887
24,0.9209372897,0.7134158752,0.5465194766,0,0.1413202222,0.3344296508,2.6566225145,0.7139957792
25,0.8871912491,0.7147999607,0.7467474424,0,0,0.6489871536,2.9977258058,0.8430224775
26,0.8475887235,0.7124561451,0.4540572194,0,0,0.6355384078,2.6496404958,0.711354741
27,0.911203382,0.7142829142,0.3409442773,0,0,0.7422490931,2.7086796666,0.7336870652
28,0.636235192,0.6142057335,0,0,0,0.8733416349,2.1237825604,0.512442227
29,0.6314839544,0.6028745226,0,0,0,0.7659918641,2.0003503411,0.4657524057
30,0.9491073254,0.5987763866,0.0659194533,0,0,0.6715567677,2.285359933,0.5735609422
31,0.725340574,0.5840505726,0,0,0,0.7171772066,2.0265683532,0.4756697053
32,0.8591115368,0.5742493166,0,0,0,0.7163210107,2.1496818641,0.5222389711
33,0.8698141991,0.5739448381,0,0,0,0.7019732479,2.1457322851,0.5207449921
34,0.8652420164,0.5732483441,0,0,0,0.686547138,2.1250374985,0.5129169234
35,0.8800811009,0.5723468811,0,0,0,0.7155320719,2.1679600539,0.529152931
36,0.8372547163,0.5702549431,0,0,0,0.7028716466,2.110381306,0.5073730305
37,0.8379789812,0.5684971725,0,0,0,0.7268623837,2.1333385374,0.516056898
38,0.8930772826,0.5642666349,0.0816328556,0,0,0.7290009441,2.2679777172,0.5669858959
39,0.8746066115,0.6067405538,0.2460659123,0,0,0.9371417371,2.6645548147,0.7169962735
40,0.8943757851,0.50787841,0.4921318246,0,0,0.8952809145,2.7896669342,0.7643215387
41,0.9521303281,0.4702037327,0.2460659123,0,0,0.6957926812,2.3641926543,0.6033804309
42,0.976024336,0.4272575781,0,0,0.1255043892,0.7518673282,2.2806536315,0.5717807232
43,0,0.2450074528,0,0,0.7435299463,0.4666002557,1.4551376548,0.2595187087
44,0.1258902758,0.2342584569,0,0,0.5335800741,0.6984329458,1.5921617526,0.3113498326
45,0.074151888,0.2358538661,0,0,0.6380942318,0.5812316697,1.5293316556,0.2875835419
46,0.9428982276,0.007813693,0.5440797914,0.2476663376,0.7577567546,0.2684750346,2.7686898388,0.7563866831
47,0.9465998384,-0,0.6026225122,0.1457131713,0.7381575205,0.2605802309,2.6936732733,0.7280107043
48,0.9563877981,0.005817342,0.5307565614,0.4603833143,0.6198976146,0.3302262429,2.9034688733,0.8073685829
49,0.9845691128,0.0281337926,0,0.7203035156,0.599592249,0.2908952748,2.6234939448,0.7014644724
50,0.9958849027,0.0475835988,0,0.6866583236,0.6823475798,0.1565879439,2.5690623488,0.6808750226
51,0.9981209321,0.0456092941,0,0.7470435947,0.62968366,0.1885848157,2.6090422966,0.695997951
52,0.9944575971,0.064707441,0,0.2860863338,0.6246685477,0.3951047083,2.3650246279,0.6036951356
53,0.9711779775,0.1548514763,0,0.6246941129,0.6785576261,0.1481912691,2.5774724619,0.6840562558
54,0.9773281367,0.0886150182,0,0.3116798372,0.4471798709,0.2772448927,2.1020477557,0.5042207581
55,0.9680634476,0.1677142586,0,0.6407379846,0.62507926,0.1294536063,2.5310485571,0.6664958179
56,0.981674634,0.0727876851,0.1230329562,0.1734760238,0.3137606684,0.2585565396,1.9232885071,0.4366027778
57,0.9850482093,0.0722064627,0.3690988685,0.0919851128,0.3638688292,0.1915777369,2.0737852194,0.493530091
58,0.9594655198,0.1423793269,0,0.0119765374,0.6233603591,0.378337952,2.1155196952,0.5093166922
59,0.9218227888,0.1626576496,0.1230329562,0,0,0.0184792224,1.225992617,0.1728416569
60,0.9920554772,0.0804757618,0.4921318246,0,0.5822167702,0.1331604407,2.2800402745,0.5715487131
61,0.9930165511,0.0796978729,0.4921318246,0,0.5709804461,0.1279050856,2.2637317803,0.5653798158
62,0.9534290187,0.1418522688,0,0,0.67161681,0.0900935442,1.8569916417,0.4115251375
63,0.9440646206,0.1654218836,0,0,0.5944410656,0.031159847,1.7350874168,0.3654132996
64,0.8755488021,0.5021366209,0.861230693,0,0.2462046976,0.1150063623,2.6001271759,0.6926256922
65,0.6976366432,0.5280166193,0.861230693,0,0.4547990085,0.0957941428,2.6374771068,0.706753783
66,0.2309856662,0.5641032287,0.861230693,0,0.7681909639,0.0248685217,2.4493790735,0.6356032874
67,0.8686410812,0.4318370331,0.0274842803,0,0.6336912978,0.0375551773,1.9992088697,0.4653206295
68,0.8544678695,0.438390896,0.1623702011,0.3874113011,0.7339893496,0.2276301876,2.8042598049,0.7698414793
69,0.8553410336,0.4413847812,0.1502551857,0.4960663572,0.586613929,0.276645443,2.8063067297,0.7706157549
70,0.8493659799,0.5265413894,0.1290373271,0.6191434824,0.6569360633,0.2139533165,2.9949775586,0.8419829177
71,0.8491285625,0.5971541481,0.1319424476,0.8215822697,0.4272168609,0.3059159956,3.1329402844,0.8941690896
72,0.8393209315,0.7599862931,0.0029051205,0.3533016889,0.4799377004,0.126123069,2.5615748034,0.6780427624
73,0.8388631445,0.7636414656,0.0025125356,0.3804829237,0.3371436703,0.1381793158,2.4608230555,0.6399321205
74,0.8392164275,0.7749473257,0,0.3624508174,0.4048399649,0.1225484394,2.5040029749,0.6562654793
75,0.8390045923,0.775891017,0,0.3527831253,0.4171725264,0.1196122771,2.5044635381,0.6564396932
