id,normalized_terr_rich,normalized_mar_rich,normalized_marine_eco,normalized_terr_pa,normalized_ocean_pa,normalized_tree_cover,added_biodiversity,biodiversity_subindex
9,0.9027237354,0.7222055152,0,0,0,0,1.6249292506,0.241120323
10,0.9027237354,0.6871679773,0,0,0,0,1.5898917127,0.2264301338
11,0.906614786,0.7916642819,0,0,0,0,1.6982790679,0.2718737023
12,0.9105058366,0.8812635245,0.6699527956,0,0,0.1807871179,2.6425092746,0.6677611188
13,0.9241245136,0.921793652,0,0,0,0,1.8459181656,0.3337743495
14,0.906614786,0.8601578533,0,0,0,0,1.7667726393,0.3005910032
15,0.906614786,0.8619204316,0,0,0,0.5931245058,2.3616597234,0.5500093222
16,0.906614786,0.8575155978,0,0,0,0.7015056827,2.4656360665,0.5936034855
17,0.906614786,0.855313181,0,0,0.001635988,0.5705173065,2.3340812615,0.5384465
18,0.906614786,0.8143353543,0,0,0,0.4185594339,2.1395095742,0.456868425
19,0.906614786,0.8487059303,0,0,0,0.6288309978,2.3841517141,0.5594395396
20,0.906614786,0.8487059303,0,0,0.9497900291,0,2.7051107454,0.6940080387
21,0.8949416342,0.8530495087,0,0,0,0.113070558,1.8610617009,0.3401235799
22,0.8949416342,0.8530495087,0,0,0,0.0213375028,1.7693286457,0.3016626601
23,0.9416342412,0.8487059303,0,0,0,0,1.7903401715,0.3104721629
24,0.9416342412,0.8487059303,0,0,0,0,1.7903401715,0.3104721629
25,0.8949416342,0.8530495087,0,0,0,0.4093721752,2.1573633181,0.4643539645
26,0.9338521401,0.8578437776,0,0,0,0.7937155241,2.5854114418,0.6438217094
27,0.9338521401,0.8578437776,0,0,0,0,1.7916959177,0.3110405866
28,0.9027237354,0,0,0,0,0.1674273478,1.0701510832,0.0085184703
29,0.9027237354,0,0,0,0,0.6399331413,1.5426568767,0.2066259832
30,0.9494163424,0.7407151798,4.933119e-4,0,0,0.1752711527,1.8658959868,0.342150451
31,0.9027237354,0.7350986503,0,0,0,0.451064884,2.0888872697,0.4356440104
32,0.9182879377,0.7350986503,0,0,0,0.5423695469,2.1957561349,0.4804509215
33,0.9182879377,0.7350986503,0,0,0,0.6116570257,2.2650436137,0.5095010841
34,0.9182879377,0.7355168352,0,0,0,0.5188621943,2.1726669672,0.4707703257
35,0.9182879377,0.7353077428,0,0,0,0.7536714735,2.407267154,0.5691311505
36,0.9182879377,0.7355168352,0,0,0,0.4667915706,2.1205963435,0.4489386744
37,0.9182879377,0.7355168352,0,0,0,0.4165864819,2.0703912548,0.4278891859
38,0.9208819715,0.7327409513,0,0,0,0.1143022478,1.7679251706,0.3010742251
39,0.9260700389,0.7363690588,0,0,0,0.4169547214,2.0793938191,0.4316636912
40,0.9416342412,0.7137639447,0,0,0,0.151529202,1.8069273879,0.3174266854
41,0.9571984436,0.7004412079,0,0,0,0.5665415761,2.2241812276,0.4923687107
42,0.9688715953,0.6396327053,0,0,0,0.4657973394,2.07430164,0.4295286932
43,0.0778210117,0.4912962912,0,0,0,0.8972516026,1.4663689055,0.1746407241
44,0.0778210117,0.4912962912,0,0,0,0.8244720006,1.3935893035,0.144126419
45,0.0778210117,0.4912962912,0,0,0,0.6094115209,1.1785288238,0.0539580076
46,0.9805447471,0.3697030294,0,0.3367276085,0.2605098397,0.5006412494,2.4481264741,0.5862622384
47,0.9766536965,0.3596821357,0,0.0324343734,0.9390087018,0,2.3077789074,0.5274187115
48,0.9805447471,0.3797239232,0,0.1463419954,0.2270689984,0.8426109821,2.5762906462,0.6399976332
49,0.9805447471,0.3923926106,0,0.1729927428,0.4031672204,0.0805569368,2.0296542577,0.4108093843
50,0.9883268482,0.4050612979,0,0,0.9641681966,0,2.3575563427,0.5482888977
51,0.9883268482,0.4050612979,0,0.1083619507,0.6962802942,0.0114096607,2.2094400517,0.4861881776
52,0.9844357977,0.4154313396,0,0,0.4793328666,0.1018474964,1.9810475003,0.3904300282
53,0.9766536965,0,0,0.5986406384,0.5113379292,0,2.0866322641,0.4346985542
54,0.9844357977,0.3942784557,0,0.5942945739,0.13785721,0.2773071925,2.3881732298,0.5611256405
55,0.9649805447,0,0,0.6925138087,0.4380303096,0,2.095524663,0.4384268704
56,0.9844357977,0.3942784557,0,0,0,0,1.3787142534,0.1378897565
57,0.9844357977,0.3942784557,0,0,0,0,1.3787142534,0.1378897565
58,0.9546044099,0,0,0,0.3727232218,0.127567058,1.4548946897,0.1698299294
59,0.9299610895,0.5036878007,0,0,0,0.0367423946,1.4703912848,0.1763271872
60,0.9922178988,0.4308449009,0,0,0.7326152759,0.2124463068,2.3681243824,0.5527197599
61,0.9922178988,0.4308449009,0,0,0.9653315573,0.0570825357,2.4454768927,0.5851513483
62,0.9494163424,0.4842893021,0,0,0.5882147512,0,2.0219203957,0.4075668079
63,0.9455252918,0.5038064392,0,0,0.5625819933,0.0327604118,2.0446741361,0.417106769
64,0.9182879377,0.7425909293,0,0,0,0.7088157347,2.3696946017,0.5533781058
65,0.9182879377,0.7425909293,0,0,0.3115621802,0.1738859695,2.1463270167,0.4597267742
66,0.4766536965,0.7244797069,0,0,0.0288009667,0.2392563989,1.469190769,0.1758238469
67,0.8949416342,0.6483891857,0,0,0.4321774548,0.0293474585,2.0048557332,0.4004121065
68,0.8715953307,0.7175711318,0,0.559669945,0.2015486275,0.1680250808,2.5184101158,0.6157300622
69,0.8715953307,0.6598493348,0,0.7572996583,0.3920395855,0.1027485643,2.7835324736,0.7268879181
70,0.8638132296,0.6021275378,0,0.7288117238,0.4153541843,0.2799526099,2.8900592854,0.7715514165
71,0.8638132296,0.6021275378,0.0975412559,1,0.1864244095,0,2.7499064328,0.7127895273
72,0.8560311284,0.8433748214,0,0,0,0.4847478764,2.1841538262,0.4755864213
73,0.8579766537,0.8433748214,0,0,0,0.3520636499,2.053415125,0.4207716036
74,0.859922179,0.8433748214,0,0,0,0.0183822311,1.7216792315,0.2816846893
75,0.859922179,0.8433748214,0,0,0,0.0164196169,1.7197166173,0.280861824
76,0.859922179,0.8932737252,0,0.1239031599,0.6584144981,0.0089507708,2.544464333,0.6266538143
77,0.8715953307,0.8932737252,0,0.747535435,0.3946092343,0.0049681706,2.9119818958,0.7807429098
78,0.8715953307,0.8932737252,0,0.8057534477,0.3574759473,0.0019878652,2.9300863161,0.7883335504
79,0.8715953307,0.8932737252,0,0.873886832,0.3033238334,0,2.9420797213,0.7933620256
80,0.8715953307,0.7249776599,0,0.6781167968,0.3422849201,0.0322834139,2.6492581214,0.6705907079
81,0.8715953307,0.7249776599,0,0.5976627886,0.2744326737,0.0978435775,2.5665120304,0.6358977528
82,0.8638132296,0.740986292,0,0,0,0.0059564385,1.6107559601,0.2351778872
83,0.8638132296,0.740986292,0,0,0.0072682156,0.1504903756,1.7625581128,0.2988239786
84,0.8664072633,0.7427650483,0,0,0.829320994,0,2.4384933056,0.5822233396
85,0.8715953307,0.7445438046,0,0,0.6728901119,0.015893373,2.3049226202,0.5262211559
