id,normalized_built_area,normalized_human_mod,normalized_pop_change,normalized_ports,normalized_roads,added_pressure,pressure_index
9,0.0129094509,0.3447867904,0.0030570197,0,0.1535799192,0.5143331802,0.1239601591
10,0.0229832606,0.5116117724,0.0030570197,0,0.2023606194,0.7400126721,0.1822481223
11,0.0165832865,0.6239339662,0.0034872509,0,0.3556247641,0.9996292677,0.24930128
12,0.0133919361,0.6638978681,0.0325635294,0,0.4159708854,1.125824219,0.2818946123
13,0.0100421235,0.659083236,0.0325635294,0,0.3261668798,1.0278557687,0.2565915536
14,0.0328351213,0.8477596816,0.1480276386,0,0.5272271001,1.5558495416,0.3929605313
15,0.0890873633,0.9668747075,0.0560813937,0.380952381,0.4016088126,1.8946046581,0.4804533983
16,0.0929689406,0.9711154045,0.0560813937,0.380952381,0.4262332173,1.9273513371,0.4889111328
17,0.1066246349,0.9500283215,0.0560813937,0.380952381,0.4435706807,1.9372574118,0.4914696502
18,0.0638671675,0.9106953492,0.0560813937,0,0.528205536,1.5588494464,0.3937353396
19,0.1191194249,0.9633041202,0.0560813937,0.380952381,0.5059974475,2.0254547673,0.5142490537
20,0.1328315719,0.956334232,0.0560813937,0.380952381,0.626981595,2.1531811736,0.5472379266
21,0.1095321201,0.8420999278,0.0560813937,0.380952381,0.5208836004,1.909549423,0.4843132967
22,0.0497247065,0.8033300694,0.0560813937,0.3333333333,0.3613748983,1.6038444012,0.4053565297
23,0.159452823,0.9020303904,0.0225082263,0.4285714286,0.7639465151,2.2765093834,0.5790908437
24,0.1659216912,0.8908460815,0.0225082263,0.5238095238,0.8375954172,2.44068094,0.6214926835
25,0.0115181345,0.5526513267,0.0380635704,0,0.226055418,0.8282884496,0.2050477804
26,0.0045973684,0.4853486233,0.0380635704,0,0.1430662405,0.6710758026,0.1644432713
27,0.0091078692,0.4789718579,0.0380635704,0,0.1755792415,0.701722539,0.1723586376
28,0.0028171028,0.3096868045,0.0473881291,0,0.082682726,0.4425747624,0.1054265653
29,0.0034246709,0.347745336,0.0473881291,0,0.0919724448,0.4905305808,0.1178124802
30,0.0357750947,0.3890389294,0.0380635704,0,0.1274784561,0.5903560506,0.1435951655
31,0.0040135031,0.3797312868,0.0473881291,0,0.088996709500000007,0.5201296285,0.125457252
32,0.0045583989,0.3800856137,0.0473881291,0,0.0972924342,0.5293245759,0.1278321011
33,0.0045583989,0.3752235031,0.0473881291,0,0.0967341006,0.5239041317,0.1264321217
34,0.0038558594,0.3566351352,0.0473881291,0,0.0922578165,0.5001369402,0.1202935879
35,0.0045375088,0.3562465597,0.0473881291,0,0.0991607476,0.5073329452,0.122152155
36,0.0031447382,0.3372567743,0.0380635704,0,0.0833636398,0.4618287227,0.1103994325
37,0.0033510383,0.3235053457,0.0380635704,0,0.0857867902,0.4507067446,0.1075268744
38,0.0012800584,0.3462218983,0.0380635704,0,0.0895186572,0.4750841843,0.1138230216
39,0.0014532056,0.3276344193,0,0,0.1320129771,0.461100602,0.1102113752
