id,normalized_heritage,normalized_priority,normalized_wsr,normalized_protected,normalized_bandeira,normalized_ramsar,response_added,response_index
9,0.1121414372,0.072274611,0,0.7313727609,0,0.3881783668,1.3039671759,0.3867717506
10,2.05514e-5,2.20846e-5,0,0.6940251709,0,0.535988281,1.2300560879,0.3648488668
11,0.229979633,0.2019737596,0,0.5966188406,0,0.616753523,1.6453257562,0.4880226548
12,0,0,0,0.3924147572,0,0,0.3924147572,0.116394757
13,0,0,0,0.4294133932,0,0,0.4294133932,0.1273689805
14,0,0.0560686995,0,0.3876511606,0,0,0.4437198601,0.1316124441
15,0,5.92964e-5,0,0.3378399326,0.5,0,0.837899229,0.2485306054
16,0,1.69926e-5,0,0.3389311965,0.5,0,0.8389481891,0.2488417391
17,0,0.0534949307,0,0.2987434364,0.5,0,0.8522383671,0.2527837596
18,0,0.0560145291,0,0.2809871331,0,0,0.3370016622,0.0999585919
19,0,0.0071475068,0,0.3063887923,0.5,0,0.8135362991,0.2413042785
20,0,0.0560234855,0,0.2442341721,0.5,0,0.8002576576,0.2373656798
21,0,0,0,0.3598482764,0.5,0,0.85984827639999994,0.2550409468
22,0,0,0,0.4802476271,0.5,0,0.9802476271,0.2907527871
23,0,0.0456306469,0,0.1626899379,0.5,0,0.7083205848,0.2100960803
24,0,0.0573962956,0,0.1223709273,0.5,0,0.6797672229,0.2016268229
25,0,0.1117469182,0,0.4714837194,0,0,0.5832306376,0.1729929548
26,0,0.2696079603,0,0.6143181733,0,0,0.8839261336,0.2621827178
27,0,0.3862765763,0,0.6151584701,0,0,1.0014350464,0.2970372208
28,0,0.8558770532,0,0.7100886559,0,0,1.5659657091,0.4644835467
29,0,0.7001167158,0,0.6926245862,0,0,1.392741302,0.4131031835
30,0,0.3267333804,0,0.6438077225,0,0,0.9705411029,0.2878737198
31,0,0.5908206894,0,0.6726547714,0,0,1.2634754608,0.3747614394
32,0,0.5157592509,0,0.6358182953,0,0,1.1515775462,0.3415712233
33,0,0.4674904373,0,0.6173851523,0,0,1.0848755896,0.3217866513
34,0,0.4320670157,0,0.6076305517,0,0,1.0396975674,0.3083863272
35,0,0.4661211154,0,0.6082980292,0,0,1.0744191446,0.3186851487
36,0,0.4403724431,0,0.6064418167,0,0,1.0468142598,0.3104972205
37,0,0.444424393,0,0.5867083519,0,0,1.0311327449,0.3058459018
38,0,0.3167631137,0,0.5989083285,0,0,0.9156714422,0.2715987436
39,0,0.6733416951,0,0.5645774254,0,0,1.2379191205,0.3671811332
40,0,0.6479061107,0,0.5491619395,0,0,1.1970680502,0.3550642331
41,0,0.5654269937,0,0.6370614593,0,0,1.202488453,0.3566719873
42,0,0.6858240411,0,0.8865421488,0,0,1.5723661899,0.4663820034
43,0,0.6626149146,0,0.5274830732,0,0,1.1900979878,0.352996832
44,0,0.9122195899,0,0.7682832301,0,0,1.68050282,0.4984565789
45,0,0.7999065636,0,0.6455814899,0,0,1.4454880535,0.4287484802
46,0,0.3479036636,0,0.3262295253,0.5,0,1.1741331889,0.3482614879
47,0,0.3376387051,0,0.3712147462,0.5,0,1.2088534513,0.3585599194
48,0,0.3804395934,0,0.3496338214,0.5,0,1.2300734148,0.3648540061
49,0,0.2596923411,0,0.2116749912,1,0,1.4713673323,0.4364245737
50,0,0.0644747998,0,0.0778308125,0.5,0,0.6423056123,0.1905152757
