id,normalized_employment,normalized_hotels,normalized_airports,social_added,social_subindex
9,0,0,0,0,0
10,0,0,0,0,0
11,0,0.0416666667,0,0.0416666667,0.0180919277
12,0.0932235505,0,1,1.0932235505,0.4746845146
13,0.0932235505,0,1,1.0932235505,0.4746845146
14,0.0871634533,0,0,0.0871634533,0.0378469175
15,0.1671902795,0.1666666667,0,0.3338569462,0.1449627776
16,0.1671902795,0.1666666667,0,0.3338569462,0.1449627776
17,0.1671902795,0.1666666667,0,0.3338569462,0.1449627776
18,0.1671902795,0.1666666667,0,0.3338569462,0.1449627776
19,0.1671902795,0.1666666667,0,0.3338569462,0.1449627776
20,0.1671902795,0.2083333333,0,0.3755236128,0.1630547053
21,0.1671902795,0.125,0,0.2921902795,0.1268708499
22,0.1671902795,0,0,0.1671902795,0.0725950668
23,0.0634272999,0.2083333333,0,0.2717606332,0.1180001695
24,0.0634272999,0.2083333333,0,0.2717606332,0.1180001695
25,0,0,0,0,0
26,0,0,0,0,0
27,0,0,0,0,0
28,0.2215317747,0,0,0.2215317747,0.0961904845
29,0.2215317747,0,0,0.2215317747,0.0961904845
30,0,0,0,0,0
31,0.2215317747,0,0,0.2215317747,0.0961904845
32,0.2215317747,0,0,0.2215317747,0.0961904845
33,0.2215317747,0,0,0.2215317747,0.0961904845
34,0.2215317747,0,0,0.2215317747,0.0961904845
35,0.2215317747,0,0,0.2215317747,0.0961904845
36,0,0,0,0,0
37,0,0,0,0,0
38,0,0,0,0,0
39,0,0,0,0,0
40,0.032189153,0,1,1.032189153,0.4481829969
41,0.032189153,0,1,1.032189153,0.4481829969
42,0.4346892848,0,0,0.4346892848,0.1887448108
43,0.2798612537,0,0,0.2798612537,0.1215175097
44,0.2798612537,0,0,0.2798612537,0.1215175097
45,0.2798612537,0,0,0.2798612537,0.1215175097
46,0.3220845078,0.0416666667,0,0.3637511745,0.1579430389
47,0.1112081668,0,0,0.1112081668,0.0482872827
48,0.3220845078,0.0416666667,0,0.3637511745,0.1579430389
49,0.3220845078,0.3333333333,1,1.6554178411,0.7187927978
50,0.3220845078,0.3333333333,1,1.6554178411,0.7187927978
51,0.3220845078,0.3333333333,1,1.6554178411,0.7187927978
52,0.3220845078,0.3333333333,0,0.6554178411,0.2845865328
53,0.1004319076,0,0,0.1004319076,0.0436081635
54,0.1004319076,0,0,0.1004319076,0.0436081635
55,0.1004319076,0,1,1.1004319076,0.4778144285
56,0.1004319076,0,0,0.1004319076,0.0436081635
57,0.1004319076,0.0833333333,0,0.1837652409,0.0797920189
58,0.1004319076,0,0,0.1004319076,0.0436081635
59,0.1720749195,0,0,0.1720749195,0.0747160081
60,0.3030529052,1,1,2.3030529052,1
61,0.3030529052,1,1,2.3030529052,1
62,0.2163993582,0,1,1.2163993582,0.528168222
63,0.0619992809,0,0,0.0619992809,0.0269204762
64,0.3309061868,0.125,0,0.4559061868,0.1979573225
65,0.3309061868,0.2916666667,0,0.6225728535,0.2703250334
66,0.3309061868,0.25,0,0.5809061868,0.2522331057
67,0,0,0,0,0
68,0.0560071332,0,0,0.0560071332,0.0243186481
69,0.0560071332,0,0,0.0560071332,0.0243186481
70,0.0560071332,0.875,1,1.9310071332,0.8384553949
71,0.1748274636,0.9166666667,1,2.0914941303,0.9081398545
72,0.1748274636,0.125,1,1.2998274636,0.5643932281
73,0.1748274636,0,0,0.1748274636,0.07591118
74,0.1748274636,0,0,0.1748274636,0.07591118
75,0.1748274636,0,0,0.1748274636,0.07591118
76,0.1748274636,0,0,0.1748274636,0.07591118
77,0.0580595541,0.0833333333,0,0.1413928874,0.0613936775
78,0.0580595541,0.0833333333,0,0.1413928874,0.0613936775
79,0.0580595541,0.125,0,0.1830595541,0.0794856053
80,0.0580595541,0.125,0,0.1830595541,0.0794856053
81,0.0580595541,0.125,0,0.1830595541,0.0794856053
82,0.0580595541,0.4583333333,1,1.5163928874,0.6584272919
83,0.10221647,0.2916666667,1,1.3938831367,0.6052327906
84,0.10221647,0.25,0,0.35221647,0.1529345979
85,0.10221647,0.0833333333,0,0.1855498033,0.0805668871
86,0.10221647,0.0833333333,0,0.1855498033,0.0805668871
87,0.0393151981,0.125,0,0.1643151981,0.0713466884
88,0.0393151981,0.125,0,0.1643151981,0.0713466884
89,0.1083777928,0.0416666667,0,0.1500444595,0.0651502443
90,0.1083777928,0.0416666667,0,0.1500444595,0.0651502443
91,0.1308546841,0,0,0.1308546841,0.0568179236
92,0.0936223175,0,0,0.0936223175,0.0406513968
329,0,0.0416666667,0,0.0416666667,0.0180919277
330,0,0,0,0,0
332,0.1671902795,0.1666666667,0,0.3338569462,0.1449627776
333,0.1671902795,0.1666666667,0,0.3338569462,0.1449627776
334,0.1671902795,0.1666666667,0,0.3338569462,0.1449627776
335,0.0634272999,0.2083333333,0,0.2717606332,0.1180001695
336,0.0634272999,0.2083333333,0,0.2717606332,0.1180001695
337,0.0634272999,0.2083333333,0,0.2717606332,0.1180001695
338,0,0,0,0,0
339,1.000000003,0,0,1.000000003,0.4342062663
340,0,0,0,0,0
341,0,0,0,0,0
342,0,0,0,0,0
343,0,0,0,0,0
344,1.000000003,0,0,1.000000003,0.4342062663
345,0,0,0,0,0
346,0.2215317747,0,0,0.2215317747,0.0961904845
347,0.2215317747,0,0,0.2215317747,0.0961904845
348,0,0,0,0,0
349,0.2215317747,0,0,0.2215317747,0.0961904845
350,0,0,0,0,0
351,0.2215317747,0,0,0.2215317747,0.0961904845
352,0.2215317747,0,0,0.2215317747,0.0961904845
353,0.2215317747,0,0,0.2215317747,0.0961904845
354,0,0,0,0,0
355,0,0,0,0,0
356,0.2215317747,0.1666666667,0,0.3881984414,0.1685581953
357,0.2215317747,0.1666666667,0,0.3881984414,0.1685581953
358,0.2215317747,0.1666666667,0,0.3881984414,0.1685581953
359,0.2215317747,0,0,0.2215317747,0.0961904845
360,0.3790478954,0,0,0.3790478954,0.1645849709
361,0.3790478954,0,1,1.3790478954,0.5987912359
362,0.3790478954,0,1,1.3790478954,0.5987912359
363,0.3790478954,0,1,1.3790478954,0.5987912359
364,0.3790478954,0,1,1.3790478954,0.5987912359
365,0.3790478954,0,1,1.3790478954,0.5987912359
366,0.032189153,0,1,1.032189153,0.4481829969
367,0.032189153,0,1,1.032189153,0.4481829969
368,0.3790478954,0,0,0.3790478954,0.1645849709
369,0.4346892848,0,0,0.4346892848,0.1887448108
370,0.4346892848,0,0,0.4346892848,0.1887448108
371,0.4346892848,0,0,0.4346892848,0.1887448108
372,0.4346892848,0,0,0.4346892848,0.1887448108
373,0.2798612537,0,0,0.2798612537,0.1215175097
374,0.2798612537,0,0,0.2798612537,0.1215175097
375,0.3220845078,0,0,0.3220845078,0.1398511111
376,0.2798612537,0.0416666667,0,0.3215279204,0.1396094374
377,0.3220845078,0.0416666667,0,0.3637511745,0.1579430389
378,0.3220845078,0.0833333333,0,0.4054178411,0.1760349665
379,0.3220845078,0.125,0,0.4470845078,0.1941268943
380,0.3220845078,0.2083333333,0,0.5304178411,0.2303107497
381,0.3220845078,0.2083333333,0,0.5304178411,0.2303107497
382,0.3220845078,0.2083333333,0,0.5304178411,0.2303107497
383,0.3220845078,0.1666666667,0,0.4887511745,0.212218822
384,0.3220845078,0.2083333333,0,0.5304178411,0.2303107497
385,0.2798612537,0.0416666667,0,0.3215279204,0.1396094374
386,0.3220845078,0.25,0,0.5720845078,0.2484026774
387,0.3220845078,0.25,1,1.5720845078,0.6826089424
388,0.3220845078,0.25,1,1.5720845078,0.6826089424
389,0.3220845078,0.125,1,1.4470845078,0.6283331592
390,0.3220845078,0.1666666667,1,1.4887511745,0.646425087
391,0.3220845078,0.3333333333,1,1.6554178411,0.7187927978
392,0.3220845078,0.5416666667,0,0.8637511745,0.3750461713
393,0.3220845078,0.625,0,0.9470845078,0.4112300267
394,0.3220845078,0.75,0,1.0720845078,0.4655058099
395,0.3030529052,0.9166666667,1,2.2197195719,0.9638161446
396,0.3030529052,0.9166666667,1,2.2197195719,0.9638161446
397,0.3220845078,0.7916666667,1,2.1137511745,0.9178040026
398,0.3030529052,0.9166666667,1,2.2197195719,0.9638161446
399,0.3030529052,0.9166666667,1,2.2197195719,0.9638161446
400,0.3030529052,0.9166666667,1,2.2197195719,0.9638161446
401,0.3030529052,0.9166666667,1,2.2197195719,0.9638161446
402,0.1720749195,0,1,1.1720749195,0.5089222731
403,0.1004319076,0,0,0.1004319076,0.0436081635
404,0.1720749195,0,1,1.1720749195,0.5089222731
405,0.1004319076,0,0,0.1004319076,0.0436081635
406,0.1004319076,0,0,0.1004319076,0.0436081635
407,0.1004319076,0,0,0.1004319076,0.0436081635
408,0.3030529052,1,1,2.3030529052,1
409,0.1004319076,0,0,0.1004319076,0.0436081635
410,0.1004319076,0.4166666667,1,1.5170985743,0.6587337055
411,0.1720749195,0,0,0.1720749195,0.0747160081
412,0.0619992809,0,1,1.0619992809,0.4611267412
413,0.1720749195,0,1,1.1720749195,0.5089222731
414,0.2163993582,0,1,1.2163993582,0.528168222
415,0.2163993582,0,1,1.2163993582,0.528168222
416,0.2163993582,0,1,1.2163993582,0.528168222
417,0.2163993582,0,1,1.2163993582,0.528168222
418,0.1720749195,0.0416666667,1,1.2137415862,0.5270142008
419,0.3030529052,1,1,2.3030529052,1
420,0.3030529052,0.8333333333,1,2.1363862385,0.9276322892
421,0.3030529052,0.75,1,2.0530529052,0.8914484338
422,0.3309061868,0.0416666667,0,0.3725728535,0.1617734671
423,0.3309061868,0.0416666667,1,1.3725728535,0.5959797321
424,0.3309061868,0.0416666667,0,0.3725728535,0.1617734671
425,0.3309061868,0.25,0,0.5809061868,0.2522331057
426,0.3309061868,0.0833333333,0,0.4142395201,0.1798653948
427,0.1541022839,0,0,0.1541022839,0.0669121771
428,0.0899474051,0.125,0,0.2149474051,0.0933315099
429,0.1796971832,0.0416666667,1,1.2213638499,0.5303238354
430,0.1796971832,0.0416666667,1,1.2213638499,0.5303238354
431,0,0,0,0,0
432,0.1748274636,0.9166666667,1,2.0914941303,0.9081398545
433,0.0580595541,0.3333333333,0,0.3913928874,0.1699452438
434,0.0580595541,0.3333333333,0,0.3913928874,0.1699452438
435,0.0580595541,0.3333333333,0,0.3913928874,0.1699452438
436,0.0580595541,0.4583333333,0,0.5163928874,0.2242210269
437,0.0580595541,0.625,0,0.6830595541,0.2965887377
438,0.0580595541,0.6666666667,1,1.7247262208,0.7488869304
439,0.0580595541,0.5,1,1.5580595541,0.6765192196
440,0.10221647,0.2083333333,1,1.3105498033,0.5690489352
441,0.10221647,0.0833333333,0,0.1855498033,0.0805668871
442,0.0393151981,0.0833333333,0,0.1226485314,0.0532547607
443,0.1083777928,0,0,0.1083777928,0.0470583166
444,0,0,1,1,0.434206265
519,0,0,0,0,0
520,0.0932235505,0.0416666667,1,1.1348902172,0.4927764424
521,0.2817511881,0,0,0.2817511881,0.122338131
522,0,0,0,0,0
523,0.2215317747,0,0,0.2215317747,0.0961904845
524,0,0,0,0,0
525,0,0,0,0,0
526,0.3790478954,0,1,1.3790478954,0.5987912359
527,0.2798612537,0,0,0.2798612537,0.1215175097
528,0.3220845078,0.0416666667,0,0.3637511745,0.1579430389
529,0.3220845078,0.0833333333,0,0.4054178411,0.1760349665
530,0.3220845078,0.3333333333,1,1.6554178411,0.7187927978
531,0.3220845078,0.3333333333,1,1.6554178411,0.7187927978
532,0.2798612537,0.0416666667,0,0.3215279204,0.1396094374
533,0.3030529052,0.7916666667,1,2.0947195719,0.9095403615
534,0.1004319076,0.0416666667,0,0.1420985743,0.0617000912
535,0,0,0,0,0
536,0.0580595541,0.125,0,0.1830595541,0.0794856053
