id,normalized_employment,normalized_hotels,normalized_airports,social_added,social_subindex
9,0,0,0,0,0
10,0,0,0,0,0
11,0.0923839409,0.0476190476,0,0.1400029885,0.0643742967
12,0.0932235505,0,1,1.0932235505,0.5026713929
13,0.0932235505,0,0,0.0932235505,0.0428648029
14,0.0871634533,0,0,0.0871634533,0.0400783302
15,0.1671902795,0.0476190476,0,0.2148093271,0.0987707442
16,0.1671902795,0.0476190476,0,0.2148093271,0.0987707442
17,0.1671902795,0.0476190476,0,0.2148093271,0.0987707442
18,0.0871634533,0,0,0.0871634533,0.0400783302
19,0.1671902795,0.0476190476,0,0.2148093271,0.0987707442
20,0.1671902795,0,0,0.1671902795,0.0768751923
21,0.1671902795,0,0,0.1671902795,0.0768751923
22,0.1671902795,0,0,0.1671902795,0.0768751923
23,0.1671902795,0.1904761905,0,0.35766647,0.1644573999
24,0.1671902795,0.2380952381,0,0.4052855176,0.1863529518
25,0,0,0,0,0
26,0,0,0,0,0
27,0,0,0,0,0
28,0.2817511881,0,0,0.2817511881,0.129551053
29,0.2817511881,0,0,0.2817511881,0.129551053
30,0,0,0,0,0
31,0.2817511881,0,0,0.2817511881,0.129551053
32,0.2817511881,0,0,0.2817511881,0.129551053
33,0.2817511881,0,0,0.2817511881,0.129551053
34,0.2817511881,0,0,0.2817511881,0.129551053
35,0.2817511881,0,0,0.2817511881,0.129551053
36,0.2817511881,0,0,0.2817511881,0.129551053
37,0.2817511881,0,0,0.2817511881,0.129551053
38,0,0,0,0,0
39,0.3790478954,0,0,0.3790478954,0.1742887203
40,0.3790478954,0,1,1.3790478954,0.6340953103
41,0.3790478954,0,0,0.3790478954,0.1742887203
42,0.3790478954,0,0,0.3790478954,0.1742887203
43,0.2798612537,0,0,0.2798612537,0.1286820488
44,0.2798612537,0,0,0.2798612537,0.1286820488
45,0.2798612537,0,0,0.2798612537,0.1286820488
46,0.3220845078,0,0,0.3220845078,0.1480965792
47,0.3220845078,0,0,0.3220845078,0.1480965792
48,0.3220845078,0,0,0.3220845078,0.1480965792
49,0.3220845078,0.0952380952,0,0.417322603,0.191887683
50,0.3220845078,0.1428571429,1,1.4649416507,0.673589825
51,0.3220845078,0.2857142857,1,1.6077987935,0.7392764807
52,0.3220845078,0.0476190476,0,0.3697035554,0.1699921311
53,0.1004319076,0,0,0.1004319076,0.046179253
54,0.1004319076,0,0,0.1004319076,0.046179253
55,0.1004319076,0,0,0.1004319076,0.046179253
56,0.1004319076,0,0,0.1004319076,0.046179253
57,0.3030529052,0,0,0.3030529052,0.1393457229
58,0.1004319076,0,0,0.1004319076,0.046179253
59,0.1720749195,0,0,0.1720749195,0.079121182
60,0.3030529052,0.5714285714,1,1.8744814766,0.8618989359
61,0.3030529052,0.7619047619,1,2.0649576671,0.9494811435
62,0.2163993582,0,1,1.2163993582,0.559308441
63,0.0619992809,0,0,0.0619992809,0.0285076779
64,0.3309061868,0,0,0.3309061868,0.1521528454
65,0.3309061868,0,0,0.3309061868,0.1521528454
66,0.3309061868,0.2857142857,0,0.6166204725,0.2835261568
67,0,0,0,0,0
68,0.0560071332,0,0,0.0560071332,0.0257524489
69,0.0560071332,0,0,0.0560071332,0.0257524489
70,0.1748274636,0.3333333333,0,0.5081607969,0.2336556832
71,0.1748274636,1,1,2.1748274636,1
72,0.1748274636,0.0476190476,0,0.2224465112,0.1022823718
73,0.1748274636,0,0,0.1748274636,0.0803868199
74,0.1748274636,0,0,0.1748274636,0.0803868199
75,0.1748274636,0,0,0.1748274636,0.0803868199
76,0.1748274636,0,0,0.1748274636,0.0803868199
77,0.1436888151,0,0,0.1436888151,0.0660690641
78,0.1436888151,0,0,0.1436888151,0.0660690641
79,0.1436888151,0,0,0.1436888151,0.0660690641
80,0.1436888151,0,0,0.1436888151,0.0660690641
81,0.1436888151,0,0,0.1436888151,0.0660690641
82,0.10221647,0.2857142857,1,1.3879307557,0.638179708
83,0.10221647,0,0,0.10221647,0.0469998065
84,0.10221647,0,0,0.10221647,0.0469998065
85,0.10221647,0,0,0.10221647,0.0469998065
86,0.10221647,0.0952380952,0,0.1974545652,0.0907909103
87,0.10221647,0.0952380952,0,0.1974545652,0.0907909103
88,0.10221647,0,0,0.10221647,0.0469998065
89,0.0393151981,0.0476190476,0,0.0869342457,0.0399729391
90,0.1083777928,0.0476190476,0,0.1559968404,0.0717283752
91,0.1308546841,0,0,0.1308546841,0.0601678461
92,0.0936223175,0,0,0.0936223175,0.0430481586
329,0.0923839409,0,0,0.0923839409,0.0424787448
330,0,0,0,0,0
332,0.1671902795,0.0476190476,0,0.2148093271,0.0987707442
333,0.1671902795,0.0476190476,0,0.2148093271,0.0987707442
334,0.1671902795,0.0476190476,0,0.2148093271,0.0987707442
335,0.0871634533,0.1428571429,0,0.2300205962,0.105764986
336,0.0871634533,0.1904761905,0,0.2776396438,0.1276605379
337,0.1671902795,0.1904761905,0,0.35766647,0.1644573999
338,0.1671902795,0,0,0.1671902795,0.0768751923
339,1.000000003,0,0,1.000000003,0.4598065914
340,0,0,0,0,0
341,0,0,0,0,0
342,0,0,0,0,0
343,0,0,0,0,0
344,1.000000003,0,0,1.000000003,0.4598065914
345,0,0,0,0,0
346,0.2817511881,0,0,0.2817511881,0.129551053
347,0.2817511881,0,0,0.2817511881,0.129551053
348,0,0,0,0,0
349,0.2817511881,0,0,0.2817511881,0.129551053
350,0,0,0,0,0
351,0.2817511881,0,0,0.2817511881,0.129551053
352,0.2817511881,0,0,0.2817511881,0.129551053
353,0.2817511881,0,0,0.2817511881,0.129551053
354,0,0,0,0,0
355,0.2817511881,0,0,0.2817511881,0.129551053
356,0.2215317747,0,0,0.2215317747,0.1018617699
357,0.2215317747,0,0,0.2215317747,0.1018617699
358,0.2215317747,0,0,0.2215317747,0.1018617699
359,0.3790478954,0,0,0.3790478954,0.1742887203
360,0.3790478954,0,0,0.3790478954,0.1742887203
361,0.3790478954,0,0,0.3790478954,0.1742887203
362,0.3790478954,0,1,1.3790478954,0.6340953103
363,0.3790478954,0,1,1.3790478954,0.6340953103
364,0.3790478954,0,1,1.3790478954,0.6340953103
365,0.3790478954,0,0,0.3790478954,0.1742887203
366,0.3790478954,0,0,0.3790478954,0.1742887203
367,0.3790478954,0,0,0.3790478954,0.1742887203
368,0.3790478954,0,0,0.3790478954,0.1742887203
369,0.4346892848,0,0,0.4346892848,0.1998729978
370,0.4346892848,0,0,0.4346892848,0.1998729978
371,0.4346892848,0,0,0.4346892848,0.1998729978
372,0.4346892848,0,0,0.4346892848,0.1998729978
373,0.2798612537,0,0,0.2798612537,0.1286820488
374,0.2798612537,0,0,0.2798612537,0.1286820488
375,0.3220845078,0,0,0.3220845078,0.1480965792
376,0.2798612537,0,0,0.2798612537,0.1286820488
377,0.3220845078,0,0,0.3220845078,0.1480965792
378,0.3220845078,0.0476190476,0,0.3697035554,0.1699921311
379,0.3220845078,0.0476190476,0,0.3697035554,0.1699921311
380,0.3220845078,0.0476190476,0,0.3697035554,0.1699921311
381,0.3220845078,0.0476190476,0,0.3697035554,0.1699921311
382,0.3220845078,0.0476190476,0,0.3697035554,0.1699921311
383,0.3220845078,0.0476190476,0,0.3697035554,0.1699921311
384,0.3220845078,0.0476190476,0,0.3697035554,0.1699921311
385,0.2798612537,0.0476190476,0,0.3274803013,0.1505776007
386,0.3220845078,0.0476190476,0,0.3697035554,0.1699921311
387,0.3220845078,0.0476190476,0,0.3697035554,0.1699921311
388,0.3220845078,0.0952380952,0,0.417322603,0.191887683
389,0.3220845078,0.0952380952,0,0.417322603,0.191887683
390,0.3220845078,0.0952380952,0,0.417322603,0.191887683
391,0.3220845078,0.2380952381,1,1.5601797459,0.7173809288
392,0.3220845078,0,0,0.3220845078,0.1480965792
393,0.3220845078,0.1904761905,0,0.5125606983,0.2356787869
394,0.3220845078,0.2857142857,0,0.6077987935,0.2794698907
395,0.3220845078,0.5714285714,0,0.8935130792,0.4108432021
396,0.3220845078,0.5714285714,0,0.8935130792,0.4108432021
397,0.3220845078,0.2857142857,0,0.6077987935,0.2794698907
398,0.3220845078,0.5714285714,0,0.8935130792,0.4108432021
399,0.3220845078,0.6666666667,0,0.9887511745,0.454634306
400,0.3220845078,0.6666666667,0,0.9887511745,0.454634306
401,0.3220845078,0.6666666667,0,0.9887511745,0.454634306
402,0.1720749195,0,0,0.1720749195,0.079121182
403,0.1004319076,0,0,0.1004319076,0.046179253
404,0.1720749195,0,0,0.1720749195,0.079121182
405,0.1004319076,0,0,0.1004319076,0.046179253
406,0.1004319076,0,0,0.1004319076,0.046179253
407,0.1004319076,0,0,0.1004319076,0.046179253
408,0.3030529052,0.7619047619,0,1.0649576671,0.4896745535
409,0.1004319076,0,0,0.1004319076,0.046179253
410,0.3030529052,0,0,0.3030529052,0.1393457229
411,0.1720749195,0,0,0.1720749195,0.079121182
412,0.2163993582,0,0,0.2163993582,0.099501851
413,0.1720749195,0,0,0.1720749195,0.079121182
414,0.2163993582,0,1,1.2163993582,0.559308441
415,0.2163993582,0,1,1.2163993582,0.559308441
416,0.2163993582,0,1,1.2163993582,0.559308441
417,0.2163993582,0,1,1.2163993582,0.559308441
418,0.1720749195,0,1,1.1720749195,0.538927772
419,0.3030529052,0.7619047619,1,2.0649576671,0.9494811435
420,0.3030529052,0.0476190476,0,0.3506719528,0.1612412748
421,0.3030529052,0.0476190476,0,0.3506719528,0.1612412748
422,0.1541022839,0.0476190476,0,0.2017213315,0.0927527976
423,0.1541022839,0.0476190476,0,0.2017213315,0.0927527976
424,0.3309061868,0.0476190476,0,0.3785252344,0.1740483973
425,0.3309061868,0.2857142857,0,0.6166204725,0.2835261568
426,0.3309061868,0,0,0.3309061868,0.1521528454
427,0.1541022839,0,0,0.1541022839,0.0708572457
428,0.1440962319,0.0952380952,0,0.2393343271,0.1100475008
429,0.1796971832,0.0476190476,0,0.2273162308,0.1045215009
430,0.1796971832,0.0476190476,0,0.2273162308,0.1045215009
431,0.0536544043,0,0,0.0536544043,0.0246706487
432,0.1748274636,0.0476190476,0,0.2224465112,0.1022823718
433,0.1436888151,0.1428571429,0,0.286545958,0.1317557198
434,0.1436888151,0.1428571429,0,0.286545958,0.1317557198
435,0.1436888151,0.1904761905,0,0.3341650056,0.1536512717
436,0.1436888151,0.2380952381,0,0.3817840532,0.1755468236
437,0.1436888151,0.2857142857,0,0.4294031008,0.1974423755
438,0.1436888151,0.3333333333,0,0.4770221484,0.2193379274
439,0.10221647,0.4285714286,1,1.5307878986,0.7038663638
440,0.10221647,0,0,0.10221647,0.0469998065
441,0.10221647,0.0952380952,0,0.1974545652,0.0907909103
442,0.10221647,0.0952380952,0,0.1974545652,0.0907909103
443,0.1308546841,0,0,0.1308546841,0.0601678461
444,0,0,0,0,0
519,0,0,0,0,0
520,0.0932235505,0,0,0.0932235505,0.0428648029
521,0.2817511881,0,0,0.2817511881,0.129551053
522,0,0,0,0,0
523,0.2817511881,0,0,0.2817511881,0.129551053
524,0,0,0,0,0
525,0.2817511881,0,0,0.2817511881,0.129551053
526,0.3790478954,0,0,0.3790478954,0.1742887203
527,0.2798612537,0,0,0.2798612537,0.1286820488
528,0.3220845078,0,0,0.3220845078,0.1480965792
529,0.3220845078,0.0476190476,0,0.3697035554,0.1699921311
530,0.3220845078,0.0952380952,0,0.417322603,0.191887683
531,0.3220845078,0.1904761905,1,1.5125606983,0.6954853769
532,0.2798612537,0,0,0.2798612537,0.1286820488
533,0.3220845078,0.5714285714,0,0.8935130792,0.4108432021
534,0.3030529052,0,0,0.3030529052,0.1393457229
535,0,0,0,0,0
536,0.1436888151,0,0,0.1436888151,0.0660690641
