id,region,join_count,numerical_direction,numerical_frequency,numerical_experience,numerical_quality,normalized_clusters,normalized_direction,normalized_frequency,normalized_experience,normalized_quality,weighted_surf,surf_subindex
9,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
10,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
11,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
12,Sudeste,2,1,1,1,1,0.090909,0,0,1,0,0.590909,0.0421052193
13,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
14,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
15,Sudeste,7,1,1,1,1,0.545455,0,0,1,0,1.045455,0.2526317788
16,Sudeste,7,1,1,1,1,0.545455,0,0,1,0,1.045455,0.2526317788
17,Sudeste,6,1,1,1,1,0.454545,0,0,1,0,0.954545,0.2105260964
18,Sudeste,3,1,1,1,1,0.181818,0,0,1,0,0.681818,0.0842104386
19,Sudeste,7,1,1,1,1,0.545455,0,0,1,0,1.045455,0.2526317788
20,Sudeste,4,1,1,1,1,0.272727,0,0,1,0,0.7727269999999999,0.1263156578
21,Sudeste,5,1,1,1,1,0.363636,0,0,1,0,0.8636360000000001,0.1684208771
22,Sudeste,3,1,1,1,1,0.181818,0,0,1,0,0.681818,0.0842104386
23,Sudeste,3,1,1,1,1,0.181818,0,0,1,0,0.681818,0.0842104386
24,Sudeste,5,1,1,1,1,0.363636,0,0,1,0,0.8636360000000001,0.1684208771
25,Sudeste,5,1,1,1,1,0.363636,0,0,1,0,0.8636360000000001,0.1684208771
26,Sudeste,6,1,1,1,1,0.454545,0,0,1,0,0.954545,0.2105260964
27,Sudeste,4,1,1,1,1,0.272727,0,0,1,0,0.7727269999999999,0.1263156578
28,Sudeste,5,1,1,1,1,0.363636,0,0,1,0,0.8636360000000001,0.1684208771
29,Sudeste,5,1,1,1,1,0.363636,0,0,1,0,0.8636360000000001,0.1684208771
30,Sudeste,2,1,1,1,1,0.090909,0,0,1,0,0.590909,0.0421052193
