id,pressure_index,biodiversity_subindex,surf_subindex,social_subindex,climate_index,response_index,added_indices,sci
9,0.1239601591,0.4422212649,0.0283690269,0,0.123953117,0.3713878671,1.089891435,0.1513857692
10,0.1822481223,0.4310273909,0.0283690269,0,0.2763053601,0.3684902799,1.2864401801,0.2101743668
11,0.24930128,0.4825952555,0.0283690269,0.0379917954,0.4183735879,0.4798957832,1.6965267289,0.3328330645
12,0.2818946123,0.5788713925,0.0283690269,0.4727312739,0.4109684803,0.1175596451,1.890394431,0.3908197503
13,0.2565915536,0.5296400366,0,0.4525754293,0.3322985072,0.1286468966,1.6997524233,0.3337978839
14,0.3929605313,0.6459048634,0.0851065985,0.0371288016,0.5812163268,0.1337515142,1.8760686358,0.3865348417
15,0.4804533983,0.5004874189,0.3404254293,0.1876250216,0.312796225,0.2510173801,2.0728048732,0.4453795191
16,0.4889111328,0.4962352255,0.3404254293,0.1876250216,0.3136414293,0.2513445121,2.0781827506,0.446988066
17,0.4914696502,0.524994197,0.3971630009,0.148411877,0.2510803003,0.2509651162,2.0640841416,0.4427711098
18,0.3937353396,0.6600729564,0.2269502862,0.148411877,0.5427461554,0.1018132062,2.0737298208,0.445656175
19,0.5142490537,0.5044699234,0.3687944562,0.148411877,0.3110214284,0.241626263,2.0885730017,0.450095836
20,0.5472379266,0.5605147116,0.3687944562,0.1664293597,0.3334122594,0.2406035857,2.2169922992,0.4885066149
21,0.4843132967,0.6077322718,0.3120568847,0.1696075389,0.6031774634,0.2576060995,2.434493555,0.553562201
22,0.4053565297,0.5764772159,0.2269502862,0.1155550908,0.6102571133,0.2936775951,2.228273831,0.4918809709
23,0.5790908437,0.6930990887,0.3971630009,0.1566464118,0.6180838069,0.2105839128,2.6546670648,0.6194170701
24,0.6214926835,0.7139957792,0.3971630009,0.1566464118,0.6554696744,0.2028400028,2.7476075526,0.6472159804
25,0.2050477804,0.8430224775,0.1985817416,0.0770367272,0.9610352293,0.1736281741,2.4583521301,0.5606984062
26,0.1644432713,0.711354741,0.1985817416,0.0770367272,0.7711670208,0.2573911802,2.1799746821,0.4774344822
27,0.1723586376,0.7336870652,0.1985817416,0.0770367272,0.6812836594,0.2902895268,2.1532373578,0.4694372304
28,0.1054265653,0.512442227,0.1702127147,0.1088147049,0.2135146681,0.4640449017,1.5744557817,0.2963211051
29,0.1178124802,0.4657524057,0.2269502862,0.1088147049,0.224481769,0.407721623,1.551533269,0.2894648803
30,0.1435951655,0.5735609422,0.0851065985,0,0.5162967312,0.2872508027,1.6058102401,0.3056993621
31,0.125457252,0.4756697053,0.3120568847,0.1088147049,0.3396206314,0.368313497,1.7299326753,0.3428249306
32,0.1278321011,0.5222389711,0.3120568847,0.1088147049,0.3363747637,0.3383718821,1.7456893076,0.3475378089
33,0.1264321217,0.5207449921,0.3120568847,0.1088147049,0.3393896811,0.3183996809,1.7258380654,0.3416002147
34,0.1202935879,0.5129169234,0.3120568847,0.1088147049,0.378195097,0.30660988,1.7388870779,0.3455032319
35,0.122152155,0.529152931,0.3120568847,0.1088147049,0.3537563373,0.3180478626,1.7439808755,0.3470268093
36,0.1103994325,0.5073730305,0.2836878578,0.0725431366,0.4003262325,0.3094058702,1.6837355601,0.3290071694
37,0.1075268744,0.516056898,0.2553193131,0.0567213616,0.428305075,0.3060871537,1.6700166758,0.3249037905
38,0.1138230216,0.5669858959,0.1134751431,0.0436969228,0.4934511179,0.2701365364,1.6015686377,0.3044306801
39,0.1102113752,0.7169962735,0.1134751431,0.0819538668,0.3498469632,0.3646117526,1.7370953744,0.3449673255
40,0.1692072491,0.7643215387,0.2553193131,0.5213330617,0.3957670037,0.3464738417,2.452422008,0.5589246805
41,0.1254618034,0.6033804309,0.1985817416,0.5213330617,0.4076492608,0.3553933785,2.2117996769,0.4869534787
42,0.0235893737,0.5717807232,0.0283690269,0.1759379468,0.3842521346,0.4632482364,1.6471774416,0.3180724747
43,0.0538837992,0.2595187087,0.0851065985,0.1210174871,0.1521276039,0.3553284187,1.0269826161,0.1325694636
44,0.0521695238,0.3113498326,0.1134751431,0.1210174871,0.1729570233,0.5019542506,1.2729232605,0.2061313964
45,0.0529274987,0.2875835419,0.0851065985,0.1210174871,0.1520783888,0.4332515952,1.1319651102,0.1639701912
46,0.4786350998,0.7563866831,0.3120568847,0.1572931319,0.7993841971,0.3535546221,2.8573106187,0.680028652
47,0.2284034041,0.7280107043,0.1702127147,0.0936821192,0.9065178214,0.3643738336,2.4912005973,0.5705235278
48,0.5239737221,0.8073685829,0.3971630009,0.1572931319,0.7851390243,0.3690305764,3.0399680385,0.7346622928
49,0.6753909441,0.7014644724,0.3687944562,0.7158350956,0.371998521,0.431920049,3.2654035383,0.8020910463
50,0.7663106188,0.6808750226,0.2836878578,0.7158350956,0.4413345599,0.1890806371,3.0771237918,0.7457757427
