id,pressure_index,biodiversity_subindex,surf_subindex,social_subindex,climate_index,response_index,added_indices,sci
9,0.8631479005,0.241120323,0,0,0,0.212494152,1.3167623755,0.107096397
10,0.9831012407,0.2264301338,0,0,0,0.2165040378,1.4260354123,0.1493884307
11,0.7464649918,0.2718737023,0,0,0,0.2254710077,1.2438097018,0.0788614635
12,0.6731413628,0.6677611188,0,0.0793508438,0.8635124218,0.1110793444,2.3948450916,0.5243476405
13,0.7910334803,0.3337743495,0,0.0793508438,0.2607003822,0.2247812619,1.6896403177,0.2514116548
14,1,0.3005910032,0,0,0,0.2265131661,1.5271041693,0.1885051551
15,0.8280769956,0.5500093222,0.0941176471,0.14231049639999999,0.1675405806,0.1343609101,1.916415952,0.3391808157
16,0.8175209692,0.5936034855,0.0941176471,0.14231049639999999,0.2004949487,0.1047098476,1.9527573945,0.3532460742
17,0.8547317526,0.5384465,0,0.14231049639999999,0.3646085746,0.1362477134,2.036345037,0.3855970685
18,0.8101304467,0.456868425,0,0.0741925568,0.1458488953,0.4709007536,1.9579410774,0.3552523193
19,0.7357975019,0.5594395396,0,0.14231049639999999,0.3514025098,0.0893053503,1.878255398,0.324411505
20,1,0.6940080387,0,0,0,0,1.6940080387,0.2531020974
21,0.6320817553,0.3401235799,0,0.14231049639999999,0.2799602921,0.1368011842,1.5312773079,0.1901202884
22,0.611023312,0.3016626601,0,0.14231049639999999,0.2827269559,0.1523192739,1.4900426983,0.1741612234
23,0.5038980049,0.3104721629,0,0.3126143246,0.1871376863,0,1.3141221787,0.1060745595
24,0.5748374961,0.3104721629,0,0.5254115291,0,0,1.4107211881,0.1434613538
25,0.7290788822,0.4643539645,0,0.14231049639999999,0.4134632976,0.1618521803,1.911058821,0.3371074409
26,0.8637300691,0.6438217094,0,0.14231049639999999,0.3846866023,0.3504162883,2.3849651655,0.5205238046
27,0.6750591394,0.3110405866,0.0941176471,0,0.6343937635,0.1625199664,1.877131103,0.3239763682
28,0.7356697465,0.0085184703,0,0.2398234607,0.4774132027,0.1514390127,1.6128638929,0.2216968117
29,0.9542623566,0.2066259832,0,0.2398234607,0.360483051,0.2940050824,2.0551999339,0.3928944948
30,0.9848013801,0.342150451,0,0,0.6024756922,0.2008189392,2.1302464625,0.4219398147
31,0.7783273401,0.4356440104,0,0.2398234607,0.1370485533,0.2312299537,1.8220733182,0.3026673083
32,0.7748988843,0.4804509215,0,0.2398234607,0.6920863678,0.1192782282,2.3065378625,0.4901700208
33,0.7817429774,0.5095010841,0,0.2398234607,0.7194105936,0.1127177418,2.3631958576,0.5120984114
34,0.7827386768,0.4707703257,0,0.2398234607,0.3558636894,0.1883812741,2.0375774267,0.3860740413
35,0.7994679584,0.5691311505,0,0.2398234607,0.4171154724,0.2379219442,2.2634599862,0.4734975547
36,0.7901945484,0.4489386744,0.0941176471,0.2398234607,0.4895393164,0.1864447962,2.2490584432,0.4679237137
37,0.7279071668,0.4278891859,0.0941176471,0.2398234607,0.4099315452,0.1134545173,2.013123523,0.3766096267
38,0.8282509861,0.3010742251,0,0.2398234607,0.2316010213,0.146065928,1.7468156212,0.2735402597
39,0.7757768576,0.4316636912,0,0.32264133,0.3710501479,0.1152530878,2.0163851145,0.3778719632
40,0.5995038271,0.3174266854,0,0.32264133,0.3819673823,0.0955320862,1.717071311,0.2620282948
41,0.7934049391,0.4923687107,0.0941176471,0.32264133,0.3453273391,0.0861904276,2.1340503936,0.4234120533
42,0.8986804654,0.4295286932,0,0.32264133,0.3358353477,0.3876537496,2.3743395859,0.5164113777
43,0.9232122825,0.1746407241,0,0.2382147697,0.2280317857,0.7490423564,2.3131419184,0.492725994
44,0.9536539991,0.144126419,0,0.2382147697,0.4063709781,0.7099112853,2.4522774512,0.5465757341
45,0.9544765716,0.0539580076,0.0941176471,0.2382147697,0.4518326594,0.6942121443,2.4868117997,0.5599415915
46,0.6006428373,0.5862622384,0.0941176471,0.2741547315,0.2595575013,0.3732293524,2.187964308,0.4442784001
47,1,0.5274187115,0,0,0,0,1.5274187115,0.1886268926
48,0.5446217609,0.6399976332,0.0941176471,0.2741547315,0.1253806998,0.5221345249,2.2004069974,0.4490941044
49,0.48833270560000003,0.4108093843,0.0941176471,0.2741547315,0.5341843376,0.1575527309,1.959151537,0.3557208045
50,1,0.5482888977,0.0941176471,0,0,0,1.6424065448,0.2331307287
51,0.401899147,0.4861881776,0.0941176471,0.2741547315,0.5475003948,0.0537687111,1.8576288091,0.3164283793
52,0.3411760181,0.3904300282,0,0.2741547315,0.1827019865,0.0248588241,1.2133215884,0.0670616238
53,0.6428261651,0.4346985542,0,0.0854865167,0,0,1.163011236,0.0475899666
54,0.7245275343,0.5611256405,0,0.0854865167,0.1551131533,0.2564909127,1.7827437575,0.2874455559
55,0.7316031982,0.4384268704,0,0.0854865167,0.5544250178,0,1.8099416031,0.2979719606
56,0.5672947928,0.1378897565,0.0941176471,0.2579552441,0.3474732554,0.1384119871,1.543142683,0.1947125543
57,0.664198472,0.1378897565,0.0941176471,0.2579552441,0.0915465284,0.1327600392,1.3784676873,0.1309782548
58,0.5009804792,0.1698299294,0,0.0854865167,0.1416624807,0.1420901343,1.0400495403,0
59,0.7550529132,0.1763271872,0,0.1464682473,0.1993639671,0.4095620614,1.6867743762,0.2503024471
60,0.6199953743,0.5527197599,0.0941176471,0.2741547315,0.1554843841,0.1408412802,1.8373131771,0.3085656035
61,0.7004555229,0.5851513483,0.0941176471,0.2741547315,0.1603329508,0,1.8142122006,0.2996248134
62,0.6590903608,0.4075668079,0.1882352941,0.1841967139,0,0,1.4390891767,0.1544406399
