id,pressure_index,biodiversity_subindex,surf_subindex,social_subindex,response_index,added_indices,sci
9,0.8760398409,0.4422212649,0.0283690269,0,0.3713878671,1.7180179998,0.2535134631
10,0.8177518777,0.4310273909,0.0283690269,0,0.3684902799,1.6456385754,0.2168510643
11,0.75069872,0.4825952555,0.0283690269,0.0379917954,0.4798957832,1.779550581,0.284681603
12,0.7181053877,0.5788713925,0.0283690269,0.4727312739,0.1175596451,1.9156367261,0.35361341
13,0.7434084464,0.5296400366,0,0.4525754293,0.1286468966,1.8542708089,0.3225296905
14,0.6070394687,0.6459048634,0.0851065985,0.0371288016,0.1337515142,1.5089312464,0.1476046086
15,0.5195466017,0.5004874189,0.3404254293,0.1876250216,0.2510173801,1.7991018516,0.2945849213
16,0.5110888672,0.4962352255,0.3404254293,0.1876250216,0.2513445121,1.7867190557,0.2883126553
17,0.5085303498,0.524994197,0.3971630009,0.148411877,0.2509651162,1.8300645409,0.3102684732
18,0.6062646604,0.6600729564,0.2269502862,0.148411877,0.1018132062,1.7435129862,0.2664274558
19,0.4857509463,0.5044699234,0.3687944562,0.148411877,0.241626263,1.7490534659,0.2692338787
20,0.4527620734,0.5605147116,0.3687944562,0.1664293597,0.2406035857,1.7891041866,0.2895207973
21,0.5156867033,0.6077322718,0.3120568847,0.1696075389,0.2576060995,1.8626894982,0.3267940149
22,0.5946434703,0.5764772159,0.2269502862,0.1155550908,0.2936775951,1.8073036583,0.298739388
23,0.4209091563,0.6930990887,0.3971630009,0.1566464118,0.2105839128,1.8784015705,0.3347526615
24,0.3785073165,0.7139957792,0.3971630009,0.1566464118,0.2028400028,1.8491525112,0.3199371157
25,0.7949522196,0.8430224775,0.1985817416,0.0770367272,0.1736281741,2.08722134,0.4405262804
26,0.8355567287,0.711354741,0.1985817416,0.0770367272,0.2573911802,2.0799211187,0.4368284944
27,0.8276413624,0.7336870652,0.1985817416,0.0770367272,0.2902895268,2.1272364232,0.4607951475
28,0.8945734347,0.512442227,0.1702127147,0.1088147049,0.4640449017,2.150087983,0.4723701636
29,0.8821875198,0.4657524057,0.2269502862,0.1088147049,0.407721623,2.0914265396,0.442656343
30,0.8564048345,0.5735609422,0.0851065985,0,0.2872508027,1.8023231779,0.2962166219
31,0.874542748,0.4756697053,0.3120568847,0.1088147049,0.368313497,2.1393975399,0.4669551262
32,0.8721678989,0.5222389711,0.3120568847,0.1088147049,0.3383718821,2.1536503417,0.4741746075
33,0.8735678783,0.5207449921,0.3120568847,0.1088147049,0.3183996809,2.1335841409,0.4640104613
34,0.8797064121,0.5129169234,0.3120568847,0.1088147049,0.30660988,2.1201048051,0.4571827642
35,0.877847845,0.529152931,0.3120568847,0.1088147049,0.3180478626,2.1459202282,0.4702590679
36,0.8896005675,0.5073730305,0.2836878578,0.0725431366,0.3094058702,2.0626104626,0.4280601161
37,0.8924731256,0.516056898,0.2553193131,0.0567213616,0.3060871537,2.026657852,0.4098490159
38,0.8861769784,0.5669858959,0.1134751431,0.0436969228,0.2701365364,1.8804714766,0.3358011324
39,0.8897886248,0.7169962735,0.1134751431,0.0819538668,0.3646117526,2.1668256608,0.4808483108
40,0.8307927509,0.7643215387,0.2553193131,0.5213330617,0.3464738417,2.7182405061,0.7601568449
41,0.8745381966,0.6033804309,0.1985817416,0.5213330617,0.3553933785,2.5532268093,0.6765723456
42,0.9764106263,0.5717807232,0.0283690269,0.1759379468,0.4632482364,2.2157465596,0.5056282467
