id,pressure_index,biodiversity_subindex,surf_subindex,social_subindex,response_index,added_indices,sci
9,0.8755282097,0.454997982,0,0,0.3669385312,1.6974647229,0.3014129398
10,0.7414025441,0.3480507727,0,0,0.3382107331,1.4276640499,0.1724523274
11,0.6349559041,0.4603952536,0,0.0643742967,0.2951183148,1.4548437692,0.1854438193
12,0.6250641034,0.6496301526,0.0421052193,0.5026713929,0.1150266319,1.9344975001,0.4147109971
13,0.6667837804,0.5152269647,0,0.0428648029,0.1364083895,1.3612839375,0.1407236447
14,0.5708157891,0.6163171961,0,0.0400783302,0.1459841383,1.3731954537,0.146417168
15,0.6608885826,0.5347598996,0.2526317788,0.0987707442,0.4588546248,2.00590563,0.4488429956
16,0.64535018,0.5276639647,0.2526317788,0.0987707442,0.4571001212,1.9815167889,0.437185501
17,0.6864726266,0.6564385302,0.2105260964,0.0987707442,0.3936566947,2.0458646921,0.4679428187
18,0.6885289458,0.5725494143,0.0842104386,0.0400783302,0.174018816,1.5593859449,0.235413387
19,0.5562017313,0.5640106778,0.2526317788,0.0987707442,0.415466993,1.8870819251,0.3920470744
20,0.8337090759,0.6511431741,0.1263156578,0.0768751923,0.1015715165,1.7896146166,0.3454591855
21,0.4825560347,0.5147857512,0.1684208771,0.0768751923,0.4220919712,1.6647298265,0.2857661579
22,0.6410016291,0.4950792523,0.0842104386,0.0768751923,0.1285805745,1.4257470868,0.1715360482
23,0.2764091936,0.5409359601,0.0842104386,0.1644573999,8.60634e-4,1.0668736262,0
24,0.2806663109,0.5065775548,0.1684208771,0.1863529518,0.0010650354,1.14308273,0.0364267909
25,0.7874793856,0.8018191005,0.1684208771,0,0.1377268937,1.8954462569,0.3960450976
26,0.8039441302,0.8334498258,0.2105260964,0,0.1884133407,2.0363333931,0.4633870029
27,0.7482704134,0.9254987084,0.1263156578,0,0.1496724888,1.9497572684,0.4220049339
28,0.8516927802,0.6532558004,0.1684208771,0.129551053,0.3809870441,2.1839075548,0.5339252045
29,0.8219290458,0.566425201,0.1684208771,0.129551053,0.3190655167,2.0053916936,0.4485973418
30,0.8286109621,0.6238029054,0.0421052193,0,0.1884111588,1.6829302456,0.294465681
31,0.8151261596,0.5937985217,0.1263156578,0.129551053,0.2444638803,1.9092552724,0.4026455967
32,0.8261000669,0.5782808667,0.2105260964,0.129551053,0.2218521332,1.9663102162,0.4299169909
33,0.8341681043,0.5817366948,0.2105260964,0.129551053,0.2413935066,1.9973754551,0.4447657019
34,0.8330268936,0.5730252309,0.2105260964,0.129551053,0.2499608225,1.9960900964,0.44415132
35,0.8359511204,0.5961374822,0.2526317788,0.129551053,0.2639038776,2.078175312,0.4833868029
36,0.821396131,0.578473314,0.2526317788,0.129551053,0.1947849173,1.9768371941,0.434948726
37,0.8216815086,0.599222935,0.1684208771,0.129551053,0.1443367797,1.8632131534,0.3806381651
38,0.8253639732,0.5815462427,0.0421052193,0,0.1324599054,1.5814753406,0.2459717817
39,0.8380190194,0.7565485947,0.0842104386,0.1742887203,0.1738318956,2.0268986686,0.4588773483
40,0.7036882991,0.7604805593,0.0842104386,0.6340953103,0.1653073196,2.3477819269,0.6122546585
41,0.882789193,0.5875623488,0.1263156578,0.1742887203,0.2458187803,2.0167747002,0.4540382456
42,0.9470819028,0.628247463,0,0.1742887203,0.4150301696,2.1646482557,0.5247195529
43,0.9278234103,0.2652996639,0.1263156578,0.1286820488,0.5936115983,2.0417323791,0.465967636
44,0.9746460088,0.3513298468,0.1263156578,0.1286820488,0.6216176204,2.2025911826,0.5428556941
45,0.9451166021,0.3149148113,0.1263156578,0.1286820488,0.6443446582,2.1593737782,0.522198433
46,0.5481282523,0.8126660814,0.2105260964,0.1480965792,0.2191981369,1.9386151462,0.4166791692
47,0.5348444563,0.9511525424,0.0842104386,0.1480965792,0.2294190492,1.9477230657,0.421032616
48,0.5112745716,0.9388263791,0.2526317788,0.1480965792,0.6318966742,2.4827259829,0.6767558619
49,0.2313934551,0.7098404626,0.2947369981,0.191887683,0.385906833,1.8137654318,0.3570029073
50,0.2465983742,0.6719635895,0.1263156578,0.673589825,0.3564301384,2.0748975849,0.4818200992
51,0.233167023,0.7069123847,0.1684208771,0.7392764807,0.3571291774,2.2049059429,0.5439621142
52,0.3516761592,0.6923780371,0.2105260964,0.1699921311,0.0903540234,1.5149264472,0.2141624242
53,0.6784085105,0.7753208001,0,0.046179253,0.0160878619,1.5159964255,0.2146738576
54,0.6332299073,0.4959890678,0.1684208771,0.046179253,0.1891552897,1.5329743949,0.2227890683
55,0.7047684269,0.7336525181,0,0.046179253,0.0130412328,1.4976414308,0.2059004497
56,0.6191297067,0.2591441944,0.2947369981,0.046179253,0.5473654532,1.7665556054,0.3344373293
57,0.6513553702,0.3602651293,0.2105260964,0.1393457229,0.4416065493,1.8030988681,0.3519044523
58,0.7869460015,0.5513779434,0.0421052193,0.046179253,0.1560728218,1.582681239,0.2465481828
59,0.7558827422,0.2677332716,0.0421052193,0.079121182,0.2300035679,1.374845983,0.1472060959
60,0.282498248,0.6068661362,0.1684208771,0.8618989359,0.0480221132,1.9677063104,0.4305843026
61,0.2935013624,0.6148140237,0.1684208771,0.9494811435,0.0431607025,2.0693781092,0.4791818739
62,0.6828647675,0.4616660829,0.2105260964,0.559308441,0.0504211085,1.9647864963,0.429188676
