join_count,id,numerical_direction,numerical_frequency,numerical_experience,numerical_quality,normalized_cluster,normalized_direction,normalized_frequency,normalized_experience,normalized_quality,added_normalized,surf_index,surf_subindex
1,1,1,3,1,3,0,1,0.5,1,0.3333333333,2.8333333333,0.6912442396,0.6912442396
1,2,1,2,1,3,0,1,0.25,1,0.3333333333,2.5833333333,0.6221198157,0.6221198157
1,3,1,2,0,5,0,1,0.25,0,1,2.25,0.5299539171,0.5299539171
1,5,1,1,1,3,0,1,0,1,0.3333333333,2.3333333333,0.5529953917,0.5529953917
1,6,1,3,0,3.5,0,1,0.5,0,0.5,2,0.4608294931,0.4608294931
2,7,1,3,1,3,0.1,1,0.5,1,0.3333333333,2.9333333333,0.7188940092,0.7188940092
2,8,1,3,1,3,0.1,1,0.5,1,0.3333333333,2.9333333333,0.7188940092,0.7188940092
1,11,1,5,1,3.5,0,1,1,1,0.5,3.5,0.8755760369,0.8755760369
3,12,1,3,1,3,0.2,1,0.5,1,0.3333333333,3.0333333333,0.7465437788,0.7465437788
3,13,1,3,1,3,0.2,1,0.5,1,0.3333333333,3.0333333333,0.7465437788,0.7465437788
3,14,1,3,1,3,0.2,1,0.5,1,0.3333333333,3.0333333333,0.7465437788,0.7465437788
2,15,1,3,1,3,0.1,1,0.5,1,0.3333333333,2.9333333333,0.7188940092,0.7188940092
2,16,1,4,0,3,0.1,1,0.75,0,0.3333333333,2.1833333333,0.5115207373,0.5115207373
4,17,1,3,1,3,0.3,1,0.5,1,0.3333333333,3.1333333333,0.7741935484,0.7741935484
5,20,0,2,0,5,0.4,0,0.25,0,1,1.65,0.3640552995,0.3640552995
5,21,1,3,0,3.5,0.4,1,0.5,0,0.5,2.4,0.5714285714,0.5714285714
5,22,1,3,0,3.5,0.4,1,0.5,0,0.5,2.4,0.5714285714,0.5714285714
4,24,1,2,0,3.5,0.3,1,0.25,0,0.5,2.05,0.4746543779,0.4746543779
1,25,1,2,0,3,0,1,0.25,0,0.3333333333,1.5833333333,0.3456221198,0.3456221198
2,26,1,2,0,3.5,0.1,1,0.25,0,0.5,1.85,0.4193548387,0.4193548387
2,27,1,3,1,3.5,0.1,1,0.5,1,0.5,3.1,0.7649769585,0.7649769585
1,28,1,4,0,3.5,0,1,0.75,0,0.5,2.25,0.5299539171,0.5299539171
1,29,1,3,1,3.5,0,1,0.5,1,0.5,3,0.7373271889,0.7373271889
4,30,0,2,1,3,0.3,0,0.25,1,0.3333333333,1.8833333333,0.4285714286,0.4285714286
4,31,1,3,0,3,0.3,1,0.5,0,0.3333333333,2.1333333333,0.4976958525,0.4976958525
5,33,0,1,0,5,0.4,0,0,0,1,1.4,0.2949308756,0.2949308756
5,34,0,1,1,3,0.4,0,0,1,0.3333333333,1.7333333333,0.3870967742,0.3870967742
4,35,1,4,1,3,0.3,1,0.75,1,0.3333333333,3.3833333333,0.8433179723,0.8433179723
3,37,1,2,1,3.5,0.2,1,0.25,1,0.5,2.95,0.7235023042,0.7235023042
2,39,0,3,0,3.5,0.1,0,0.5,0,0.5,1.1,0.2119815668,0.2119815668
1,41,1,3,1,3.5,0,1,0.5,1,0.5,3,0.7373271889,0.7373271889
2,42,1,4,0,4,0.1,1,0.75,0,0.6666666667,2.5166666667,0.603686636,0.603686636
4,44,1,2,1,3,0.3,1,0.25,1,0.3333333333,2.8833333333,0.7050691244,0.7050691244
6,45,1,4,0,4,0.5,1,0.75,0,0.6666666667,2.9166666667,0.7142857143,0.7142857143
6,46,1,4,1,3.5,0.5,1,0.75,1,0.5,3.75,0.9447004608,0.9447004608
5,48,0,2,0,3.5,0.4,0,0.25,0,0.5,1.15,0.2258064516,0.2258064516
5,49,1,2,0,2,0.4,1,0.25,0,0,1.65,0.3640552995,0.3640552995
6,50,1,3,1,3.5,0.5,1,0.5,1,0.5,3.5,0.8755760369,0.8755760369
3,53,1,2,1,3,0.2,1,0.25,1,0.3333333333,2.7833333333,0.6774193548,0.6774193548
2,54,1,3,1,3.5,0.1,1,0.5,1,0.5,3.1,0.7649769585,0.7649769585
3,58,0,3,0,5,0.2,0,0.5,0,1,1.7,0.3778801843,0.3778801843
6,59,0,3,0,3.5,0.5,0,0.5,0,0.5,1.5,0.3225806452,0.3225806452
6,60,1,3,1,3,0.5,1,0.5,1,0.3333333333,3.3333333333,0.8294930875,0.8294930875
5,61,1,4,1,3.5,0.4,1,0.75,1,0.5,3.65,0.9170506912,0.9170506912
6,62,1,4,0,3.5,0.5,1,0.75,0,0.5,2.75,0.668202765,0.668202765
6,64,0,3,0,3.5,0.5,0,0.5,0,0.5,1.5,0.3225806452,0.3225806452
3,67,1,3,0,5,0.2,1,0.5,0,1,2.7,0.6543778802,0.6543778802
1,71,1,3,0,3,0,1,0.5,0,0.3333333333,1.8333333333,0.4147465438,0.4147465438
1,73,1,4,1,3.5,0,1,0.75,1,0.5,3.25,0.8064516129,0.8064516129
5,75,0,1,1,3.5,0.4,0,0,1,0.5,1.9,0.4331797235,0.4331797235
3,76,0,1,1,3.5,0.2,0,0,1,0.5,1.7,0.3778801843,0.3778801843
3,79,0,1,0,4,0.2,0,0,0,0.6666666667,0.8666666667,0.1474654378,0.1474654378
3,80,0,1,0,4,0.2,0,0,0,0.6666666667,0.8666666667,0.1474654378,0.1474654378
4,81,0,1,0,3.5,0.3,0,0,0,0.5,0.8,0.1290322581,0.1290322581
2,82,1,2,0,3.5,0.1,1,0.25,0,0.5,1.85,0.4193548387,0.4193548387
3,83,1,3,1,3.5,0.2,1,0.5,1,0.5,3.2,0.7926267281,0.7926267281
3,85,1,2,0,2,0.2,1,0.25,0,0,1.45,0.3087557604,0.3087557604
3,86,1,2,1,3,0.2,1,0.25,1,0.3333333333,2.7833333333,0.6774193548,0.6774193548
5,87,1,3,1,3,0.4,1,0.5,1,0.3333333333,3.2333333333,0.801843318,0.801843318
6,88,1,3,1,3,0.5,1,0.5,1,0.3333333333,3.3333333333,0.8294930875,0.8294930875
6,89,0,2,0,4,0.5,0,0.25,0,0.6666666667,1.4166666667,0.2995391705,0.2995391705
6,90,0,2,0,4,0.5,0,0.25,0,0.6666666667,1.4166666667,0.2995391705,0.2995391705
7,91,1,4,0,3,0.6,1,0.75,0,0.3333333333,2.6833333333,0.6497695852,0.6497695852
6,92,0,2,0,3.5,0.5,0,0.25,0,0.5,1.25,0.2534562212,0.2534562212
7,94,1,1,0,4,0.6,1,0,0,0.6666666667,2.2666666667,0.534562212,0.534562212
5,95,1,2,0,3,0.4,1,0.25,0,0.3333333333,1.9833333333,0.4562211982,0.4562211982
5,96,1,3,0,3,0.4,1,0.5,0,0.3333333333,2.2333333333,0.5253456221,0.5253456221
6,97,0,1,0,3.5,0.5,0,0,0,0.5,1,0.1843317972,0.1843317972
8,99,1,4,1,3.5,0.7,1,0.75,1,0.5,3.95,1,1
5,101,1,2,0,3,0.4,1,0.25,0,0.3333333333,1.9833333333,0.4562211982,0.4562211982
6,102,1,3,1,3,0.5,1,0.5,1,0.3333333333,3.3333333333,0.8294930875,0.8294930875
6,103,1,3,1,3,0.5,1,0.5,1,0.3333333333,3.3333333333,0.8294930875,0.8294930875
8,104,0,2,1,3.5,0.7,0,0.25,1,0.5,2.45,0.5852534562,0.5852534562
8,105,0,2,1,3.5,0.7,0,0.25,1,0.5,2.45,0.5852534562,0.5852534562
8,106,0,1,1,3,0.7,0,0,1,0.3333333333,2.0333333333,0.4700460829,0.4700460829
8,107,1,2,0,4,0.7,1,0.25,0,0.6666666667,2.6166666667,0.6313364055,0.6313364055
11,108,1,2,0,3,1,1,0.25,0,0.3333333333,2.5833333333,0.6221198157,0.6221198157
11,109,0,1,0,3.5,1,0,0,0,0.5,1.5,0.3225806452,0.3225806452
9,110,0,1,1,3,0.8,0,0,1,0.3333333333,2.1333333333,0.4976958525,0.4976958525
9,111,1,3,1,2,0.8,1,0.5,1,0,3.3,0.8202764977,0.8202764977
8,112,1,2,0,3,0.7,1,0.25,0,0.3333333333,2.2833333333,0.5391705069,0.5391705069
8,113,1,3,0,2,0.7,1,0.5,0,0,2.2,0.5161290323,0.5161290323
8,114,1,3,1,3.5,0.7,1,0.5,1,0.5,3.7,0.930875576,0.930875576
4,115,0,3,1,3,0.3,0,0.5,1,0.3333333333,2.1333333333,0.4976958525,0.4976958525
2,116,1,4,1,3,0.1,1,0.75,1,0.3333333333,3.1833333333,0.7880184332,0.7880184332
2,117,1,3,0,3,0.1,1,0.5,0,0.3333333333,1.9333333333,0.4423963134,0.4423963134
4,119,1,4,1,3.5,0.3,1,0.75,1,0.5,3.55,0.8894009217,0.8894009217
4,120,0,1,0,3,0.3,0,0,0,0.3333333333,0.6333333333,0.0829493088,0.0829493088
4,121,0,2,1,3.5,0.3,0,0.25,1,0.5,2.05,0.4746543779,0.4746543779
4,123,0,1,1,3.5,0.3,0,0,1,0.5,1.8,0.4055299539,0.4055299539
2,124,0,3,1,3.5,0.1,0,0.5,1,0.5,2.1,0.4884792627,0.4884792627
3,125,1,3,1,3,0.2,1,0.5,1,0.3333333333,3.0333333333,0.7465437788,0.7465437788
2,126,0,2,0,3,0.1,0,0.25,0,0.3333333333,0.6833333333,0.0967741935,0.0967741935
1,127,1,3,1,3.5,0,1,0.5,1,0.5,3,0.7373271889,0.7373271889
1,130,1,3,1,3,0,1,0.5,1,0.3333333333,2.8333333333,0.6912442396,0.6912442396
1,132,0,4,0,3.5,0,0,0.75,0,0.5,1.25,0.2534562212,0.2534562212
1,133,1,4,1,3,0,1,0.75,1,0.3333333333,3.0833333333,0.7603686636,0.7603686636
1,145,1,4,1,3.5,0,1,0.75,1,0.5,3.25,0.8064516129,0.8064516129
1,149,1,2,0,3.5,0,1,0.25,0,0.5,1.75,0.3917050691,0.3917050691
1,157,1,3,0,3,0,1,0.5,0,0.3333333333,1.8333333333,0.4147465438,0.4147465438
