fid,name,surf_spot,quality,frequency,direction,type,experience
0,Cardoso,NA,"NA","NA",NA,NA,NA
1,Ravena,NA,"NA","NA",NA,NA,NA
2,Praia da Vila Imbituba,NA,"NA","NA",NA,NA,NA
3,Praia do Porto Imbituba,NA,"NA","NA",NA,NA,NA
4,Ponta da Pinheira,NA,"NA","NA",NA,NA,NA
5,Mocambique,NA,"NA","NA",NA,NA,NA
6,Ponta das Canas,NA,"NA","NA",NA,NA,NA
7,Itagua&ccedil;u,NA,"NA","NA",NA,NA,NA
8,Caioba,NA,"NA","NA",NA,NA,NA
9,Ilha Comprida,NA,"NA","NA",NA,NA,NA
10,Iguape,NA,"NA","NA",NA,NA,NA
11,Peruibe,NA,"NA","NA",NA,NA,NA
12,Praia dos Pescadores,NA,"NA","NA",NA,NA,NA
13,Itanhaem,NA,"NA","NA",NA,NA,NA
14,Praia Grande,NA,"NA","NA",NA,NA,NA
15,Praia do Forte dos Andradas,NA,"NA","NA",NA,NA,NA
16,Praia do Forte dos Andradas,NA,"NA","NA",NA,NA,NA
17,Praia da Ponta Grossa,NA,"NA","NA",NA,NA,NA
18,Itaipu,NA,"NA","NA",NA,NA,NA
19,Guaiuba,NA,"NA","NA",NA,NA,NA
20,Santos,NA,"NA","NA",NA,NA,NA
21,Morro do Maluf,NA,"NA","NA",NA,NA,NA
22,Praia da Enseada,NA,"NA","NA",NA,NA,NA
23,Embare,NA,"NA","NA",NA,NA,NA
24,Gonzaga,NA,"NA","NA",NA,NA,NA
25,Pereque,NA,"NA","NA",NA,NA,NA
26,Praia Preta,NA,"NA","NA",NA,NA,NA
27,Praia da Bertioga,NA,"NA","NA",NA,NA,NA
28,Maresias,NA,"NA","NA",NA,NA,NA
29,Canto de Moreira,NA,"NA","NA",NA,NA,NA
30,Itaguere,NA,"NA","NA",NA,NA,NA
31,Boicucanga,NA,"NA","NA",NA,NA,NA
32,Praia de Baleia,NA,"NA","NA",NA,NA,NA
33,Barra do Sahy,NA,"NA","NA",NA,NA,NA
34,Praia Preta,NA,"NA","NA",NA,NA,NA
35,Bananas Point,NA,"NA","NA",NA,NA,NA
36,Praia do Juquei,NA,"NA","NA",NA,NA,NA
37,Barra do Una,NA,"NA","NA",NA,NA,NA
38,Praia da Boracéia,NA,"NA","NA",NA,NA,NA
39,Praia Dura,NA,"NA","NA",NA,NA,NA
40,Pereque-Acu,NA,"NA","NA",NA,NA,NA
41,Itamambuca,NA,"NA","NA",NA,NA,NA
42,Praia da Fazenda,NA,"NA","NA",NA,NA,NA
43,Aventureiro,NA,"NA","NA",NA,NA,NA
44,Praia do Leste,NA,"NA","NA",NA,NA,NA
45,Praia do Sul,NA,"NA","NA",NA,NA,NA
46,Praia do Meio,NA,"NA","NA",NA,NA,NA
47,Restinga a Marambaia,NA,"NA","NA",NA,NA,NA
48,Grumari,NA,"NA","NA",NA,NA,NA
49,Reserva,NA,"NA","NA",NA,NA,NA
50,Barra da Tijuca,NA,"NA","NA",NA,NA,NA
51,Barra da Tijuca,NA,"NA","NA",NA,NA,NA
52,Sao Conrado,NA,"NA","NA",NA,NA,NA
53,Bambui,NA,"NA","NA",NA,NA,NA
54,Itaipuacu,NA,"NA","NA",NA,NA,NA
55,Barra de Marica,NA,"NA","NA",NA,NA,NA
56,Camboinhas,NA,"NA","NA",NA,NA,NA
57,Pirantininga,NA,"NA","NA",NA,NA,NA
58,Jacone,NA,"NA","NA",NA,NA,NA
59,Figueira,NA,"NA","NA",NA,NA,NA
60,Praia do Fora,NA,"NA","NA",NA,NA,NA
61,Laje do Pao de Acucar,NA,"NA","NA",NA,NA,NA
62,Canal,NA,"NA","NA",NA,NA,NA
63,Praia Seca,NA,"NA","NA",NA,NA,NA
64,Caravelas,NA,"NA","NA",NA,NA,NA
